league,match_purchase_type,matches,actual_h_count,actual_d_count,actual_a_count,actual_h_rate,actual_d_rate,actual_a_rate,main_hit_count,main_hit_rate,buyplan_change_count,avg_buyplan_change_count,rescue_count,harm_count,net_rescue,avg_net_rescue,all_same_count,all_same_rate,all_same_side_count,all_same_side_rate
J1,chaos_draw_watch,83.0,28.0,25.0,23.0,0.3373493975903614,0.30120481927710846,0.27710843373493976,25.0,0.30120481927710846,87.0,1.0481927710843373,31.0,2.0,29.0,0.3493975903614458,51.0,0.6144578313253012,51.0,0.6144578313253012
J1,chaos_side_watch,36.0,13.0,12.0,9.0,0.3611111111111111,0.3333333333333333,0.25,9.0,0.25,9.0,0.25,3.0,2.0,1.0,0.027777777777777776,29.0,0.8055555555555556,29.0,0.8055555555555556
J1,draw_trap,15.0,5.0,6.0,3.0,0.3333333333333333,0.4,0.2,6.0,0.4,10.0,0.6666666666666666,2.0,2.0,0.0,0.0,10.0,0.6666666666666666,10.0,0.6666666666666666
J1,home_reversal_watch,4.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,4.0,16.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0
J2,chaos_draw_watch,16.0,6.0,5.0,5.0,0.375,0.3125,0.3125,3.0,0.1875,12.0,0.75,5.0,0.0,5.0,0.3125,10.0,0.625,10.0,0.625
J2,chaos_flat,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
J2,chaos_side_watch,7.0,2.0,1.0,2.0,0.2857142857142857,0.14285714285714285,0.2857142857142857,2.0,0.2857142857142857,1.0,0.14285714285714285,0.0,1.0,-1.0,-0.14285714285714285,6.0,0.8571428571428571,6.0,0.8571428571428571
J2,draw_trap,3.0,1.0,0.0,2.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,3.0,1.0
J2,home_reversal_watch,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,4.0,8.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0
J2,j2_directional_stall,9.0,3.0,1.0,4.0,0.3333333333333333,0.1111111111111111,0.4444444444444444,5.0,0.5555555555555556,1.0,0.1111111111111111,0.0,1.0,-1.0,-0.1111111111111111,8.0,0.8888888888888888,8.0,0.8888888888888888
J2,j2_draw_trap,14.0,6.0,2.0,4.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,5.0,0.35714285714285715,21.0,1.5,4.0,0.0,4.0,0.2857142857142857,11.0,0.7857142857142857,11.0,0.7857142857142857
UNKNOWN,unclassified,18.0,2.0,5.0,6.0,0.1111111111111111,0.2777777777777778,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,1.0
