match_purchase_type,match_purchase_subtype,matches,actual_h_count,actual_d_count,actual_a_count,actual_h_rate,actual_d_rate,actual_a_rate,main_hit_count,main_hit_rate,buyplan_change_count,avg_buyplan_change_count,rescue_count,harm_count,net_rescue,avg_net_rescue,all_same_count,all_same_rate,all_same_side_count,all_same_side_rate
chaos_draw_watch,draw_live,99.0,34.0,30.0,28.0,0.3434343434343434,0.30303030303030304,0.2828282828282828,28.0,0.2828282828282828,99.0,1.0,36.0,2.0,34.0,0.3434343434343434,61.0,0.6161616161616161,61.0,0.6161616161616161
chaos_flat,flat_watch,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0
chaos_side_watch,away_watch,38.0,13.0,13.0,9.0,0.34210526315789475,0.34210526315789475,0.23684210526315788,9.0,0.23684210526315788,9.0,0.23684210526315788,3.0,2.0,1.0,0.02631578947368421,31.0,0.8157894736842105,31.0,0.8157894736842105
chaos_side_watch,home_watch,5.0,2.0,0.0,2.0,0.4,0.0,0.4,2.0,0.4,1.0,0.2,0.0,1.0,-1.0,-0.2,4.0,0.8,4.0,0.8
draw_trap,weak_draw_side_bias,18.0,6.0,6.0,5.0,0.3333333333333333,0.3333333333333333,0.2777777777777778,6.0,0.3333333333333333,10.0,0.5555555555555556,2.0,2.0,0.0,0.0,13.0,0.7222222222222222,13.0,0.7222222222222222
home_reversal_watch,away_overread,6.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,24.0,4.0,24.0,0.0,24.0,4.0,0.0,0.0,0.0,0.0
j2_directional_stall,away_stall,2.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,1.0,0.5,0.0,1.0,-1.0,-0.5,1.0,0.5,1.0,0.5
j2_directional_stall,home_stall,7.0,3.0,1.0,2.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,3.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,7.0,1.0
j2_draw_trap,stall_draw_bias,14.0,6.0,2.0,4.0,0.42857142857142855,0.14285714285714285,0.2857142857142857,5.0,0.35714285714285715,21.0,1.5,4.0,0.0,4.0,0.2857142857142857,11.0,0.7857142857142857,11.0,0.7857142857142857
unclassified,unclassified,18.0,2.0,5.0,6.0,0.1111111111111111,0.2777777777777778,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,18.0,1.0
