match_no,home_team,away_team,league,p_home,p_draw,p_away,diff_ha,margin_best_second,entropy,draw_candidate,draw_candidate_reason,draw_score,draw_branch_candidate,draw_branch_score,away_value_candidate,away_value_score,closeness_2axis,closeness_effective_base,d_weight_base,buyplan_base_choice,buyplan_base_reason,ticket01,scenario_id_01,scenario_name_01,scenario_note_01,scenario_predicted_result_01,ticket02,scenario_id_02,scenario_name_02,scenario_note_02,scenario_predicted_result_02,ticket03,scenario_id_03,scenario_name_03,scenario_note_03,scenario_predicted_result_03,ticket04,scenario_id_04,scenario_name_04,scenario_note_04,scenario_predicted_result_04,ticket05,scenario_id_05,scenario_name_05,scenario_note_05,scenario_predicted_result_05,ticket06,scenario_id_06,scenario_name_06,scenario_note_06,scenario_predicted_result_06,ticket07,scenario_id_07,scenario_name_07,scenario_note_07,scenario_predicted_result_07,ticket08,scenario_id_08,scenario_name_08,scenario_note_08,scenario_predicted_result_08,ticket09,scenario_id_09,scenario_name_09,scenario_note_09,scenario_predicted_result_09,ticket10,scenario_id_10,scenario_name_10,scenario_note_10,scenario_predicted_result_10
1,横浜FM,千葉,UNKNOWN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,-1.0,False,0.0,False,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
2,名古屋,神戸,UNKNOWN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,-1.0,False,0.0,False,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
3,水戸,FC東京,UNKNOWN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,-1.0,False,0.0,False,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
4,京都,Ｃ大阪,UNKNOWN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,-1.0,False,0.0,False,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
5,広島,Ｇ大阪,UNKNOWN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,-1.0,False,0.0,False,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
6,柏,町田,UNKNOWN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,-1.0,False,0.0,False,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
7,清水,岡山,UNKNOWN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,-1.0,False,0.0,False,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
8,鹿島,川崎Ｆ,UNKNOWN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,-1.0,False,0.0,False,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
9,東京Ｖ,浦和,UNKNOWN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,-1.0,False,0.0,False,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
10,長崎,福岡,UNKNOWN,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,,0.0,False,,-1.0,False,0.0,False,0.0,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
