match_no,home_team,away_team,league,p_home,p_draw,p_away,diff_ha,margin_best_second,entropy,draw_candidate,draw_candidate_reason,draw_score,draw_branch_candidate,draw_branch_score,away_value_candidate,away_value_score,flab_trial_flag,flab_trial_score,flab_caution_active,flab_caution_reason,closeness_2axis,closeness_effective_base,d_weight_base,buyplan_base_choice,buyplan_base_reason,ticket01,scenario_id_01,scenario_name_01,scenario_note_01,scenario_predicted_result_01,ticket02,scenario_id_02,scenario_name_02,scenario_note_02,scenario_predicted_result_02,ticket03,scenario_id_03,scenario_name_03,scenario_note_03,scenario_predicted_result_03,ticket04,scenario_id_04,scenario_name_04,scenario_note_04,scenario_predicted_result_04,ticket05,scenario_id_05,scenario_name_05,scenario_note_05,scenario_predicted_result_05,ticket06,scenario_id_06,scenario_name_06,scenario_note_06,scenario_predicted_result_06,ticket07,scenario_id_07,scenario_name_07,scenario_note_07,scenario_predicted_result_07,ticket08,scenario_id_08,scenario_name_08,scenario_note_08,scenario_predicted_result_08,ticket09,scenario_id_09,scenario_name_09,scenario_note_09,scenario_predicted_result_09,ticket10,scenario_id_10,scenario_name_10,scenario_note_10,scenario_predicted_result_10
1,千葉,水戸,J1,0.4714702900540911,0.33960391548145136,0.18892579446445748,0.28254449558963357,0.13186637457263972,1.0360880940021278,False,shape_not_close_3way,0.8872574621510921,False,0.46705229233176404,False,0.3176061023015305,,0.0,False,,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,System 01,予想システム指定枠（main argmax）,H,1,02,System 02,予想システム指定枠（match_type type_a）,H,1,03,System 03,予想システム指定枠（match_type type_b）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,0,08,Prob 05,確率忠実（best→second）,D,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
2,広島,清水,J1,0.43383340210756494,0.279505290959285,0.28666130693315006,0.14717209517441487,0.14717209517441487,1.0767569623450104,False,shape_not_close_3way,0.9925805503052276,False,0.5422703152434207,False,0.40132250971341354,,0.0,False,,0.018852698837234172,0.018852698837234172,0.00659844459303196,1,2AXIS_APPLIED_NO_SWITCH,1,01,System 01,予想システム指定枠（main argmax）,H,1,02,System 02,予想システム指定枠（match_type type_a）,H,1,03,System 03,予想システム指定枠（match_type type_b）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,2,07,Prob 04,確率忠実（best→second）,A,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
3,福岡,長崎,J1,0.27404485861608885,0.39858822388057885,0.3273669175033324,0.05332205888724356,0.07122130637724644,1.0869350510092513,False,shape_not_close_3way,1.1459720530530457,False,0.7904989792907601,False,0.7496625197020638,,0.0,False,,0.6445196074183762,0.6445196074183762,0.22558186259643165,0,2AXIS_CLOSE_DRAW,0,01,System 01,予想システム指定枠（main argmax）,D,0,02,System 02,予想システム指定枠（match_type type_a）,D,0,03,System 03,予想システム指定枠（match_type type_b）,D,2,04,Prob 01,確率忠実（基準）,A,0,05,Prob 02,確率忠実（best→second）,D,2,06,Prob 03,確率忠実（best→second）,A,2,07,Prob 04,確率忠実（best→second）,A,2,08,Prob 05,確率忠実（best→second）,A,2,09,Exp 01,実験（best/second/third）,A,2,10,Exp 02,実験（best/second/third）,A
4,神戸,名古屋,J1,0.5487806532754768,0.21258898712860538,0.2386303595959179,0.3101502936795588,0.3101502936795588,1.0003900307788416,False,shape_not_close_3way,0.7961441998847438,False,0.4125749648640204,False,0.32148690966864973,,0.0,False,,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,System 01,予想システム指定枠（main argmax）,H,1,02,System 02,予想システム指定枠（match_type type_a）,H,1,03,System 03,予想システム指定枠（match_type type_b）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,2,08,Prob 05,確率忠実（best→second）,A,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
5,横浜FM,FC東京,J1,0.27230014667959096,0.33304592870410415,0.39465392461630494,0.12235377793671398,0.061607995912200786,1.0873252921420111,False,shape_not_close_3way,1.0441691864153382,False,0.5690900894670353,False,0.9989726133011144,,0.0,False,,0.18430814708857346,0.18430814708857346,0.0645078514810007,0,2AXIS_CLOSE_DRAW,2,01,System 01,予想システム指定枠（main argmax）,A,2,02,System 02,予想システム指定枠（match_type type_a）,A,2,03,System 03,予想システム指定枠（match_type type_b）,A,2,04,Prob 01,確率忠実（基準）,A,2,05,Prob 02,確率忠実（best→second）,A,0,06,Prob 03,確率忠実（best→second）,D,2,07,Prob 04,確率忠実（best→second）,A,2,08,Prob 05,確率忠実（best→second）,A,2,09,Exp 01,実験（best/second/third）,A,1,10,Exp 02,実験（best/second/third）,H
6,京都,岡山,J1,0.38301959901062843,0.2487804712333943,0.3681999297559772,0.014819669254651224,0.014819669254651224,1.0815508965055625,False,shape_not_close_3way,1.1095705663620459,False,0.8800661588260374,True,0.9050830888549759,,0.0,False,,0.9012022049689918,0.9012022049689918,0.3154207717391471,0,2AXIS_CLOSE_DRAW,1,01,System 01,予想システム指定枠（main argmax）,H,1,02,System 02,予想システム指定枠（match_type type_a）,H,1,03,System 03,予想システム指定枠（match_type type_b）,H,2,04,Prob 01,確率忠実（基準）,A,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,2,09,Exp 01,実験（best/second/third）,A,1,10,Exp 02,実験（best/second/third）,H
7,Ｇ大阪,Ｃ大阪,J1,0.45707533390201144,0.24891512573057295,0.29400954036741567,0.16306579353459577,0.16306579353459577,1.0639093957418242,False,shape_not_close_3way,0.9613917693306906,False,0.4926855773271907,False,0.39476147757102165,,0.0,False,,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,System 01,予想システム指定枠（main argmax）,H,1,02,System 02,予想システム指定枠（match_type type_a）,H,1,03,System 03,予想システム指定枠（match_type type_b）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,2,07,Prob 04,確率忠実（best→second）,A,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
8,浦和,東京Ｖ,J1,0.5585194809586136,0.23661459811013744,0.20486592093124908,0.3536535600273645,0.3219048828484762,0.9911508005518002,False,shape_not_close_3way,0.7646537390277043,False,0.4163088289482182,False,0.3030805095862581,,0.0,False,,0.0,0.0,0.0,1,ARGMAX_BASE,1,01,System 01,予想システム指定枠（main argmax）,H,1,02,System 02,予想システム指定枠（match_type type_a）,H,1,03,System 03,予想システム指定枠（match_type type_b）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,0,08,Prob 05,確率忠実（best→second）,D,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
9,川崎Ｆ,鹿島,J1,0.24384842575412147,0.2693999895468384,0.48675158469904006,0.2429031589449186,0.21735159515220165,1.0479164978175017,False,shape_not_close_3way,0.8917968358285006,False,0.4860385619172358,False,0.9953854702542907,,0.0,False,,0.0,0.0,0.0,2,ARGMAX_BASE,2,01,System 01,予想システム指定枠（main argmax）,A,2,02,System 02,予想システム指定枠（match_type type_a）,A,2,03,System 03,予想システム指定枠（match_type type_b）,A,2,04,Prob 01,確率忠実（基準）,A,2,05,Prob 02,確率忠実（best→second）,A,2,06,Prob 03,確率忠実（best→second）,A,0,07,Prob 04,確率忠実（best→second）,D,2,08,Prob 05,確率忠実（best→second）,A,2,09,Exp 01,実験（best/second/third）,A,2,10,Exp 02,実験（best/second/third）,A
10,町田,柏,J1,0.2664977508536455,0.4038889067641991,0.3296133423821555,0.06311559152850998,0.07427556438204358,1.0844021567714275,False,shape_not_close_3way,1.1388288618535896,False,0.7485115338875302,False,0.7387420627160572,,0.0,False,,0.5792293898099334,0.5792293898099334,0.20273028643347668,0,2AXIS_CLOSE_DRAW,0,01,System 01,予想システム指定枠（main argmax）,D,0,02,System 02,予想システム指定枠（match_type type_a）,D,2,03,System 03,予想システム指定枠（match_type type_b）,A,2,04,Prob 01,確率忠実（基準）,A,0,05,Prob 02,確率忠実（best→second）,D,2,06,Prob 03,確率忠実（best→second）,A,2,07,Prob 04,確率忠実（best→second）,A,2,08,Prob 05,確率忠実（best→second）,A,2,09,Exp 01,実験（best/second/third）,A,2,10,Exp 02,実験（best/second/third）,A
