ticket,hits,total,hit_rate,draw_count,sway_count,cluster_changes,basis_changes,role_family,role_unique_only,role_same_family,role_diff_family,role_mode,topology_mode,topology_draw_cluster_count,topology_swing_cluster_count,topology_hold_cluster_count
ticket01,2,9,0.2222222222222222,1.0,0.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,none,0.0,0.0,0.0,none,swing_heavy,2.0,3.0,2.0
ticket02,4,9,0.4444444444444444,5.0,4.0,draw=0 overlap=1 swing=2 neutral=1 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=4,draw,2.0,2.0,0.0,none,swing_heavy,2.0,3.0,2.0
ticket03,5,9,0.5555555555555556,3.0,3.0,draw=0 overlap=1 swing=2 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=3,swing,0.0,2.0,1.0,none,swing_heavy,2.0,3.0,2.0
ticket04,1,9,0.1111111111111111,3.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=2,side=0 drawcmp=0 trap=0 split=0 balanced=2,none,0.0,0.0,0.0,none,swing_heavy,2.0,3.0,2.0
ticket05,2,9,0.2222222222222222,3.0,2.0,draw=0 overlap=0 swing=0 neutral=1 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=1,draw,1.0,1.0,0.0,none,swing_heavy,2.0,3.0,2.0
ticket06,1,9,0.1111111111111111,3.0,2.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,1.0,1.0,0.0,active,swing_heavy,2.0,3.0,2.0
ticket07,4,9,0.4444444444444444,3.0,4.0,draw=0 overlap=1 swing=2 neutral=1 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=4,swing,1.0,3.0,0.0,none,swing_heavy,2.0,3.0,2.0
ticket08,3,9,0.3333333333333333,0.0,1.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,0.0,1.0,none,swing_heavy,2.0,3.0,2.0
ticket09,2,9,0.2222222222222222,0.0,1.0,draw=0 overlap=0 swing=0 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=0,draw,0.0,0.0,1.0,none,swing_heavy,2.0,3.0,2.0
ticket10,3,9,0.3333333333333333,2.0,2.0,draw=0 overlap=1 swing=1 neutral=0 hold=0,side=0 drawcmp=0 trap=0 split=0 balanced=2,swing,0.0,2.0,0.0,none,swing_heavy,2.0,3.0,2.0
