match_no,home_team,away_team,league,context_primary_pick,context_secondary_pick,context_risk_level,context_ticket_guidance,context_decision_summary,context_match_purchase_type,context_match_purchase_subtype,context_purchase_type_confidence,context_purchase_type_reason,context_anchor_candidate_flag,context_draw_core_candidate_flag,context_draw_core_flag,context_draw_purchase_tier,p_home,p_draw,p_away,diff_ha,margin_best_second,entropy,draw_candidate,draw_candidate_reason,draw_score,draw_branch_candidate,draw_branch_score,away_value_candidate,away_value_score,flab_trial_flag,flab_trial_score,closeness_2axis,closeness_effective_base,d_weight_base,buyplan_base_choice,buyplan_base_reason,shape_draw_pressure_score,shape_swing_score,shape_hold_lock_score,shape_hold_strength,shape_draw_compression,shape_swing_instability,shape_path_imbalance,shape_entropy,shape_directionality,topology_asymmetry_score,admission_draw_score,admission_escape_draw_score,admission_escape_home_score,admission_escape_away_score,shape_cluster_label,shape_overlap_subtype,lab_draw_pressure_score,lab_swing_score,lab_hold_lock_score,lab_cluster_label,lab_overlap_subtype,lab_matchup_profile,lab_hold_weight,lab_stall_weight,lab_flip_weight,lab_volatility_score,lab_draw_tension_score,lab_dynamic_swing_score,lab_hold_foundation_score,lab_stall_compactness_score,lab_flip_dislocation_score,lab_home_path_score,lab_away_path_score,lab_scenario_entropy_score,lab_draw_path_score,lab_mix_home,lab_mix_draw,lab_mix_away,lab_tempo_band,lab_control_band,lab_pressure_band,lab_state_notes,lab_basis_hint,ticket01,scenario_id_01,scenario_name_01,scenario_note_01,scenario_predicted_result_01,ticket02,scenario_id_02,scenario_name_02,scenario_note_02,scenario_predicted_result_02,ticket03,scenario_id_03,scenario_name_03,scenario_note_03,scenario_predicted_result_03,ticket04,scenario_id_04,scenario_name_04,scenario_note_04,scenario_predicted_result_04,ticket05,scenario_id_05,scenario_name_05,scenario_note_05,scenario_predicted_result_05,ticket06,scenario_id_06,scenario_name_06,scenario_note_06,scenario_predicted_result_06,ticket07,scenario_id_07,scenario_name_07,scenario_note_07,scenario_predicted_result_07,ticket08,scenario_id_08,scenario_name_08,scenario_note_08,scenario_predicted_result_08,ticket09,scenario_id_09,scenario_name_09,scenario_note_09,scenario_predicted_result_09,ticket10,scenario_id_10,scenario_name_10,scenario_note_10,scenario_predicted_result_10
1,岡山,広島,J1,2,0,medium,side_with_cover,side A: top_gap=0.032 max_prob=0.398,chaos_side_watch,away_watch,low,best=A top_prob=0.398 side_gap=0.161 path_gap=0.254 entropy=0.424,False,False,False,side,0.2297711934329563,0.3838291831358326,0.38639962343121104,0.15662842999825474,0.002570440295378451,1.0728773606777118,False,shape_not_close_3way,1.0352861615696616,False,0.5359068468271623,False,0.9976575059048723,,0.0,0.0,0.0,0.0,2,ARGMAX_BASE,0.7198212560025391,0.2948691154341623,0.21159344654559586,0.21159344654559586,0.7198212560025391,0.2948691154341623,0.25393104937662336,0.748514661658856,0.20041460871852063,0.22357263213057235,0.6718012054751294,0.7142660306224757,0.3339206140735882,0.3119654440999387,hold_core,non_overlap,0.7198212560025391,0.2948691154341623,0.21159344654559586,hold_core,non_overlap,stall_shape,0.2162921848726086,0.5758480373599996,0.2078597777673918,0.1507877127281889,0.7690365525781331,0.1390634956423646,0.4195737762701944,0.6518951398001116,0.261450683592875,0.3730344753116883,0.6269655246883117,0.4241519626400004,0.6477881514104055,0.204140094559468,0.5597067739315498,0.2361531315089821,mid,neutral,away,"profile=stall_shape,stall,draw_tension_high,basis=draw_compressed",draw_compressed,2,01,Main,本線,A,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,2,03,Volatility Swing,balanced round swing cluster,A,0,04,Hold Guard,balanced round guard ticket,D,2,05,Draw Pressure,balanced draw-core tension cluster,A,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
2,FC東京,川崎Ｆ,J1,1,1,medium,side_single,side H: top_gap=0.043 max_prob=0.373,chaos_draw_watch,draw_live,low,pd=0.373 draw_tension=0.465 entropy=0.514 top_gap=0.043,False,False,False,side,0.3210028103871538,0.39142397618115604,0.28757321343169023,0.03342959695546355,0.07042116579400226,1.0902949236926731,True,shape_close_3way,1.1622823911351146,False,0.8725297228254173,False,0.6116968855459649,,0.0,0.7771360202969096,0.7771360202969096,0.27199760710391835,0,2AXIS_CLOSE_DRAW,0.5373660459896709,0.31646278532535266,0.2601525539287052,0.2601525539287052,0.5373660459896709,0.31646278532535266,0.43684994017433126,0.8023667125354687,0.21496875140395402,0.3109827930900445,0.567015448129468,0.5734945833762032,0.44352812146670206,0.3320925545499866,draw_core,non_overlap,0.5373660459896709,0.31646278532535266,0.2601525539287052,draw_core,non_overlap,balanced,0.3242502671401235,0.4855614986217357,0.1901882342381408,0.1923661043541996,0.4652091897046079,0.2573846808504546,0.5237041453680585,0.4643224090430388,0.2175885564258763,0.7184249700871657,0.2815750299128344,0.5144385013782642,0.5017800399878949,0.3108304538075915,0.4519167088636794,0.2372528373287289,mid,home,home,"profile=balanced,stall,home_control",basis_balanced,1,01,Main,本線,H,1,02,Draw Compression,balanced close/neutral draw compression cluster,H,1,03,Volatility Swing,balanced round swing cluster,H,1,04,Hold Guard,balanced round guard ticket,H,1,05,Draw Pressure,balanced draw-core tension cluster,H,1,06,J2 Draw Pressure,J2 draw pressure cluster,H,1,07,Away Swing,balanced round away swing,H,1,08,Close Draw,balanced close/low-tempo draw cluster,H,1,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,H,1,10,Blend Wide,balanced draw+swing blend,H
3,京都,清水,J1,2,2,medium,side_single,side A: top_gap=0.067 max_prob=0.399,chaos_draw_watch,draw_live,medium,pd=0.399 draw_tension=0.720 entropy=0.458 top_gap=0.067,False,False,False,side,0.26050981072749,0.41748465342874874,0.32200553584376124,0.061495725116271216,0.0954791175849875,1.0799839036018666,False,shape_not_close_3way,1.147246601598103,False,0.7416225216254121,False,0.7156271701320679,,0.0,0.5900284992248586,0.5900284992248586,0.20650997472870047,0,2AXIS_CLOSE_DRAW,0.6720923029577109,0.3609740568140226,0.20814782589767816,0.20814782589767816,0.6720923029577109,0.3609740568140226,0.04830143058489933,0.7687511450747078,0.05555829257715387,0.05241805047868736,0.6506868474564763,0.7299427309869442,0.30079613616777817,0.2199255990502773,hold_core,non_overlap,0.6720923029577109,0.3609740568140226,0.20814782589767816,hold_core,non_overlap,mid_stall_side_preserve,0.2334619589210748,0.542481613452451,0.2240564276264741,0.2564064568588378,0.7203816528374956,0.4135510189766142,0.4581988530519962,0.5490978063195671,0.2854116842428716,0.5241507152924496,0.4758492847075503,0.4575183865475489,0.6696741037799281,0.2226313680420711,0.5610838907372856,0.2162847412206432,mid,neutral,home,"profile=mid_stall_side_preserve,stall,draw_tension_high",basis_balanced,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,1,04,Hold Guard,balanced round guard ticket,H,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,0,07,Away Swing,balanced round away swing,D,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,1,10,Blend Wide,balanced draw+swing blend,H
4,Ｇ大阪,神戸,J1,2,0,medium,side_with_cover,side A: top_gap=0.033 max_prob=0.399,chaos_side_watch,away_watch,low,best=A top_prob=0.399 side_gap=0.166 path_gap=0.058 entropy=0.436,False,False,False,side,0.2269534330796853,0.384955961285869,0.38809060563444575,0.16113717255476045,0.003134644348576743,1.071397547391233,False,shape_not_close_3way,1.031340808088174,False,0.5324798994203331,False,0.9975228074947287,,0.0,0.0,0.0,0.0,2,ARGMAX_BASE,0.741523043754187,0.26583266683095885,0.22889130883319692,0.22889130883319692,0.741523043754187,0.26583266683095885,0.058159603520933745,0.7536664345816259,0.11479726648953845,0.09028860505948769,0.6869009887247439,0.767417549384015,0.28295662163786034,0.22074402176646532,hold_core,non_overlap,0.741523043754187,0.26583266683095885,0.22889130883319692,hold_core,non_overlap,stall_shape,0.2587252058975748,0.5640646782279812,0.177210115874444,0.1849467724613227,0.8443923451837536,0.1676597924476561,0.4847099142369122,0.6369818189954187,0.2394964602789277,0.4709201982395331,0.5290798017604669,0.4359353217720187,0.7147874706075643,0.2143923732435884,0.5636384171376124,0.2219692096187991,mid,neutral,neutral,"profile=stall_shape,stall,draw_tension_high,basis=draw_compressed",draw_compressed,2,01,Main,本線,A,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,2,03,Volatility Swing,balanced round swing cluster,A,2,04,Hold Guard,balanced round guard ticket,A,0,05,Draw Pressure,balanced draw-core tension cluster,D,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
5,浦和,千葉,J1,1,1,medium,side_with_cover,side H: top_gap=0.029 max_prob=0.363,draw_trap,weak_draw_side_bias,low,pd=0.363 top_gap=0.029 draw_tension=0.504 mix_draw=0.439 side_gap=0.032,False,False,False,side,0.3204549975005891,0.3897619741853745,0.28978302831403624,0.03067196918655285,0.06930697668478542,1.0908551161728344,True,shape_close_3way,1.1642090179061344,False,0.8846450969931282,False,0.622177681995772,,0.0,0.795520205422981,0.795520205422981,0.2784320718980433,0,2AXIS_CLOSE_DRAW,0.5494900372828576,0.3278175466936417,0.2723586684641806,0.2723586684641806,0.5494900372828576,0.3278175466936417,0.4628041282088869,0.8087058329408296,0.22513144074660318,0.3279788945939187,0.5757767063188547,0.582673863377,0.4543385629109734,0.34160272280724036,draw_core,non_overlap,0.5494900372828576,0.3278175466936417,0.2723586684641806,draw_core,non_overlap,balanced,0.3484067385468734,0.473443450291175,0.1781498111619517,0.2066366073178242,0.5043936526136321,0.3067330448125752,0.5693294550499716,0.4497926767919907,0.2206182117923459,0.7314020641044434,0.2685979358955565,0.5265565497088249,0.5044846877263902,0.3208469209195721,0.4388641550856392,0.2402889239947886,mid,home,home,"profile=balanced,stall,home_control",basis_balanced,1,01,Main,本線,H,1,02,Draw Compression,balanced close/neutral draw compression cluster,H,1,03,Volatility Swing,balanced round swing cluster,H,1,04,Hold Guard,balanced round guard ticket,H,1,05,Draw Pressure,balanced draw-core tension cluster,H,1,06,J2 Draw Pressure,J2 draw pressure cluster,H,2,07,Away Swing,balanced round away swing,A,1,08,Close Draw,balanced close/low-tempo draw cluster,H,1,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,H,2,10,Blend Wide,balanced draw+swing blend,A
6,横浜FM,水戸,J1,0,2,low,draw_core_keep,draw core keep: pd=0.453 gap=-0.168 top_gap=0.168,chaos_draw_watch,draw_live,high,pd=0.453 draw_tension=0.897 entropy=0.418 top_gap=0.168,False,False,True,core,0.25321409515129634,0.4721407874133907,0.27464511743531295,0.02143102228401661,0.19749566997807777,1.0570430617672535,False,shape_not_close_3way,1.2146393714226789,False,0.8428900845519839,False,0.6552013565912252,,0.0,0.8571265181065559,0.8571265181065559,0.29999428133729455,0,2AXIS_CLOSE_DRAW,0.7665559037385323,0.22604006755816744,0.27417989937587106,0.27417989937587106,0.7665559037385323,0.22604006755816744,0.007144585318580365,0.7376185712240712,0.015002125649570302,0.011601953651796474,0.7136620186236174,0.8107745540142278,0.2448643303083279,0.16228416381025002,draw_core,non_overlap,0.7665559037385323,0.22604006755816744,0.27417989937587106,draw_core,non_overlap,stall_shape,0.2348760872691641,0.5818059193191112,0.1833179934117246,0.1222400249662154,0.8970150650796249,0.1259593117971093,0.4470605332158694,0.6171406792771109,0.2445071752684926,0.5035722926592902,0.4964277073407098,0.4181940806808888,0.7313013099297611,0.210130680335038,0.5806103550169016,0.2092589646480602,mid,neutral,neutral,"profile=stall_shape,stall,draw_tension_high,basis=draw_compressed",draw_compressed,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,0,04,Hold Guard,balanced round guard ticket,D,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,0,07,Away Swing,balanced round away swing,D,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,0,10,Blend Wide,balanced draw+swing blend,D
7,東京Ｖ,柏,J1,2,2,medium,side_single,side A: top_gap=0.064 max_prob=0.398,chaos_draw_watch,draw_live,medium,pd=0.398 draw_tension=0.763 entropy=0.467 top_gap=0.064,False,False,False,side,0.2600563575987185,0.41622355671489225,0.32372008568638944,0.06366372808767096,0.09250347102850281,1.0802084264222618,False,shape_not_close_3way,1.1444480502697751,False,0.7346935069336967,False,0.7176341376020262,,0.0,0.5755751460821936,0.5755751460821936,0.20145130112876775,0,2AXIS_CLOSE_DRAW,0.699563376333343,0.2825268698901791,0.24906282503039837,0.24906282503039837,0.699563376333343,0.2825268698901791,0.06406732893150924,0.7736942807477127,0.06384534846739819,0.0639414054682317,0.6690551860772649,0.7465251741222926,0.2757761058540794,0.21304801240935,hold_core,non_overlap,0.699563376333343,0.2825268698901791,0.24906282503039837,hold_core,non_overlap,mid_stall_side_preserve,0.2707218278467163,0.5328198649268362,0.1964583072264475,0.1931312845003321,0.7627013770024499,0.2707456187441306,0.5100956985855377,0.6182892634314407,0.2647288459926539,0.4679663355342454,0.5320336644657546,0.4671801350731638,0.6960258616438864,0.2196096462179478,0.5519333747109973,0.2284569790710549,mid,neutral,neutral,"profile=mid_stall_side_preserve,stall,draw_tension_high,basis=draw_compressed",draw_compressed,0,01,Main,本線,D,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,0,03,Volatility Swing,balanced round swing cluster,D,0,04,Hold Guard,balanced round guard ticket,D,0,05,Draw Pressure,balanced draw-core tension cluster,D,0,06,J2 Draw Pressure,J2 draw pressure cluster,D,0,07,Away Swing,balanced round away swing,D,0,08,Close Draw,balanced close/low-tempo draw cluster,D,0,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,D,0,10,Blend Wide,balanced draw+swing blend,D
8,Ｃ大阪,福岡,J1,1,1,medium,side_single,side H: top_gap=0.053 max_prob=0.384,chaos_draw_watch,draw_live,medium,pd=0.384 draw_tension=0.676 entropy=0.485 top_gap=0.053,False,False,False,side,0.3209511045285733,0.4023478999649008,0.27670099550652605,0.044250109022047235,0.0813967954363275,1.086573412330165,False,shape_not_close_3way,1.156923840960403,False,0.8207297059900911,False,0.5666087210481386,,0.0,0.7049992731863517,0.7049992731863517,0.2467497456152231,0,2AXIS_CLOSE_DRAW,0.6731416268707122,0.28921079827320595,0.2815707987004859,0.2815707987004859,0.6731416268707122,0.28921079827320595,0.42228264321894415,0.7860221577110664,0.21436474941065084,0.30433649254951234,0.6523907367338532,0.6666969183050531,0.4311246328397893,0.31347087466011864,hold_core,non_overlap,0.6731416268707122,0.28921079827320595,0.2815707987004859,hold_core,non_overlap,stall_shape,0.326419180219424,0.514529096908032,0.159051722872544,0.1421852901654488,0.6763215968015545,0.2392418771520953,0.561114248451383,0.541372856476688,0.2136098876874696,0.7111413216094721,0.2888586783905279,0.485470903091968,0.5702206782878165,0.2983233125823466,0.471485934585002,0.2301907528326513,low,home,home,"profile=stall_shape,stall,draw_tension_high,home_control",basis_balanced,1,01,Main,本線,H,1,02,Draw Compression,balanced close/neutral draw compression cluster,H,1,03,Volatility Swing,balanced round swing cluster,H,1,04,Hold Guard,balanced round guard ticket,H,1,05,Draw Pressure,balanced draw-core tension cluster,H,1,06,J2 Draw Pressure,J2 draw pressure cluster,H,1,07,Away Swing,balanced round away swing,H,1,08,Close Draw,balanced close/low-tempo draw cluster,H,1,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,H,1,10,Blend Wide,balanced draw+swing blend,H
9,長崎,名古屋,J1,2,2,medium,side_single,side A: top_gap=0.074 max_prob=0.411,chaos_draw_watch,draw_live,medium,pd=0.411 draw_tension=0.763 entropy=0.470 top_gap=0.074,False,False,False,side,0.24378540581563168,0.429617992341388,0.3265966018429802,0.08281119602734854,0.10302139049840775,1.072532835320159,False,shape_not_close_3way,1.1319978001433455,False,0.6510889839066195,False,0.7115345572742273,,0.0,0.44792535981767634,0.44792535981767634,0.15677387593618672,0,2AXIS_CLOSE_DRAW,0.6849941968877421,0.2631408042752094,0.2564798301201388,0.2564798301201388,0.6849941968877421,0.2631408042752094,0.12560240350530738,0.7714070551723684,0.10206723939243004,0.11225154677218423,0.6614165758172507,0.7315435374684516,0.28595765731810996,0.23819060273712803,draw_core,non_overlap,0.6849941968877421,0.2631408042752094,0.2564798301201388,draw_core,non_overlap,stall_shape,0.2864834994003237,0.5297187249754223,0.183797775624254,0.2120544898468179,0.7630863189216337,0.187495348022299,0.5084587145390752,0.5596176731300759,0.2415867116959074,0.4371987982473463,0.5628012017526537,0.4702812750245777,0.666845715892745,0.2259013596058428,0.5299973918154834,0.2441012485786737,mid,neutral,neutral,"profile=stall_shape,stall,draw_tension_high,basis=draw_compressed",draw_compressed,2,01,Main,本線,A,0,02,Draw Compression,balanced close/neutral draw compression cluster,D,2,03,Volatility Swing,balanced round swing cluster,A,2,04,Hold Guard,balanced round guard ticket,A,2,05,Draw Pressure,balanced draw-core tension cluster,A,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
10,鹿島,町田,J1,2,2,medium,side_single,side A: top_gap=0.057 max_prob=0.380,chaos_draw_watch,draw_live,medium,pd=0.380 draw_tension=0.751 entropy=0.472 top_gap=0.057,False,False,False,side,0.2876564726198839,0.3987669011308506,0.3135766262492655,0.025920153629381604,0.08519027488158509,1.0886926433576922,True,shape_close_3way,1.1734632969360437,False,0.8930003581557091,False,0.7190970749724233,,0.0,0.8271989758041226,0.8271989758041226,0.2895196415314429,0,2AXIS_CLOSE_DRAW,0.725241740582584,0.40365331804005966,0.19583415476779464,0.19583415476779464,0.725241740582584,0.40365331804005966,0.29565481780336245,0.7803721686491,0.147300752507673,0.2114976025810804,0.6840318518836099,0.7203202187036144,0.40786239127291607,0.29761560941992116,hold_core,non_overlap,0.725241740582584,0.40365331804005966,0.19583415476779464,hold_core,non_overlap,stall_shape,0.233482720655159,0.5279483060594923,0.2385689732853487,0.3413977848528113,0.7505560858947921,0.4657685536710007,0.5080316842851686,0.6456879945045296,0.3360357905810792,0.6478274089016812,0.3521725910983188,0.4720516939405077,0.6431602391341167,0.2472073213369022,0.5462617372289797,0.206530941434118,low,neutral,home,"profile=stall_shape,stall,draw_tension_high",basis_balanced,2,01,Main,本線,A,2,02,Draw Compression,balanced close/neutral draw compression cluster,A,2,03,Volatility Swing,balanced round swing cluster,A,2,04,Hold Guard,balanced round guard ticket,A,2,05,Draw Pressure,balanced draw-core tension cluster,A,2,06,J2 Draw Pressure,J2 draw pressure cluster,A,2,07,Away Swing,balanced round away swing,A,2,08,Close Draw,balanced close/low-tempo draw cluster,A,2,09,Low Tempo Cover,balanced low-tempo + J2 draw cover,A,2,10,Blend Wide,balanced draw+swing blend,A
