match_no,home_team,away_team,league,p_home,p_draw,p_away,diff_ha,margin_best_second,entropy,draw_candidate,draw_candidate_reason,draw_score,closeness_2axis,closeness_effective_base,d_weight_base,buyplan_base_choice,buyplan_base_reason,ticket01,scenario_id_01,scenario_name_01,scenario_note_01,scenario_predicted_result_01,ticket02,scenario_id_02,scenario_name_02,scenario_note_02,scenario_predicted_result_02,ticket03,scenario_id_03,scenario_name_03,scenario_note_03,scenario_predicted_result_03,ticket04,scenario_id_04,scenario_name_04,scenario_note_04,scenario_predicted_result_04,ticket05,scenario_id_05,scenario_name_05,scenario_note_05,scenario_predicted_result_05,ticket06,scenario_id_06,scenario_name_06,scenario_note_06,scenario_predicted_result_06,ticket07,scenario_id_07,scenario_name_07,scenario_note_07,scenario_predicted_result_07,ticket08,scenario_id_08,scenario_name_08,scenario_note_08,scenario_predicted_result_08,ticket09,scenario_id_09,scenario_name_09,scenario_note_09,scenario_predicted_result_09,ticket10,scenario_id_10,scenario_name_10,scenario_note_10,scenario_predicted_result_10
1,千葉,柏,J1,0.1753282086566394,0.3112281596508315,0.5134436316925292,0.33811542303588976,0.20221547204169765,1.0108069455166473,False,ha_not_close,0.8174986567895259,0.0,0.0,0.0,2,ARGMAX_BASE,2,01,Lock 01,LOCK遵守（基準）,A,2,02,Lock 02,LOCK遵守（best→second）,A,2,03,Lock 03,LOCK遵守（best→second）,A,2,04,Prob 01,確率忠実（基準）,A,2,05,Prob 02,確率忠実（best→second）,A,2,06,Prob 03,確率忠実（best→second）,A,2,07,Prob 04,確率忠実（best→second）,A,2,08,Prob 05,確率忠実（best→second）,A,2,09,Exp 01,実験（best/second/third）,A,2,10,Exp 02,実験（best/second/third）,A
2,鹿島,東京Ｖ,J1,0.5831690308146698,0.28624945785266337,0.13058151133266682,0.45258751948200293,0.2969195729620064,0.938389703076106,False,ha_not_close,0.6905372094443287,0.0,0.0,0.0,1,GATE_MAX_STRONG,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
3,福岡,名古屋,J1,0.3578033387688764,0.3406989550870911,0.3014977061440326,0.05630563262484378,0.017104383681785296,1.0960834247683027,True,ha_close,1.1140438449187018,0.6246291158343747,0.6246291158343747,0.21862019054203116,0,2AXIS_CLOSE_DRAW,0,01,Lock 01,LOCK遵守（基準）,D,0,02,Lock 02,LOCK遵守（best→second）,D,0,03,Lock 03,LOCK遵守（best→second）,D,0,04,Prob 01,確率忠実（基準）,D,0,05,Prob 02,確率忠実（best→second）,D,0,06,Prob 03,確率忠実（best→second）,D,0,07,Prob 04,確率忠実（best→second）,D,0,08,Prob 05,確率忠実（best→second）,D,0,09,Exp 01,実験（best/second/third）,D,0,10,Exp 02,実験（best/second/third）,D
4,岡山,京都,J1,0.1746298335325861,0.3109138524139441,0.5144563140534698,0.3398264805208837,0.20354246163952572,1.0098966589006444,False,ha_not_close,0.8156304456860883,0.0,0.0,0.0,2,ARGMAX_BASE,2,01,Lock 01,LOCK遵守（基準）,A,2,02,Lock 02,LOCK遵守（best→second）,A,2,03,Lock 03,LOCK遵守（best→second）,A,2,04,Prob 01,確率忠実（基準）,A,2,05,Prob 02,確率忠実（best→second）,A,2,06,Prob 03,確率忠実（best→second）,A,2,07,Prob 04,確率忠実（best→second）,A,2,08,Prob 05,確率忠実（best→second）,A,2,09,Exp 01,実験（best/second/third）,A,2,10,Exp 02,実験（best/second/third）,A
5,Ｇ大阪,長崎,J1,0.36777646062418407,0.34003823342256967,0.29218530595324627,0.0755911546709378,0.027738227201614396,1.0941729009996128,False,ha_not_close,1.094427962040347,0.4960589688604147,0.4960589688604147,0.1736206391011451,0,2AXIS_CLOSE_DRAW,1,01,Lock 01,LOCK遵守（基準）,H,0,02,Lock 02,LOCK遵守（best→second）,D,0,03,Lock 03,LOCK遵守（best→second）,D,0,04,Prob 01,確率忠実（基準）,D,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,0,09,Exp 01,実験（best/second/third）,D,1,10,Exp 02,実験（best/second/third）,H
6,FC東京,横浜FM,J1,0.37367160450362075,0.33956037706362746,0.28676801843275174,0.08690358607086901,0.034111227439993286,1.0927911151652185,False,ha_not_close,1.0828766024609446,0.42064275952753993,0.42064275952753993,0.14722496583463895,0,2AXIS_CLOSE_DRAW,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,0,03,Lock 03,LOCK遵守（best→second）,D,1,04,Prob 01,確率忠実（基準）,H,0,05,Prob 02,確率忠実（best→second）,D,0,06,Prob 03,確率忠実（best→second）,D,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,0,09,Exp 01,実験（best/second/third）,D,1,10,Exp 02,実験（best/second/third）,H
7,浦和,水戸,J1,0.3796279715002489,0.33901289227752707,0.28135913622222397,0.09826883527802494,0.04061507922272184,1.0912079578385734,False,ha_not_close,1.0712376108607384,0.34487443147983377,0.34487443147983377,0.12070605101794181,0,2AXIS_CLOSE_DRAW,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,0,05,Prob 02,確率忠実（best→second）,D,0,06,Prob 03,確率忠実（best→second）,D,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
8,Ｃ大阪,清水,J1,0.40029260597238236,0.33662259461694655,0.26308479941067114,0.13720780656171122,0.06367001135543582,1.0842955470144653,False,ha_not_close,1.031103490746762,0.08528128958859182,0.08528128958859182,0.029848451356007135,1,2AXIS_APPLIED_NO_SWITCH,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,0,07,Prob 04,確率忠実（best→second）,D,0,08,Prob 05,確率忠実（best→second）,D,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
9,仙台,湘南,J2,0.3948741868403798,0.3366065298527225,0.2685192833068976,0.12635490353348217,0.05826765698765729,1.0864811361363422,False,ha_not_close,1.041948361392879,0.15763397644345223,0.15763397644345223,0.05517189175520828,1,2AXIS_APPLIED_NO_SWITCH,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,0,06,Prob 03,確率忠実（best→second）,D,0,07,Prob 04,確率忠実（best→second）,D,0,08,Prob 05,確率忠実（best→second）,D,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
10,藤枝,磐田,J2,0.1827161011937842,0.3135982458625737,0.5036856529436421,0.32096955174985786,0.19008740708106842,1.0196757586764147,False,ha_not_close,0.835829571181429,0.0,0.0,0.0,2,ARGMAX_BASE,2,01,Lock 01,LOCK遵守（基準）,A,2,02,Lock 02,LOCK遵守（best→second）,A,2,03,Lock 03,LOCK遵守（best→second）,A,2,04,Prob 01,確率忠実（基準）,A,2,05,Prob 02,確率忠実（best→second）,A,2,06,Prob 03,確率忠実（best→second）,A,2,07,Prob 04,確率忠実（best→second）,A,2,08,Prob 05,確率忠実（best→second）,A,2,09,Exp 01,実験（best/second/third）,A,0,10,Exp 02,実験（best/second/third）,D
