mode,match_no,home_team,away_team,H_count,D_count,A_count,dominant,all_same,base_pick,base_reason,pH,pD,pA,margin_best_second,entropy
balance_ha,1,千葉,柏,0,0,10,2,1,2,ARGMAX_BASE,0.1753282086566394,0.3112281596508315,0.5134436316925292,0.2022154720416976,1.0108069455166473
tri_argmax,1,千葉,柏,0,0,10,2,1,2,ARGMAX_BASE,0.1753282086566394,0.3112281596508315,0.5134436316925292,0.2022154720416976,1.0108069455166473
balance_ha,2,鹿島,東京Ｖ,10,0,0,1,1,1,GATE_MAX_STRONG,0.5831690308146698,0.2862494578526633,0.1305815113326668,0.2969195729620064,0.938389703076106
tri_argmax,2,鹿島,東京Ｖ,10,0,0,1,1,1,GATE_MAX_STRONG,0.5831690308146698,0.2862494578526633,0.1305815113326668,0.2969195729620064,0.938389703076106
balance_ha,3,福岡,名古屋,0,10,0,0,1,0,2AXIS_CLOSE_DRAW,0.3578033387688764,0.3406989550870911,0.3014977061440326,0.0171043836817852,1.096083424768303
tri_argmax,3,福岡,名古屋,4,6,0,0,0,0,2AXIS_CLOSE_DRAW,0.3578033387688764,0.3406989550870911,0.3014977061440326,0.0171043836817852,1.096083424768303
balance_ha,4,岡山,京都,0,0,10,2,1,2,ARGMAX_BASE,0.1746298335325861,0.3109138524139441,0.5144563140534698,0.2035424616395257,1.0098966589006444
tri_argmax,4,岡山,京都,0,0,10,2,1,2,ARGMAX_BASE,0.1746298335325861,0.3109138524139441,0.5144563140534698,0.2035424616395257,1.0098966589006444
balance_ha,5,Ｇ大阪,長崎,6,4,0,1,0,0,2AXIS_CLOSE_DRAW,0.367776460624184,0.3400382334225696,0.2921853059532462,0.0277382272016143,1.0941729009996128
tri_argmax,5,Ｇ大阪,長崎,7,3,0,1,0,0,2AXIS_CLOSE_DRAW,0.367776460624184,0.3400382334225696,0.2921853059532462,0.0277382272016143,1.0941729009996128
balance_ha,6,FC東京,横浜FM,6,4,0,1,0,0,2AXIS_CLOSE_DRAW,0.3736716045036207,0.3395603770636274,0.2867680184327517,0.0341112274399932,1.0927911151652183
tri_argmax,6,FC東京,横浜FM,7,3,0,1,0,0,2AXIS_CLOSE_DRAW,0.3736716045036207,0.3395603770636274,0.2867680184327517,0.0341112274399932,1.0927911151652183
balance_ha,7,浦和,水戸,8,2,0,1,0,0,2AXIS_CLOSE_DRAW,0.3796279715002489,0.339012892277527,0.2813591362222239,0.0406150792227218,1.0912079578385734
tri_argmax,7,浦和,水戸,8,2,0,1,0,0,2AXIS_CLOSE_DRAW,0.3796279715002489,0.339012892277527,0.2813591362222239,0.0406150792227218,1.0912079578385734
balance_ha,8,Ｃ大阪,清水,8,2,0,1,0,1,2AXIS_APPLIED_NO_SWITCH,0.4002926059723823,0.3366225946169465,0.2630847994106711,0.0636700113554358,1.0842955470144653
tri_argmax,8,Ｃ大阪,清水,9,1,0,1,0,1,2AXIS_APPLIED_NO_SWITCH,0.4002926059723823,0.3366225946169465,0.2630847994106711,0.0636700113554358,1.0842955470144653
balance_ha,9,仙台,湘南,7,3,0,1,0,1,2AXIS_APPLIED_NO_SWITCH,0.3948741868403798,0.3366065298527225,0.2685192833068976,0.0582676569876572,1.0864811361363422
tri_argmax,9,仙台,湘南,8,2,0,1,0,1,2AXIS_APPLIED_NO_SWITCH,0.3948741868403798,0.3366065298527225,0.2685192833068976,0.0582676569876572,1.0864811361363422
balance_ha,10,藤枝,磐田,0,1,9,2,0,2,ARGMAX_BASE,0.1827161011937842,0.3135982458625737,0.5036856529436421,0.1900874070810684,1.0196757586764147
tri_argmax,10,藤枝,磐田,0,1,9,2,0,2,ARGMAX_BASE,0.1827161011937842,0.3135982458625737,0.5036856529436421,0.1900874070810684,1.0196757586764147
balance_ha,11,八戸,横浜FC,3,7,0,0,0,0,2AXIS_CLOSE_DRAW,0.3327388833807512,0.3407346996933035,0.3265264169259452,0.0079958163125523,1.098460210324554
tri_argmax,11,八戸,横浜FC,1,9,0,0,0,0,2AXIS_CLOSE_DRAW,0.3327388833807512,0.3407346996933035,0.3265264169259452,0.0079958163125523,1.098460210324554
balance_ha,12,山形,秋田,9,1,0,1,0,1,ARGMAX_BASE,0.4134422413780927,0.3340216374403614,0.2525361211815458,0.0794206039377313,1.0789793940669428
tri_argmax,12,山形,秋田,9,1,0,1,0,1,ARGMAX_BASE,0.4134422413780927,0.3340216374403614,0.2525361211815458,0.0794206039377313,1.0789793940669428
balance_ha,13,いわき,大宮,6,4,0,1,0,0,2AXIS_CLOSE_DRAW,0.3374092843698855,0.3406825738064822,0.3219081418236321,0.0032732894365967,1.0983089627631024
tri_argmax,13,いわき,大宮,3,7,0,0,0,0,2AXIS_CLOSE_DRAW,0.3374092843698855,0.3406825738064822,0.3219081418236321,0.0032732894365967,1.0983089627631024
