match_no,home_team,away_team,H_balance,D_balance,A_balance,H_tri,D_tri,A_tri,dH,dD,dA,base_balance,base_tri,base_reason_balance,base_reason_tri,all_same_balance,all_same_tri
1,千葉,柏,0,0,10,0,0,10,0,0,0,2,2,ARGMAX_BASE,ARGMAX_BASE,1,1
2,鹿島,東京Ｖ,10,0,0,10,0,0,0,0,0,1,1,GATE_MAX_STRONG,GATE_MAX_STRONG,1,1
3,福岡,名古屋,0,10,0,4,6,0,4,-4,0,0,0,2AXIS_CLOSE_DRAW,2AXIS_CLOSE_DRAW,1,0
4,岡山,京都,0,0,10,0,0,10,0,0,0,2,2,ARGMAX_BASE,ARGMAX_BASE,1,1
5,Ｇ大阪,長崎,6,4,0,7,3,0,1,-1,0,0,0,2AXIS_CLOSE_DRAW,2AXIS_CLOSE_DRAW,0,0
6,FC東京,横浜FM,6,4,0,7,3,0,1,-1,0,0,0,2AXIS_CLOSE_DRAW,2AXIS_CLOSE_DRAW,0,0
7,浦和,水戸,8,2,0,8,2,0,0,0,0,0,0,2AXIS_CLOSE_DRAW,2AXIS_CLOSE_DRAW,0,0
8,Ｃ大阪,清水,8,2,0,9,1,0,1,-1,0,1,1,2AXIS_APPLIED_NO_SWITCH,2AXIS_APPLIED_NO_SWITCH,0,0
9,仙台,湘南,7,3,0,8,2,0,1,-1,0,1,1,2AXIS_APPLIED_NO_SWITCH,2AXIS_APPLIED_NO_SWITCH,0,0
10,藤枝,磐田,0,1,9,0,1,9,0,0,0,2,2,ARGMAX_BASE,ARGMAX_BASE,0,0
11,八戸,横浜FC,3,7,0,1,9,0,-2,2,0,0,0,2AXIS_CLOSE_DRAW,2AXIS_CLOSE_DRAW,0,0
12,山形,秋田,9,1,0,9,1,0,0,0,0,1,1,ARGMAX_BASE,ARGMAX_BASE,0,0
13,いわき,大宮,6,4,0,3,7,0,-3,3,0,0,0,2AXIS_CLOSE_DRAW,2AXIS_CLOSE_DRAW,0,0
