match_no,home_team,away_team,league,ticket01,scenario_id_01,scenario_name_01,scenario_note_01,scenario_predicted_result_01,ticket02,scenario_id_02,scenario_name_02,scenario_note_02,scenario_predicted_result_02,ticket03,scenario_id_03,scenario_name_03,scenario_note_03,scenario_predicted_result_03,ticket04,scenario_id_04,scenario_name_04,scenario_note_04,scenario_predicted_result_04,ticket05,scenario_id_05,scenario_name_05,scenario_note_05,scenario_predicted_result_05,ticket06,scenario_id_06,scenario_name_06,scenario_note_06,scenario_predicted_result_06,ticket07,scenario_id_07,scenario_name_07,scenario_note_07,scenario_predicted_result_07,ticket08,scenario_id_08,scenario_name_08,scenario_note_08,scenario_predicted_result_08,ticket09,scenario_id_09,scenario_name_09,scenario_note_09,scenario_predicted_result_09,ticket10,scenario_id_10,scenario_name_10,scenario_note_10,scenario_predicted_result_10
1,横浜FM,東京Ｖ,J1,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,0,06,Prob 03,確率忠実（best→second）,D,0,07,Prob 04,確率忠実（best→second）,D,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
2,Ｇ大阪,清水,J1,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
3,長崎,Ｃ大阪,J1,0,01,Lock 01,LOCK遵守（基準）,D,2,02,Lock 02,LOCK遵守（best→second）,A,0,03,Lock 03,LOCK遵守（best→second）,D,2,04,Prob 01,確率忠実（基準）,A,2,05,Prob 02,確率忠実（best→second）,A,0,06,Prob 03,確率忠実（best→second）,D,0,07,Prob 04,確率忠実（best→second）,D,0,08,Prob 05,確率忠実（best→second）,D,2,09,Exp 01,実験（best/second/third）,A,0,10,Exp 02,実験（best/second/third）,D
4,岡山,名古屋,J1,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,2,08,Prob 05,確率忠実（best→second）,A,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
5,川崎Ｆ,水戸,J1,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,0,06,Prob 03,確率忠実（best→second）,D,0,07,Prob 04,確率忠実（best→second）,D,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
6,浦和,鹿島,J1,0,01,Lock 01,LOCK遵守（基準）,D,0,02,Lock 02,LOCK遵守（best→second）,D,0,03,Lock 03,LOCK遵守（best→second）,D,0,04,Prob 01,確率忠実（基準）,D,0,05,Prob 02,確率忠実（best→second）,D,0,06,Prob 03,確率忠実（best→second）,D,0,07,Prob 04,確率忠実（best→second）,D,0,08,Prob 05,確率忠実（best→second）,D,0,09,Exp 01,実験（best/second/third）,D,0,10,Exp 02,実験（best/second/third）,D
7,FC東京,柏,J1,2,01,Lock 01,LOCK遵守（基準）,A,2,02,Lock 02,LOCK遵守（best→second）,A,2,03,Lock 03,LOCK遵守（best→second）,A,2,04,Prob 01,確率忠実（基準）,A,2,05,Prob 02,確率忠実（best→second）,A,2,06,Prob 03,確率忠実（best→second）,A,2,07,Prob 04,確率忠実（best→second）,A,2,08,Prob 05,確率忠実（best→second）,A,2,09,Exp 01,実験（best/second/third）,A,2,10,Exp 02,実験（best/second/third）,A
8,仙台,八戸,J2,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
9,今治,新潟,J2,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,2,03,Lock 03,LOCK遵守（best→second）,A,2,04,Prob 01,確率忠実（基準）,A,2,05,Prob 02,確率忠実（best→second）,A,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,0,09,Exp 01,実験（best/second/third）,D,0,10,Exp 02,実験（best/second/third）,D
10,いわき,藤枝,J2,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,0,07,Prob 04,確率忠実（best→second）,D,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
11,栃木Ｃ,湘南,J2,0,01,Lock 01,LOCK遵守（基準）,D,0,02,Lock 02,LOCK遵守（best→second）,D,0,03,Lock 03,LOCK遵守（best→second）,D,0,04,Prob 01,確率忠実（基準）,D,1,05,Prob 02,確率忠実（best→second）,H,0,06,Prob 03,確率忠実（best→second）,D,0,07,Prob 04,確率忠実（best→second）,D,1,08,Prob 05,確率忠実（best→second）,H,0,09,Exp 01,実験（best/second/third）,D,0,10,Exp 02,実験（best/second/third）,D
12,札幌,岐阜,UNKNOWN,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
13,富山,FC大阪,UNKNOWN,1,01,Lock 01,LOCK遵守（基準）,H,1,02,Lock 02,LOCK遵守（best→second）,H,1,03,Lock 03,LOCK遵守（best→second）,H,1,04,Prob 01,確率忠実（基準）,H,1,05,Prob 02,確率忠実（best→second）,H,1,06,Prob 03,確率忠実（best→second）,H,1,07,Prob 04,確率忠実（best→second）,H,1,08,Prob 05,確率忠実（best→second）,H,1,09,Exp 01,実験（best/second/third）,H,1,10,Exp 02,実験（best/second/third）,H
