match_key,hfa21_pH,hfa21_pD,hfa21_pA,hfa21_maxP,hfa21_top,hfa10_pH,hfa10_pD,hfa10_pA,hfa10_maxP,hfa10_top,hfa0_pH,hfa0_pD,hfa0_pA,hfa0_maxP,hfa0_top
FC東京 vs 横浜FM,0.3736716045036207,0.3395603770636274,0.2867680184327517,0.3736716045036207,1,0.3736716045036207,0.3395603770636274,0.2867680184327517,0.3736716045036207,1,0.3736716045036207,0.3395603770636274,0.2867680184327517,0.3736716045036207,1
いわき vs 大宮,0.3374092843698856,0.3406825738064823,0.3219081418236322,0.3406825738064823,0,0.3374092843698856,0.3406825738064823,0.3219081418236322,0.3406825738064823,0,0.3374092843698856,0.3406825738064823,0.3219081418236322,0.3406825738064823,0
仙台 vs 湘南,0.3948741868403798,0.3366065298527225,0.2685192833068976,0.3948741868403798,1,0.3948741868403798,0.3366065298527225,0.2685192833068976,0.3948741868403798,1,0.3948741868403798,0.3366065298527225,0.2685192833068976,0.3948741868403798,1
八戸 vs 横浜FC,0.3327388833807512,0.3407346996933035,0.3265264169259452,0.3407346996933035,0,0.3327388833807512,0.3407346996933035,0.3265264169259452,0.3407346996933035,0,0.3327388833807512,0.3407346996933035,0.3265264169259452,0.3407346996933035,0
千葉 vs 柏,0.1753282086566394,0.3112281596508315,0.5134436316925292,0.5134436316925292,2,0.1753282086566394,0.3112281596508315,0.5134436316925292,0.5134436316925292,2,0.1753282086566394,0.3112281596508315,0.5134436316925292,0.5134436316925292,2
山形 vs 秋田,0.4134422413780927,0.3340216374403614,0.2525361211815458,0.4134422413780927,1,0.4134422413780927,0.3340216374403614,0.2525361211815458,0.4134422413780927,1,0.4134422413780927,0.3340216374403614,0.2525361211815458,0.4134422413780927,1
岡山 vs 京都,0.1746298335325861,0.3109138524139441,0.5144563140534698,0.5144563140534698,2,0.1746298335325861,0.3109138524139441,0.5144563140534698,0.5144563140534698,2,0.1746298335325861,0.3109138524139441,0.5144563140534698,0.5144563140534698,2
浦和 vs 水戸,0.3796279715002488,0.339012892277527,0.2813591362222239,0.3796279715002488,1,0.3796279715002488,0.339012892277527,0.2813591362222239,0.3796279715002488,1,0.3796279715002488,0.339012892277527,0.2813591362222239,0.3796279715002488,1
福岡 vs 名古屋,0.3578033387688764,0.3406989550870911,0.3014977061440326,0.3578033387688764,1,0.3578033387688764,0.3406989550870911,0.3014977061440326,0.3578033387688764,1,0.3578033387688764,0.3406989550870911,0.3014977061440326,0.3578033387688764,1
藤枝 vs 磐田,0.1827161011937842,0.3135982458625737,0.5036856529436421,0.5036856529436421,2,0.1827161011937842,0.3135982458625737,0.5036856529436421,0.5036856529436421,2,0.1827161011937842,0.3135982458625737,0.5036856529436421,0.5036856529436421,2
鹿島 vs 東京Ｖ,0.5831690308146696,0.2862494578526633,0.1305815113326668,0.5831690308146696,1,0.5831690308146696,0.2862494578526633,0.1305815113326668,0.5831690308146696,1,0.5831690308146696,0.2862494578526633,0.1305815113326668,0.5831690308146696,1
Ｃ大阪 vs 清水,0.4002926059723823,0.3366225946169465,0.2630847994106711,0.4002926059723823,1,0.4002926059723823,0.3366225946169465,0.2630847994106711,0.4002926059723823,1,0.4002926059723823,0.3366225946169465,0.2630847994106711,0.4002926059723823,1
Ｇ大阪 vs 長崎,0.367776460624184,0.3400382334225696,0.2921853059532462,0.367776460624184,1,0.367776460624184,0.3400382334225696,0.2921853059532462,0.367776460624184,1,0.367776460624184,0.3400382334225696,0.2921853059532462,0.367776460624184,1
