match_no,home_team,away_team,league,context_primary_pick,context_secondary_pick,context_admission_policy,context_rank1_pick,context_rank2_pick,context_rank3_pick,context_rank1_prob,context_rank2_prob,context_rank3_prob,context_risk_level,context_ticket_guidance,context_decision_summary,context_match_purchase_type,context_match_purchase_subtype,context_purchase_type_confidence,context_purchase_type_reason,context_anchor_candidate_flag,context_draw_core_candidate_flag,context_draw_core_flag,context_draw_purchase_tier,p_home,p_draw,p_away,diff_ha,margin_best_second,entropy,draw_candidate,draw_candidate_reason,draw_score,draw_branch_candidate,draw_branch_score,away_value_candidate,away_value_score,flab_trial_flag,flab_trial_score,closeness_2axis,closeness_effective_base,d_weight_base,buyplan_base_choice,buyplan_base_reason,shape_draw_pressure_score,shape_swing_score,shape_hold_lock_score,shape_hold_strength,shape_draw_compression,shape_swing_instability,shape_path_imbalance,shape_entropy,shape_directionality,topology_asymmetry_score,admission_draw_score,admission_escape_draw_score,admission_escape_home_score,admission_escape_away_score,shape_cluster_label,shape_overlap_subtype,lab_draw_pressure_score,lab_swing_score,lab_hold_lock_score,lab_cluster_label,lab_overlap_subtype,lab_matchup_profile,lab_hold_weight,lab_stall_weight,lab_flip_weight,lab_volatility_score,lab_draw_tension_score,lab_dynamic_swing_score,lab_hold_foundation_score,lab_stall_compactness_score,lab_flip_dislocation_score,lab_home_path_score,lab_away_path_score,lab_scenario_entropy_score,lab_draw_path_score,lab_mix_home,lab_mix_draw,lab_mix_away,lab_tempo_band,lab_control_band,lab_pressure_band,lab_state_notes,lab_basis_hint,ticket01,scenario_id_01,scenario_name_01,scenario_note_01,scenario_predicted_result_01,ticket02,scenario_id_02,scenario_name_02,scenario_note_02,scenario_predicted_result_02,ticket03,scenario_id_03,scenario_name_03,scenario_note_03,scenario_predicted_result_03,ticket04,scenario_id_04,scenario_name_04,scenario_note_04,scenario_predicted_result_04,ticket05,scenario_id_05,scenario_name_05,scenario_note_05,scenario_predicted_result_05,ticket06,scenario_id_06,scenario_name_06,scenario_note_06,scenario_predicted_result_06,ticket07,scenario_id_07,scenario_name_07,scenario_note_07,scenario_predicted_result_07,ticket08,scenario_id_08,scenario_name_08,scenario_note_08,scenario_predicted_result_08,ticket09,scenario_id_09,scenario_name_09,scenario_note_09,scenario_predicted_result_09,ticket10,scenario_id_10,scenario_name_10,scenario_note_10,scenario_predicted_result_10
1,鹿島,名古屋,J1,1,2,rank1_side_cover,1,2,0,0.3795147335626471,0.3547783561369217,0.2657069103004312,medium,side_with_cover,"side ranks r1=1 r2=2 r3=0: top_gap=0.025 max_prob=0.380 + lab=stall + hold=0.33 + stall=0.40 + flip=0.27 + vol=0.13 + dt=0.67 + tempo=high + profile=stall_shape + basis=split_side + control=home + profile=stall_shape,stall,draw_tension_high,style_direct_edge,cbp_front_edge,home_control,basis=split_side + conf=watch@0.48",chaos_flat,flat_watch,medium,top_prob=0.380 top_gap=0.025 side_gap=0.025 entropy=0.598 path_gap=0.060,False,False,False,side,0.3677878798195124,0.2883962736004199,0.34381584658006764,0.023972033239444746,0.07939160621909247,1.0935517423890606,True,shape_close_3way,1.1202261035607652,False,0.913370097789124,True,0.848515559818363,,0.0,0.8401864450703683,0.8401864450703683,0.2940652557746289,0,2AXIS_CLOSE_DRAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027110409902475163,0.04614340377606719,0.37467875010876184,0.2489746072595832,0.18028919440478436,hold_core,non_overlap,0.0,0.0,0.0,hold_core,non_overlap,stall_shape,0.3307667852498134,0.402326976745217,0.2669062380049695,0.1255384193277118,0.669399330485937,0.1523320254668485,0.5446174363284655,0.5735034853131508,0.5152433540142536,0.5299940051570725,0.4700059948429275,0.597673023254783,0.6951469571849315,0.2385931226683567,0.5332492076401388,0.2281576696915044,high,home,neutral,"profile=stall_shape,stall,draw_tension_high,style_direct_edge,cbp_front_edge,home_control,basis=split_side",split_side,1,01,Main Anchor,main_anchor_world,H,1,02,Safe Main,safe_main_world,H,1,03,Draw Pressure,draw_pressure_world,H,1,04,Hold Guard,hold_guard_world,H,1,05,Controlled Upset,controlled_upset_world,H,1,06,J2 Context,j2_context_world,H,1,07,Side Hedge,side_hedge_world,H,1,08,Close Draw,close_draw_world,H,1,09,Upset,upset_world,H,1,10,Wide,wide_world,H
2,清水,横浜FM,J1,0,2,rank1_draw_watch,0,2,1,0.4244241570720359,0.3071228972993967,0.2684529456285673,draw_watch,draw_watch_split,"draw watch split: pd=0.424 gap=-0.117 top_gap=0.117 + lab=stall + hold=0.25 + stall=0.43 + flip=0.32 + vol=0.17 + dt=0.67 + tempo=low + profile=stall_shape + basis=split_side + pressure=home + profile=stall_shape,stall,draw_tension_high,basis=split_side + conf=trusted@0.38",j1_false_draw_watch,draw_false_j1,high,pd=0.424 draw_tension=0.666 entropy=0.574 top_gap=0.117,False,False,False,watch,0.2596372402805217,0.4433254472956361,0.2970373124238421,0.03740007214332042,0.1836882070151144,1.0713094350803063,False,shape_not_close_3way,1.1842626515044976,False,0.8080736697943839,False,0.6836750621698163,,0.0,0.7506661857111971,0.7506661857111971,0.26273316499891897,0,2AXIS_CLOSE_DRAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07115536475068987,0.07093207156730177,0.3787431080330549,0.261444750684918,0.1797702078002929,hold_core,non_overlap,0.0,0.0,0.0,hold_core,non_overlap,stall_shape,0.252242388909091,0.4257862744706107,0.3219713366202981,0.1740634145144349,0.6662834338458581,0.1958128349211257,0.4124177116657346,0.5798872885132332,0.5212980115913772,0.5847675681117003,0.4152324318882998,0.5742137255293893,0.66271232791627,0.2348582906963235,0.557338015635087,0.2078036936685895,low,neutral,home,"profile=stall_shape,stall,draw_tension_high,basis=split_side",split_side,0,01,Main Anchor,main_anchor_world,D,0,02,Safe Main,safe_main_world,D,0,03,Draw Pressure,draw_pressure_world,D,2,04,Hold Guard,hold_guard_world,A,2,05,Controlled Upset,controlled_upset_world,A,2,06,J2 Context,j2_context_world,A,2,07,Side Hedge,side_hedge_world,A,0,08,Close Draw,close_draw_world,D,2,09,Upset,upset_world,A,1,10,Wide,wide_world,H
3,神戸,FC東京,J1,1,0,rank1_side_cover,1,0,2,0.354663829896563,0.3319367781144883,0.3133993919889488,medium,side_with_cover,"side ranks r1=1 r2=0 r3=2: top_gap=0.023 max_prob=0.355 + lab=hold + hold=0.36 + stall=0.35 + flip=0.29 + vol=0.11 + dt=0.54 + tempo=low + control=home + pressure=home + profile=balanced,agi_kagi_edge,home_control + conf=watch@0.48",chaos_side_watch,home_watch,low,best=H top_prob=0.355 side_gap=0.041 path_gap=0.364 entropy=0.640,False,False,False,side,0.3410778749874274,0.3575279888439147,0.3013941361686579,0.03968373881876952,0.03968373881876952,1.096083918105664,True,shape_close_3way,1.1390802556031878,True,0.8672605861910244,True,0.692186904737508,,0.0,0.7354417412082032,0.7354417412082032,0.2574046094228711,0,2AXIS_CLOSE_DRAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14540185333930597,0.05720447821502635,0.32890776921699827,0.3027452770101751,0.18906069440386317,neutral,non_overlap,0.0,0.0,0.0,neutral,non_overlap,balanced,0.359857329712083,0.3463337958668885,0.2938088744210285,0.1074070708903089,0.5385878979346514,0.1472426407384502,0.5508485975664908,0.4550681950073597,0.4542146181563128,0.6819194478314835,0.3180805521685165,0.6401426702879169,0.5674899668917402,0.3093109345232564,0.4525774989668946,0.238111566509849,low,home,home,"profile=balanced,agi_kagi_edge,home_control",basis_balanced,1,01,Main Anchor,main_anchor_world,H,1,02,Safe Main,safe_main_world,H,1,03,Draw Pressure,draw_pressure_world,H,1,04,Hold Guard,hold_guard_world,H,1,05,Controlled Upset,controlled_upset_world,H,1,06,J2 Context,j2_context_world,H,1,07,Side Hedge,side_hedge_world,H,1,08,Close Draw,close_draw_world,H,1,09,Upset,upset_world,H,1,10,Wide,wide_world,H
4,千葉,町田,J1,2,0,rank1_side_cover,2,0,1,0.5247989089634255,0.27028180052944,0.2049192905071344,low,side_with_cover,"side ranks r1=2 r2=0 r3=1: top_gap=0.255 max_prob=0.525 + lab=hold + hold=0.38 + stall=0.25 + flip=0.37 + vol=0.21 + dt=0.51 + tempo=low + profile=swing_watch + pressure=away + profile=swing_watch,flip,style_direct_edge,cbp_front_edge,agi_kagi_edge + conf=trusted@0.4",chaos_side_watch,away_watch,high,best=A top_prob=0.525 side_gap=0.320 path_gap=0.643 entropy=0.617,False,False,False,side,0.20058219320054343,0.2857262168636064,0.5136915899358502,0.31310939673530674,0.31310939673530674,1.0223633544623618,False,shape_not_close_3way,0.8297537116964965,False,0.45413344297568325,False,0.993059522909744,,0.0,0.0,0.0,0.0,2,ARGMAX_BASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30052117888023133,0.045716194698177025,0.28314542029504564,0.2390602116347396,0.3041700560617568,hold_core,non_overlap,0.0,0.0,0.0,hold_core,non_overlap,swing_watch,0.3833366960953045,0.250500896429396,0.3661624074752994,0.2149058431742105,0.5137234336187692,0.4125062226983145,0.7690832935959804,0.3527275570175439,0.5120421106951255,0.1787348849106894,0.8212651150893107,0.6166633039046955,0.4601460160905968,0.2553683115754518,0.3498531029312723,0.3947785854932759,low,neutral,away,"profile=swing_watch,flip,style_direct_edge,cbp_front_edge,agi_kagi_edge",basis_balanced,2,01,Main Anchor,main_anchor_world,A,2,02,Safe Main,safe_main_world,A,2,03,Draw Pressure,draw_pressure_world,A,2,04,Hold Guard,hold_guard_world,A,0,05,Controlled Upset,controlled_upset_world,D,2,06,J2 Context,j2_context_world,A,1,07,Side Hedge,side_hedge_world,H,2,08,Close Draw,close_draw_world,A,0,09,Upset,upset_world,D,2,10,Wide,wide_world,A
5,福岡,Ｃ大阪,J1,2,0,rank1_side_cover,2,0,1,0.4014197002636075,0.3537893912290541,0.2447909085073382,medium,side_with_cover,"side ranks r1=2 r2=0 r3=1: top_gap=0.048 max_prob=0.401 + lab=stall + hold=0.33 + stall=0.35 + flip=0.32 + vol=0.15 + dt=0.62 + tempo=low + profile=stall_side_preserve + pressure=home + profile=stall_side_preserve,stall,cbp_front_edge,agi_kagi_edge + conf=trusted@0.4",chaos_side_watch,away_watch,medium,best=A top_prob=0.401 side_gap=0.157 path_gap=0.277 entropy=0.653,False,False,False,side,0.23805325131822064,0.37157577708961864,0.39037097159216083,0.1523177202739402,0.1523177202739402,1.0767349460783204,False,shape_not_close_3way,1.0334701682708691,False,0.5414701270668504,False,0.9980086384600421,,0.0,0.0,0.0,0.0,2,ARGMAX_BASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13273676254400496,0.05945212433433898,0.3485852044137759,0.28432165167737855,0.19629608820882732,hold_core,non_overlap,0.0,0.0,0.0,hold_core,non_overlap,stall_side_preserve,0.3286287702969543,0.3469722280630477,0.3243990016399981,0.1530580393340597,0.616525300297702,0.2195841904835527,0.613681660074038,0.4926315228727526,0.462598404399503,0.6385783853877575,0.3614216146122424,0.6530277719369523,0.6212569560829729,0.2864845839802197,0.478607379389212,0.2349080366305684,low,neutral,home,"profile=stall_side_preserve,stall,cbp_front_edge,agi_kagi_edge",basis_balanced,2,01,Main Anchor,main_anchor_world,A,0,02,Safe Main,safe_main_world,D,2,03,Draw Pressure,draw_pressure_world,A,2,04,Hold Guard,hold_guard_world,A,1,05,Controlled Upset,controlled_upset_world,H,2,06,J2 Context,j2_context_world,A,2,07,Side Hedge,side_hedge_world,A,0,08,Close Draw,close_draw_world,D,2,09,Upset,upset_world,A,0,10,Wide,wide_world,D
6,水戸,Ｇ大阪,J1,2,0,rank1_side_cover,2,0,1,0.4056570096450042,0.3572353761744055,0.2371076141805902,medium,side_with_cover,"side ranks r1=2 r2=0 r3=1: top_gap=0.048 max_prob=0.406 + lab=flip + hold=0.31 + stall=0.30 + flip=0.39 + vol=0.17 + dt=0.64 + tempo=mid + basis=split_side + profile=balanced,flip,draw_tension_high,cbp_front_edge,agi_kagi_edge,basis=split_side + conf=trusted@0.4",chaos_side_watch,away_watch,low,best=A top_prob=0.406 side_gap=0.169 path_gap=0.095 entropy=0.607,False,False,False,side,0.23051963276254903,0.3750944458317472,0.3943859214057037,0.1638662886431547,0.1638662886431547,1.0730247531616888,False,shape_not_close_3way,1.023680934272719,False,0.5326824507155158,False,0.9976709221469349,,0.0,0.0,0.0,0.0,2,ARGMAX_BASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06558606388572503,0.06001511133307956,0.3692311129489402,0.23415923747838144,0.2013589888563739,neutral,non_overlap,0.0,0.0,0.0,neutral,non_overlap,balanced,0.3090810133514255,0.2982655637406273,0.3926534229079471,0.1697888383347567,0.6442564121530678,0.1772686381551177,0.5551525745571465,0.4270013041035128,0.6788221003568811,0.4525129843026879,0.5474870156973121,0.607346577092053,0.6459075654885024,0.2448538964078768,0.4914762835917246,0.2636698200003984,mid,neutral,neutral,"profile=balanced,flip,draw_tension_high,cbp_front_edge,agi_kagi_edge,basis=split_side",split_side,2,01,Main Anchor,main_anchor_world,A,2,02,Safe Main,safe_main_world,A,2,03,Draw Pressure,draw_pressure_world,A,2,04,Hold Guard,hold_guard_world,A,2,05,Controlled Upset,controlled_upset_world,A,2,06,J2 Context,j2_context_world,A,1,07,Side Hedge,side_hedge_world,H,2,08,Close Draw,close_draw_world,A,2,09,Upset,upset_world,A,0,10,Wide,wide_world,D
7,岡山,長崎,J1,2,0,rank1_side_cover,2,0,1,0.423370538276221,0.3409178573754583,0.2357116043483206,medium,side_with_cover,"side ranks r1=2 r2=0 r3=1: top_gap=0.082 max_prob=0.423 + lab=stall + hold=0.26 + stall=0.42 + flip=0.32 + vol=0.16 + dt=0.84 + tempo=mid + profile=stall_shape + basis=split_side + profile=stall_shape,stall,draw_tension_high,style_direct_edge,agi_kagi_edge,basis=split_side + conf=trusted@0.4",chaos_side_watch,away_watch,medium,best=A top_prob=0.423 side_gap=0.188 path_gap=0.173 entropy=0.584,False,False,False,side,0.22945361749679616,0.35841605138258903,0.41213033112061476,0.1826767136238186,0.1826767136238186,1.0708436378743467,False,shape_not_close_3way,0.9965313120674759,False,0.5233903330512119,False,0.9974723884777015,,0.0,0.0,0.0,0.0,2,ARGMAX_BASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0985619220526905,0.05734656822121425,0.39940970701746425,0.2660984639194528,0.19523783132080924,hold_core,non_overlap,0.0,0.0,0.0,hold_core,non_overlap,stall_shape,0.2642161367696617,0.4155974088548846,0.3201864543754538,0.1593211452065193,0.8391616015037593,0.1673352466190901,0.6084989882903338,0.7708010349683734,0.5904350420072154,0.5864212021057936,0.4135787978942064,0.5844025911451154,0.7553807058514153,0.2274327663935098,0.5721067794247363,0.2004604541817538,mid,neutral,neutral,"profile=stall_shape,stall,draw_tension_high,style_direct_edge,agi_kagi_edge,basis=split_side",split_side,2,01,Main Anchor,main_anchor_world,A,2,02,Safe Main,safe_main_world,A,0,03,Draw Pressure,draw_pressure_world,D,2,04,Hold Guard,hold_guard_world,A,2,05,Controlled Upset,controlled_upset_world,A,2,06,J2 Context,j2_context_world,A,2,07,Side Hedge,side_hedge_world,A,0,08,Close Draw,close_draw_world,D,2,09,Upset,upset_world,A,2,10,Wide,wide_world,A
8,浦和,広島,J1,2,0,rank1_side_cover,2,0,1,0.4307430660733741,0.3407855842814732,0.2284713496451527,medium,side_with_cover,"side ranks r1=2 r2=0 r3=1: top_gap=0.090 max_prob=0.431 + lab=stall + hold=0.32 + stall=0.40 + flip=0.28 + vol=0.12 + dt=0.62 + tempo=mid + pressure=away + profile=balanced,stall,style_direct_edge,cbp_front_edge,agi_kagi_edge + conf=trusted@0.4",chaos_side_watch,away_watch,medium,best=A top_prob=0.431 side_gap=0.202 path_gap=0.594 entropy=0.598,False,False,False,side,0.22240787775946771,0.35828067976086553,0.4193114424796669,0.19690356472019918,0.19690356472019918,1.0665269474137826,False,shape_not_close_3way,0.9822367751602336,False,0.5141628224287783,False,0.9970794663790603,,0.0,0.0,0.0,0.0,2,ARGMAX_BASE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2609838406907761,0.057324908761738486,0.3189242610383523,0.23558768916440248,0.2839001099838129,neutral,non_overlap,0.0,0.0,0.0,neutral,non_overlap,balanced,0.3230372348981455,0.401606884182075,0.2753558809197796,0.1190988964474678,0.6154612945425735,0.1610707842025699,0.6133362404459168,0.6138942553123171,0.5219782748822169,0.2032352644195523,0.7967647355804477,0.598393115817925,0.5585547986279801,0.2104805265164286,0.4716967084819498,0.3178227650016216,mid,neutral,away,"profile=balanced,stall,style_direct_edge,cbp_front_edge,agi_kagi_edge",basis_balanced,2,01,Main Anchor,main_anchor_world,A,2,02,Safe Main,safe_main_world,A,2,03,Draw Pressure,draw_pressure_world,A,2,04,Hold Guard,hold_guard_world,A,2,05,Controlled Upset,controlled_upset_world,A,2,06,J2 Context,j2_context_world,A,2,07,Side Hedge,side_hedge_world,A,2,08,Close Draw,close_draw_world,A,2,09,Upset,upset_world,A,2,10,Wide,wide_world,A
9,川崎Ｆ,京都,J1,0,2,rank1_draw_watch,0,2,1,0.3881053415807337,0.3163901695357117,0.2955044888835546,draw_watch,draw_watch_split,"draw watch split: pd=0.388 gap=-0.072 top_gap=0.072 + lab=stall + hold=0.25 + stall=0.39 + flip=0.36 + vol=0.23 + dt=0.65 + tempo=mid + profile=stall_shape + pressure=home + profile=stall_shape,stall,flip,draw_tension_high,cbp_front_edge,agi_kagi_edge + conf=trusted@0.38",j1_false_draw_watch,draw_false_j1,medium,pd=0.388 draw_tension=0.651 entropy=0.605 top_gap=0.072,False,False,False,watch,0.2866058286416353,0.40653160200638827,0.3068625693519765,0.02025674071034117,0.11992577336475296,1.0865864531011629,False,shape_not_close_3way,1.1830090602928531,False,0.9062506191930698,False,0.7111609882463229,,0.0,0.8649550619310589,0.8649550619310589,0.3027342716758706,0,2AXIS_CLOSE_DRAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14379993791435916,0.06504505632102213,0.3563233506238098,0.2988004772790095,0.18790216709216856,hold_core,non_overlap,0.0,0.0,0.0,hold_core,non_overlap,stall_shape,0.2465777695928282,0.3948955834443687,0.358526646962803,0.2339636357092139,0.6511660214938801,0.2283439890482407,0.47075900617159,0.5777158297884734,0.4044059894144036,0.6844127955085496,0.3155872044914503,0.6051044165556313,0.6162901692052214,0.2740759677754164,0.5128966896153704,0.2130273426092132,mid,neutral,home,"profile=stall_shape,stall,flip,draw_tension_high,cbp_front_edge,agi_kagi_edge",basis_balanced,0,01,Main Anchor,main_anchor_world,D,2,02,Safe Main,safe_main_world,A,0,03,Draw Pressure,draw_pressure_world,D,2,04,Hold Guard,hold_guard_world,A,2,05,Controlled Upset,controlled_upset_world,A,0,06,J2 Context,j2_context_world,D,2,07,Side Hedge,side_hedge_world,A,0,08,Close Draw,close_draw_world,D,2,09,Upset,upset_world,A,1,10,Wide,wide_world,H
10,秋田,富山,J2,1,0,rank1_side_cover,1,0,2,0.3766791382796651,0.3463130431909777,0.2770078185293571,medium,side_with_cover,"side ranks r1=1 r2=0 r3=2: top_gap=0.030 max_prob=0.377 + lab=stall + hold=0.32 + stall=0.36 + flip=0.31 + vol=0.16 + dt=0.64 + tempo=mid + profile=stall_shape + control=home + pressure=away + profile=stall_shape,stall,draw_tension_high,cbp_front_edge,agi_kagi_edge,home_control + conf=watch@0.38",chaos_side_watch,home_watch,low,best=H top_prob=0.377 side_gap=0.100 path_gap=0.321 entropy=0.638,False,False,False,side,0.36652455943314316,0.36393524487216533,0.26954019569469145,0.0969843637384517,0.0969843637384517,1.089112536457765,True,shape_close_3way,1.084983258697631,False,0.6606927877260799,False,0.43385435004608564,,0.0,0.3534375750769886,0.3534375750769886,0.12370315127694599,0,2AXIS_CLOSE_DRAW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13947386262837608,0.058229639179546454,0.35056161296158156,0.2415512479103766,0.22652533970658054,neutral,non_overlap,0.0,0.0,0.0,neutral,non_overlap,stall_shape,0.3238926887269186,0.3616862325823993,0.3144210786906821,0.1604664837555994,0.6373633600784367,0.178385470145249,0.5596229823844217,0.4112423137042341,0.5574148683082355,0.3394517405849279,0.660548259415072,0.6383137674176007,0.5914557305925319,0.262334888569151,0.4127046201559793,0.3249604912748696,mid,home,away,"profile=stall_shape,stall,draw_tension_high,cbp_front_edge,agi_kagi_edge,home_control",basis_balanced,1,01,Main Anchor,main_anchor_world,H,1,02,Safe Main,safe_main_world,H,1,03,Draw Pressure,draw_pressure_world,H,1,04,Hold Guard,hold_guard_world,H,2,05,Controlled Upset,controlled_upset_world,A,1,06,J2 Context,j2_context_world,H,2,07,Side Hedge,side_hedge_world,A,1,08,Close Draw,close_draw_world,H,1,09,Upset,upset_world,H,0,10,Wide,wide_world,D
