diff_type,match_no,home_team,away_team,league
missing_in_predictions,11,宮崎,富山,
missing_in_predictions,12,愛媛ＦＣ,秋田,
missing_in_predictions,13,鳥取,大宮,
missing_in_toto_order,,大分,今治,j2
missing_in_toto_order,,山形,甲府,j2
missing_in_toto_order,,徳島,いわき,j2
missing_in_toto_order,,札幌,栃木Ｃ,j2
missing_in_toto_order,,横浜FC,新潟,j2
missing_in_toto_order,,湘南,仙台,j2
missing_in_toto_order,,磐田,富山,j2
missing_in_toto_order,,秋田,大宮,j2
missing_in_toto_order,,藤枝,八戸,j2
missing_in_toto_order,,鳥栖,宮崎,j2
matched,1,東京V,神戸,
matched,2,C大阪,柏,
matched,3,広島,名古屋,
matched,4,千葉,岡山,
matched,5,福岡,浦和,
matched,6,水戸,鹿島,
matched,7,町田,川崎F,
matched,8,横浜ＦM,京都,
matched,9,清水,ＦＣ東京,
matched,10,長崎,G大阪,
