節,match_id,datetime,home_team,away_team,home_score,away_score,home_advantage_diff,is_home_advantage_positive,prob_home_win,prob_draw,prob_away_win,predicted_highest_prob_result,actual_result,is_correct,predicted_result,elo_diff_for_prob,round_key,P1_label,P2_label,P3_label,P1_prob,P2_prob,P3_prob,maxP,margin12,is_close,pred_label,elo_abs,p_draw,actual_norm,p_actual,surprise
第１節第１日,j1_2025_02141903_Ｇ大阪_Ｃ大阪,2025-02-14 19:03:00,Ｇ大阪,Ｃ大阪,2,5,0.7895,True,0.426,0.251,0.324,H,A,0.0,H,0.7895,第１節第１日,H,A,D,0.426,0.324,0.251,0.426,0.10199999999999998,False,H,0.7895,0.251,A,0.324,1.1270117631898076
第１節第２日,j1_2025_02151403_横浜FM_新潟,2025-02-15 14:03:00,横浜FM,新潟,1,1,0.8947,True,0.433,0.249,0.318,H,D,0.0,H,0.8947,第１節第２日,H,A,D,0.433,0.318,0.249,0.433,0.11499999999999999,False,H,0.8947,0.249,D,0.249,1.3903023825174294
第１節第２日,j1_2025_02151403_神戸_浦和,2025-02-15 14:03:00,神戸,浦和,0,0,0.9474,True,0.437,0.249,0.315,H,D,0.0,H,0.9474,第１節第２日,H,A,D,0.437,0.315,0.249,0.437,0.122,False,H,0.9474,0.249,D,0.249,1.3903023825174294
第１節第２日,j1_2025_02151403_横浜FC_FC東京,2025-02-15 14:03:00,横浜FC,FC東京,0,1,0.0,False,0.37,0.26,0.37,D,A,0.0,D,0.0,第１節第２日,H,A,D,0.37,0.37,0.26,0.37,0.0,True,H,0.0,0.26,A,0.37,0.9942522733438669
第１節第２日,j1_2025_02151404_岡山_京都,2025-02-15 14:04:00,岡山,京都,2,0,-0.5263,False,0.339,0.254,0.407,A,H,0.0,A,-0.5263,第１節第２日,A,H,D,0.407,0.339,0.254,0.407,0.06799999999999995,False,A,0.5263,0.254,H,0.339,1.0817551716016867
第１節第２日,j1_2025_02151404_福岡_柏,2025-02-15 14:04:00,福岡,柏,0,1,-0.3158,False,0.352,0.256,0.392,D,A,1.0,D,-0.3158,第１節第２日,A,H,D,0.392,0.352,0.256,0.392,0.040000000000000036,False,A,0.3158,0.256,A,0.392,0.9364934391916745
第１節第２日,j1_2025_02151503_川崎Ｆ_名古屋,2025-02-15 15:03:00,川崎Ｆ,名古屋,4,0,0.8421,True,0.429,0.25,0.321,H,H,1.0,H,0.8421,第１節第２日,H,A,D,0.429,0.321,0.25,0.429,0.10799999999999998,False,H,0.8421,0.25,H,0.429,0.8462983600541201
第１節第２日,j1_2025_02151503_湘南_鹿島,2025-02-15 15:03:00,湘南,鹿島,1,0,-0.6316,False,0.333,0.252,0.414,A,H,0.0,A,-0.6316,第１節第２日,A,H,D,0.414,0.333,0.252,0.414,0.08099999999999996,False,A,0.6316,0.252,H,0.333,1.0996127890016931
第１節第３日,j1_2025_02161403_東京Ｖ_清水,2025-02-16 14:03:00,東京Ｖ,清水,0,1,0.4211,True,0.4,0.255,0.345,H,A,0.0,H,0.4211,第１節第３日,H,A,D,0.4,0.345,0.255,0.4,0.05500000000000005,False,H,0.4211,0.255,A,0.345,1.0642108619507773
第１節第３日,j1_2025_02161403_町田_広島,2025-02-16 14:03:00,町田,広島,1,2,-0.2105,False,0.358,0.257,0.385,D,A,1.0,D,-0.2105,第１節第３日,A,H,D,0.385,0.358,0.257,0.385,0.027000000000000024,True,A,0.2105,0.257,A,0.385,0.9545119446943529
