league,節,match_id,datetime,home_team,away_team,home_elo_at_prediction,away_elo_at_prediction,elo_diff_before_hfa,hfa_added_to_diff,elo_diff_after_hfa,diff_raw_no_hfa,prob_home_win_before_signfix,prob_draw_raw,prob_away_win_before_signfix,argmax_result,final_result,predicted_result,decision_reason,sign_gap
j1,第１５節第３日,j1_2025_06251933_横浜FM_FC東京,2025-06-25 19:33:00,横浜FM,FC東京,1432,1461,-28.7599,0.0,-28.7599,-28.7599,0.3297705612028577,0.3408395465813612,0.32938989221578113,A,D,D,NARROW_DRAW_OVERRIDE,0.00038066898707656005
j1,第２９節第２日,j1_2025_09131804_福岡_Ｃ大阪,2025-09-13 18:04:00,福岡,Ｃ大阪,1503,1510,-7.1176,0.0,-7.1176,-7.1176,0.3053435888971503,0.39023843125035923,0.3044179798524905,D,A,A,J1_AWAY_RESTORE_OVERRIDE,0.0009256090446598253
j1,第３０節第２日,j1_2025_09201803_東京Ｖ_岡山,2025-09-20 18:03:00,東京Ｖ,岡山,1460,1493,-33.7782,0.0,-33.7782,-33.7782,0.3354463625008332,0.3357712029935882,0.3287824345055786,A,A,A,ARGMAX,0.006663927995254615
j1,第４節第２日,j1_2025_03021503_浦和_柏,2025-03-02 15:03:00,浦和,柏,1490,1520,-29.4167,0.0,-29.4167,-29.4167,0.33627834683716484,0.34159683392277246,0.32212481924006275,D,D,D,NARROW_DRAW_OVERRIDE,0.014153527597102089
j1,第２０節第２日,j1_2025_06141903_FC東京_Ｃ大阪,2025-06-14 19:03:00,FC東京,Ｃ大阪,1469,1514,-45.349,0.0,-45.349,-45.349,0.3398788334556682,0.3423965239265772,0.3177246426177546,D,D,D,NARROW_DRAW_OVERRIDE,0.02215419083791359
j1,第３６節第２日,j1_2025_11091503_Ｇ大阪_神戸,2025-11-09 15:03:00,Ｇ大阪,神戸,1525,1559,-33.3018,0.0,-33.3018,-33.3018,0.3357780263070106,0.35322312193831673,0.3109988517546727,D,D,D,NARROW_DRAW_OVERRIDE,0.024779174552337913
j1,第２８節第１日,j1_2025_08301803_横浜FC_東京Ｖ,2025-08-30 18:03:00,横浜FC,東京Ｖ,1417,1471,-54.3093,0.0,-54.3093,-54.3093,0.3454277344362818,0.3356174831286936,0.31895478243502456,H,H,H,ARGMAX,0.02647295200125721
j1,第３５節第１日,j1_2025_10251403_清水_東京Ｖ,2025-10-25 14:03:00,清水,東京Ｖ,1480,1480,-0.3773,0.0,-0.3773,-0.3773,0.3322331349189827,0.3659674698865078,0.3017993951945095,D,A,A,J1_AWAY_RESTORE_OVERRIDE,0.03043373972447322
j1,第３７節第１日,j1_2025_11301403_岡山_浦和,2025-11-30 14:03:00,岡山,浦和,1454,1509,-55.1529,0.0,-55.1529,-55.1529,0.36899923467063456,0.2925399135339338,0.33846085179543167,H,H,H,ARGMAX,0.030538382875202885
j1,第６節第２日,j1_2025_03161403_横浜FM_Ｇ大阪,2025-03-16 14:03:00,横浜FM,Ｇ大阪,1492,1511,-18.8624,0.0,-18.8624,-18.8624,0.3492650002044214,0.33552597990496996,0.3152090198906087,H,H,H,ARGMAX,0.03405598031381274
j1,第１２節第１日,j1_2025_04161903_神戸_川崎Ｆ,2025-04-16 19:03:00,神戸,川崎Ｆ,1499,1525,-25.543,0.0,-25.543,-25.543,0.33736904109309246,0.35973528748135597,0.30289567142555157,D,A,A,J1_AWAY_RESTORE_OVERRIDE,0.03447336966754089
j1,第３節第１日,j1_2025_02261901_岡山_Ｇ大阪,2025-02-26 19:01:00,岡山,Ｇ大阪,1499,1500,-0.575,0.0,-0.575,-0.575,0.32943973427360784,0.3769131967502574,0.2936470689761348,D,A,A,J1_AWAY_RESTORE_OVERRIDE,0.03579266529747305
j1,第１８節第１日,j1_2025_05241733_名古屋_浦和,2025-05-24 17:33:00,名古屋,浦和,1473,1538,-65.4525,0.0,-65.4525,-65.4525,0.3845430242175402,0.26847882116380767,0.3469781546186521,H,H,H,ARGMAX,0.037564869598888107
j1,第３３節第２日,j1_2025_10041603_広島_町田,2025-10-04 16:03:00,広島,町田,1550,1554,-3.5201,0.0,-3.5201,-3.5201,0.3277090487435403,0.38527480296742855,0.28701614828903116,D,A,A,J1_AWAY_RESTORE_OVERRIDE,0.04069290045450913
j1,第１８節第２日,j1_2025_05251403_新潟_湘南,2025-05-25 14:03:00,新潟,湘南,1461,1478,-17.4567,0.0,-17.4567,-17.4567,0.3290286408540969,0.38935603483411235,0.2816153243117907,D,D,D,NARROW_DRAW_OVERRIDE,0.04741331654230618
j1,第３４節第２日,j1_2025_10181403_横浜FC_名古屋,2025-10-18 14:03:00,横浜FC,名古屋,1433,1481,-48.0102,0.0,-48.0102,-48.0102,0.3671954722143154,0.3142412255862145,0.31856330219947016,H,H,H,ARGMAX,0.048632170014845266
j1,第３３節第２日,j1_2025_10041703_浦和_神戸,2025-10-04 17:03:00,浦和,神戸,1519,1575,-55.8236,0.0,-55.8236,-55.8236,0.363256521330601,0.32237216921459466,0.3143713094548044,H,H,H,ARGMAX,0.048885211875796586
j1,第３７節第１日,j1_2025_11301403_福岡_Ｇ大阪,2025-11-30 14:03:00,福岡,Ｇ大阪,1483,1526,-43.8002,0.0,-43.8002,-43.8002,0.3582734396196861,0.3326741848346659,0.30905237554564813,H,H,H,ARGMAX,0.04922106407403798
j1,第３６節第１日,j1_2025_11081403_東京Ｖ_福岡,2025-11-08 14:03:00,東京Ｖ,福岡,1470,1483,-12.6273,0.0,-12.6273,-12.6273,0.3576618326668152,0.33766004451381293,0.3046781228193718,H,H,H,ARGMAX,0.05298370984744344
j1,第４節第２日,j1_2025_03021403_岡山_清水,2025-03-02 14:03:00,岡山,清水,1509,1520,-10.2707,0.0,-10.2707,-10.2707,0.3399419499238629,0.37942495716124697,0.2806330929148901,D,D,D,NARROW_DRAW_OVERRIDE,0.059308857008972815
j1,第１１節第２日,j1_2025_04201403_神戸_町田,2025-04-20 14:03:00,神戸,町田,1510,1517,-6.636,0.0,-6.636,-6.636,0.3264816045598284,0.40895425790976514,0.26456413753040653,D,D,D,NARROW_DRAW_OVERRIDE,0.06191746702942186
j1,第６節第１日,j1_2025_03151403_福岡_FC東京,2025-03-15 14:03:00,福岡,FC東京,1492,1500,-7.7661,0.0,-7.7661,-7.7661,0.33051139515726863,0.401473624317605,0.26801498052512635,D,D,D,NARROW_DRAW_OVERRIDE,0.06249641463214228
j1,第１２節第１日,j1_2025_04161903_横浜FM_清水,2025-04-16 19:03:00,横浜FM,清水,1474,1489,-14.4384,0.0,-14.4384,-14.4384,0.3448187742380208,0.3738272433092674,0.28135398245271176,D,D,D,NARROW_DRAW_OVERRIDE,0.06346479178530906
j1,第８節第１日,j1_2025_04021903_Ｇ大阪_町田,2025-04-02 19:03:00,Ｇ大阪,町田,1499,1518,-18.9675,0.0,-18.9675,-18.9675,0.3454750850685206,0.374236107899288,0.28028880703219144,D,D,D,NARROW_DRAW_OVERRIDE,0.06518627803632915
j1,第２１節第１日,j1_2025_06211903_横浜FM_岡山,2025-06-21 19:03:00,横浜FM,岡山,1441,1479,-38.1163,0.0,-38.1163,-38.1163,0.3586545023396939,0.3516066152395826,0.28973888242072343,H,D,D,NARROW_DRAW_OVERRIDE,0.0689156199189705
j1,第３０節第２日,j1_2025_09201904_浦和_鹿島,2025-09-20 19:04:00,浦和,鹿島,1530,1558,-27.3303,0.0,-27.3303,-27.3303,0.3670106080839542,0.33769283168289405,0.29529656023315176,H,H,H,ARGMAX,0.07171404785080243
j1,第３５節第１日,j1_2025_10251404_名古屋_Ｇ大阪,2025-10-25 14:04:00,名古屋,Ｇ大阪,1479,1516,-37.1661,0.0,-37.1661,-37.1661,0.3810051985160102,0.31140791743662305,0.3075868840473667,H,H,H,ARGMAX,0.0734183144686435
j1,第２０節第１日,j1_2025_04161933_浦和_京都,2025-04-16 19:33:00,浦和,京都,1504,1532,-27.885,0.0,-27.885,-27.885,0.3663010557356669,0.34480983195756243,0.2888891123067706,H,H,H,ARGMAX,0.07741194342889629
j1,第２８節第２日,j1_2025_08311903_名古屋_FC東京,2025-08-31 19:03:00,名古屋,FC東京,1459,1466,-6.8349,0.0,-6.8349,-6.8349,0.3546468776786607,0.37039137998865285,0.2749617423326865,D,D,D,NARROW_DRAW_OVERRIDE,0.07968513534597421
j1,第２４節第１日,j1_2025_07191903_FC東京_浦和,2025-07-19 19:03:00,FC東京,浦和,1472,1534,-62.5881,0.0,-62.5881,-62.5881,0.3936852389085429,0.294060265068625,0.3122544960228322,H,H,H,ARGMAX,0.08143074288571073
j1,第１５節第１日,j1_2025_05061503_名古屋_岡山,2025-05-06 15:03:00,名古屋,岡山,1470,1489,-18.6689,0.0,-18.6689,-18.6689,0.36314094831384747,0.35645755718850514,0.2804014944976475,H,D,D,NARROW_DRAW_OVERRIDE,0.08273945381619996
