節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,weather_missing,_merge_home_team,_merge_away_team,_merge_team_name,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均走行距離_home,stats_1試合平均スプリント回数_home,stats_1試合平均Atスプリント回数_home,stats_1試合平均Mtスプリント回数_home,stats_1試合平均Dtスプリント回数_home,stats_1試合平均ポゼッション時の走行距離_home,stats_1試合平均ポゼッション時のスプリント回数_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_stats_missing_ratio_home,_merge_stats_future_home
第２節第２日,j1_2026_02151303_千葉_川崎Ｆ,2026-02-15 13:03:00,フクアリ,千葉,川崎Ｆ,,,1.5,11.5,,,False,False,False,,,,True,千葉,川崎F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第３節第２日,j1_2026_02221403_水戸_千葉,2026-02-22 14:03:00,Ｋｓスタ,水戸,千葉,,,1.5,11.5,,,False,False,False,,,,True,水戸,千葉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第４節第２日,j1_2026_02281700_長崎_Ｃ大阪,2026-02-28 17:00:00,ピースタ,長崎,Ｃ大阪,,,1.5,11.5,2026-02-28 17:00:00,ピースタ,False,False,True,14.1,39.6,,False,長崎,C大阪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第５節第１日,j1_2026_03071300_千葉_柏,2026-03-07 13:00:00,フクアリ,千葉,柏,,,1.5,11.5,,,False,False,False,,,,True,千葉,柏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第６節第１日,j1_2026_03141400_水戸_FC東京,2026-03-14 14:00:00,Ｋｓスタ,水戸,FC東京,,,1.5,11.5,,,False,False,False,,,,True,水戸,FC東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第６節第２日,j1_2026_03151400_長崎_福岡,2026-03-15 14:00:00,ピースタ,長崎,福岡,,,1.5,11.5,,,False,False,False,,,,True,長崎,福岡,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181900_水戸_横浜FM,2026-03-18 19:00:00,Ｋｓスタ,水戸,横浜FM,,,1.5,11.5,,,False,False,False,,,,True,水戸,横浜FM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181900_千葉_FC東京,2026-03-18 19:00:00,フクアリ,千葉,FC東京,,,1.5,11.5,,,False,False,False,,,,True,千葉,FC東京,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181900_長崎_京都,2026-03-18 19:00:00,ピースタ,長崎,京都,,,1.5,11.5,,,False,False,False,,,,True,長崎,京都,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第９節第１日,j1_2026_04041300_千葉_東京Ｖ,2026-04-04 13:00:00,フクアリ,千葉,東京Ｖ,,,1.5,11.5,,,False,False,False,,,,True,千葉,東京V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第９節第１日,j1_2026_04041400_水戸_鹿島,2026-04-04 14:00:00,Ｋｓスタ,水戸,鹿島,,,1.5,11.5,,,False,False,False,,,,True,水戸,鹿島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第９節第２日,j1_2026_04051300_長崎_清水,2026-04-05 13:00:00,ピースタ,長崎,清水,,,1.5,11.5,,,False,False,False,,,,True,長崎,清水,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１０節第１日,j1_2026_04111300_千葉_水戸,2026-04-11 13:00:00,フクアリ,千葉,水戸,,,1.5,11.5,,,False,False,False,,,,True,千葉,水戸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１１節第２日,j1_2026_04191300_水戸_柏,2026-04-19 13:00:00,Ｋｓスタ,水戸,柏,,,1.5,11.5,,,False,False,False,,,,True,水戸,柏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１２節第１日,j1_2026_04251830_長崎_Ｇ大阪,2026-04-25 18:30:00,ピースタ,長崎,Ｇ大阪,,,1.5,11.5,,,False,False,False,,,,True,長崎,G大阪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291400_千葉_横浜FM,2026-04-29 14:00:00,フクアリ,千葉,横浜FM,,,1.5,11.5,,,False,False,False,,,,True,千葉,横浜FM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291600_水戸_町田,2026-04-29 16:00:00,Ｋｓスタ,水戸,町田,,,1.5,11.5,,,False,False,False,,,,True,水戸,町田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１４節第２日,j1_2026_05031700_長崎_名古屋,2026-05-03 17:00:00,ピースタ,長崎,名古屋,,,1.5,11.5,,,False,False,False,,,,True,長崎,名古屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１５節第１日,j1_2026_05061300_長崎_岡山,2026-05-06 13:00:00,ピースタ,長崎,岡山,,,1.5,11.5,,,False,False,False,,,,True,長崎,岡山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１６節第１日,j1_2026_05091400_水戸_浦和,2026-05-09 14:00:00,Ｋｓスタ,水戸,浦和,,,1.5,11.5,,,False,False,False,,,,True,水戸,浦和,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１６節第２日,j1_2026_05101700_千葉_町田,2026-05-10 17:00:00,フクアリ,千葉,町田,,,1.5,11.5,,,False,False,False,,,,True,千葉,町田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１７節第１日,j1_2026_05161400_水戸_東京Ｖ,2026-05-16 14:00:00,Ｋｓスタ,水戸,東京Ｖ,,,1.5,11.5,,,False,False,False,,,,True,水戸,東京V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１７節第２日,j1_2026_05171400_千葉_鹿島,2026-05-17 14:00:00,フクアリ,千葉,鹿島,,,1.5,11.5,,,False,False,False,,,,True,千葉,鹿島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１７節第１日,j1_2026_05171300_長崎_神戸,2026-05-17 13:00:00,ピースタ,長崎,神戸,,,1.5,11.5,,,False,False,False,,,,True,長崎,神戸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１８節第３日,j1_2026_05241400_水戸_川崎Ｆ,2026-05-24 14:00:00,Ｋｓスタ,水戸,川崎Ｆ,,,1.5,11.5,,,False,False,False,,,,True,水戸,川崎F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１戦第１日,j1_2026_05301700_長崎_未定,2026-05-30 17:00:00,ピースタ,長崎,未定,,,1.5,11.5,,,False,False,False,,,,True,長崎,未定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第２戦第１日,j1_2026_06061400_千葉_未定,2026-06-06 14:00:00,フクアリ,千葉,未定,,,1.5,11.5,,,False,False,False,,,,True,千葉,未定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第２戦第１日,j1_2026_06061500_水戸_未定,2026-06-06 15:00:00,Ｋｓスタ,水戸,未定,,,1.5,11.5,,,False,False,False,,,,True,水戸,未定,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
