節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,_merge_weather
第３節第２日,j1_2026_02221403_水戸_千葉,2026-02-22 14:03:00,Ｋｓスタ,水戸,千葉,1.0,1.0,2.69,4.0,0.0,0.0,,,,,,,2.69,4.0,,,,,,,,,,,left_only
第４節第２日,j1_2026_02281503_Ｇ大阪_清水,2026-02-28 15:03:00,パナスタ,Ｇ大阪,清水,2.0,2.0,2.53,5.13,0.0,0.0,,,,,,,2.53,5.13,,,,,,,,,,,left_only
第４節第３日,j1_2026_03011603_川崎Ｆ_水戸,2026-03-01 16:03:00,Ｕ等々力,川崎Ｆ,水戸,2.0,2.0,1.29,6.42,0.0,0.0,,,,,,,1.29,6.42,,,,,,,,,,,left_only
第４節第３日,j1_2026_03011403_岡山_名古屋,2026-03-01 14:03:00,ＪＦＥス,岡山,名古屋,1.0,1.0,2.42,5.29,0.0,0.0,,,,,,,2.42,5.29,,,,,,,,,,,left_only
第５節第１日,j1_2026_03071503_Ｃ大阪_清水,2026-03-07 15:03:00,ヨドコウ,Ｃ大阪,清水,0.0,0.0,2.53,6.19,0.0,0.0,,,,,,,2.53,6.19,,,,,,,,,,,left_only
第６節第１日,j1_2026_03141403_水戸_FC東京,2026-03-14 14:03:00,Ｋｓスタ,水戸,FC東京,1.0,1.0,4.12,5.13,0.0,0.0,,,,,,,4.12,5.13,,,,,,,,,,,left_only
第６節第１日,j1_2026_03141403_清水_岡山,2026-03-14 14:03:00,アイスタ,清水,岡山,1.0,1.0,3.32,5.43,0.0,0.0,,,,,,,3.32,5.43,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181933_浦和_柏,2026-03-18 19:33:00,埼玉,浦和,柏,1.0,1.0,3.32,7.71,0.0,0.0,,,,,,,3.32,7.71,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181903_福岡_清水,2026-03-18 19:03:00,ベススタ,福岡,清水,1.0,1.0,3.83,6.92,0.0,0.0,,,,,,,3.83,6.92,,,,,,,,,,,left_only
第７節第１日,j1_2026_03181903_神戸_Ｇ大阪,2026-03-18 19:03:00,ノエスタ,神戸,Ｇ大阪,2.0,2.0,3.16,6.69,0.0,0.0,,,,,,,3.16,6.69,,,,,,,,,,,left_only
第８節第１日,j1_2026_03211435_福岡_Ｇ大阪,2026-03-21 14:35:00,ベススタ,福岡,Ｇ大阪,2.0,2.0,3.89,8.7,0.0,0.0,,,,,,,3.89,8.7,,,,,,,,,,,left_only
第８節第１日,j1_2026_03221403_東京Ｖ_FC東京,2026-03-22 14:03:00,味スタ,東京Ｖ,FC東京,0.0,0.0,2.92,7.82,0.0,0.0,,,,,,,2.92,7.82,,,,,,,,,,,left_only
第８節第２日,j1_2026_03221403_京都_名古屋,2026-03-22 14:03:00,サンガＳ,京都,名古屋,1.0,1.0,4.32,6.92,0.0,0.0,,,,,,,4.32,6.92,,,,,,,,,,,left_only
第８節第２日,j1_2026_03221503_Ｃ大阪_神戸,2026-03-22 15:03:00,ヨドコウ,Ｃ大阪,神戸,1.0,1.0,3.08,7.08,0.0,0.0,,,,,,,3.08,7.08,,,,,,,,,,,left_only
第５節第２日,j1_2026_03281403_町田_川崎Ｆ,2026-03-28 14:03:00,Ｇスタ,町田,川崎Ｆ,1.0,1.0,3.72,7.09,0.0,0.0,,,,,,,3.72,7.09,,,,,,,,,,,left_only
第９節第１日,j1_2026_04041403_水戸_鹿島,2026-04-04 14:03:00,Ｋｓスタ,水戸,鹿島,1.0,1.0,3.68,6.39,0.0,0.0,,,,,,,3.68,6.39,,,,,,,,,,,left_only
第９節第２日,j1_2026_04051503_FC東京_町田,2026-04-05 15:03:00,味スタ,FC東京,町田,0.0,0.0,5.66,7.01,0.0,0.0,,,,,,,5.66,7.01,,,,,,,,,,,left_only
第１０節第１日,j1_2026_04111303_千葉_水戸,2026-04-11 13:03:00,フクアリ,千葉,水戸,1.0,1.0,3.12,7.1,0.0,0.0,,,,,,,3.12,7.1,,,,,,,,,,,left_only
第１０節第１日,j1_2026_04111403_広島_清水,2026-04-11 14:03:00,Ｅピース,広島,清水,1.0,1.0,3.96,8.85,0.0,0.0,,,,,,,3.96,8.85,,,,,,,,,,,left_only
第１０節第２日,j1_2026_04121403_浦和_東京Ｖ,2026-04-12 14:03:00,埼玉,浦和,東京Ｖ,1.0,1.0,3.26,6.98,0.0,0.0,,,,,,,3.26,6.98,,,,,,,,,,,left_only
第１１節第３日,j1_2026_04191503_Ｇ大阪_岡山,2026-04-19 15:03:00,パナスタ,Ｇ大阪,岡山,2.0,2.0,3.31,7.52,7.25,0.0,2026-04-15,,4,,long,,10.56,7.52,,,,,,,,,,,left_only
第１１節第３日,j1_2026_04191603_名古屋_福岡,2026-04-19 16:03:00,パロ瑞穂,名古屋,福岡,2.0,2.0,3.77,6.98,0.0,0.0,,,,,,,3.77,6.98,,,,,,,,,,,left_only
第１２節第１日,j1_2026_04251833_長崎_Ｇ大阪,2026-04-25 18:33:00,ピースタ,長崎,Ｇ大阪,1.0,1.0,4.55,7.12,0.0,6.1625,,2026-04-15,,10,,long,4.55,13.282499999999999,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291603_水戸_町田,2026-04-29 16:03:00,Ｋｓスタ,水戸,町田,2.0,2.0,4.01,8.69,0.0,12.6875,,2026-04-26,,3,,long_haul,4.01,21.377499999999998,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291403_福岡_広島,2026-04-29 14:03:00,ベススタ,福岡,広島,2.0,2.0,6.24,6.35,0.0,0.0,,,,,,,6.24,6.35,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291403_神戸_Ｃ大阪,2026-04-29 14:03:00,ノエスタ,神戸,Ｃ大阪,0.0,0.0,3.84,8.65,8.6275,0.0,2026-04-16,,13,,long_haul,,12.4675,8.65,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291503_京都_Ｇ大阪,2026-04-29 15:03:00,サンガＳ,京都,Ｇ大阪,1.0,1.0,4.11,7.92,0.0,6.1625,,2026-04-15,,14,,long,4.11,14.0825,,,,,,,,,,,left_only
第１３節第１日,j1_2026_04291503_名古屋_岡山,2026-04-29 15:03:00,パロ瑞穂,名古屋,岡山,1.0,1.0,3.9,7.7,0.0,0.0,,,,,,,3.9,7.7,,,,,,,,,,,left_only
第１４節第１日,j1_2026_05021403_横浜FM_水戸,2026-05-02 14:03:00,日産ス,横浜FM,水戸,1.0,1.0,5.09,8.23,0.0,0.0,,,,,,,5.09,8.23,,,,,,,,,,,left_only
第１４節第２日,j1_2026_05031603_鹿島_町田,2026-05-03 16:03:00,メルスタ,鹿島,町田,1.0,1.0,4.82,9.14,0.0,8.6275,,2026-04-26,,7,,long_haul,4.82,17.7675,,,,,,,,,,,left_only
第１４節第２日,j1_2026_05031503_Ｃ大阪_福岡,2026-05-03 15:03:00,ハナサカ,Ｃ大阪,福岡,1.0,1.0,4.93,8.95,0.0,0.0,,,,,,,4.93,8.95,,,,,,,,,,,left_only
