節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_rest_fatigue,away_rest_fatigue,home_recent_load_carry,away_recent_load_carry,home_travel_fatigue,away_travel_fatigue,home_away_condition_penalty,away_away_condition_penalty,away_travel_distance_km,travel_lookup_status,fatigue_measurement_version,external_schedule_coverage,travel_distance_basis,home_last_match_at,away_last_match_at,home_rest_hours,away_rest_hours,home_matches_last7d,away_matches_last7d,home_matches_last14d,away_matches_last14d,home_external_matches_last14d,away_external_matches_last14d,home_external_load_unknown,away_external_load_unknown,home_external_events_json,away_external_events_json,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,wind_speed_unit,last_updated_at,weather_fetch_ok,weather_quality_status,weather_data_kind,weather_window_hours,precip_kickoff,precip_max_match,precip_sum_match,wind_max_match,adverse_weather_during_match,__weather_asof,__weather_source,weather_missing,weather_age_hours,weather_freshness_status,weather_adjustment_status,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_stats_missing_ratio_home,stats_1試合平均シュート数_away,stats_1試合平均枠内シュート数_away,stats_シュート決定率_away,stats_1試合平均得点数_away,stats_1試合平均パス数_away,stats_パス成功率_away,stats_1試合平均ドリブル数_away,stats_ドリブル成功率_away,stats_1試合平均スルーパス数_away,stats_スルーパス成功率_away,stats_1試合平均クロス数_away,stats_1試合平均空中戦勝利数_away,stats_空中戦勝率_away,stats_平均ボール支配率_away,stats_1試合平均チャンスクリエイト数_away,stats_1試合平均1vs1勝利数_away,stats_1試合平均こぼれ球奪取数_away,stats_ゴール期待値_away,stats_1試合平均被シュート数_away,stats_1試合平均被枠内シュート数_away,stats_1試合平均失点数_away,stats_1試合平均クリア数_away,stats_1試合平均タックル数_away,stats_タックル成功率_away,stats_1試合平均ブロック数_away,stats_1試合平均インターセプト数_away,stats_被ゴール期待値_away,stats_1試合平均被ゴール期待値_away,stats_被ゴール期待値 ※PKを除く_away,stats_クリーンシート総数_away,stats_stats_missing_ratio_away,rankmot_rank_latest_home,rankmot_points_latest_home,rankmot_rank_change_3w_home,rankmot_points_change_3w_home,rankmot_motivation_score_3w_home,rankmot_rank_change_5w_home,rankmot_points_change_5w_home,rankmot_motivation_score_5w_home,rankmot_season_home,rankmot_fetched_date_home,rankmot_rank_latest_away,rankmot_points_latest_away,rankmot_rank_change_3w_away,rankmot_points_change_3w_away,rankmot_motivation_score_3w_away,rankmot_rank_change_5w_away,rankmot_points_change_5w_away,rankmot_motivation_score_5w_away,rankmot_season_away,rankmot_fetched_date_away,_round_no,_match_date,_season,_merge_home_team,_merge_away_team,absence_impact_total_home,absence_impact_attack_home,absence_impact_defense_home,absence_players_count_home,season,_merge_team_name,round_no,match_date,absence_impact_total_away,absence_impact_attack_away,absence_impact_defense_away,absence_players_count_away,_merge_absence_finished_away
第１節第１日,j2_2026_08081450_札幌_徳島,2026-08-08 14:50:00,プレド,札幌,徳島,2.0,0.0,0.0,9.73,0.0,0.0,0.0,0.0,0.0,5.7315,0.0,4.0,1146.3,hit,conditions_v2,partial,home_base_to_opponent_base_proxy,,,,,0,0,0,0,0,0,False,False,[],[],0.0,0.0,,,,,,,0.0,9.73,2026-08-08 14:45:00,プレド,False,False,False,25.7,17.1,km/h,,1.0,,,,0.0,,,,,20260808,weather_features_j2_2026_asof_20260808.csv,False,,acquisition_unknown,available_flags,12.5,4.0,9.3,1.2,532.8,78.8,13.7,37.8,13.5,42.0,15.8,15.8,48.0,55.0,11.5,16.3,31.5,6.4,12.0,4.8,2.2,16.8,16.3,68.4,14.0,1.7,8.0,1.3,7.2,1.0,0.0,7.8,2.0,8.5,0.7,454.3,79.9,8.5,47.1,10.5,42.9,8.2,12.2,42.9,53.3,5.7,15.3,28.0,3.8,15.2,5.2,1.3,26.5,16.5,68.7,19.2,1.8,9.2,1.5,8.4,3.0,0.0,19,4,-2,1,-1.9,-2,1,-1.9,2026,20260919,15,7,-3,0,-3.0,0,3,0.3,2026,20260919,1,2026-08-08,2026,札幌,徳島,,,,,,,,,,,,,left_only
第４節第１日,j2_2026_08291903_甲府_札幌,2026-08-29 19:03:00,ＪＩＴス,甲府,札幌,2.0,1.0,4.47,10.55,0.0,0.0,4.4661,2.2644,0.0,4.2845,0.0,4.0,856.9,hit,conditions_v2,partial,home_base_to_opponent_base_proxy,2026-08-22 18:03:00,2026-08-22 15:04:00,169.0,171.98333333333332,0,0,2,2,0,0,False,False,[],[],0.0,0.0,,,,,,,4.47,10.55,2026-08-29 19:00:00,ＪＩＴス,False,False,False,24.3,0.8,km/h,,1.0,,,,0.0,,,,,20260829,weather_features_j2_2026_asof_20260829.csv,False,,acquisition_unknown,available_flags,10.7,4.0,7.8,0.8,398.7,73.7,7.8,48.9,8.2,46.9,13.7,17.2,44.2,43.5,8.7,14.3,32.7,5.3,14.7,5.2,1.5,29.0,14.5,72.4,19.7,2.2,8.9,1.4,8.1,,0.033,12.5,4.0,9.3,1.2,532.8,78.8,13.7,37.8,13.5,42.0,15.8,15.8,48.0,55.0,11.5,16.3,31.5,6.4,12.0,4.8,2.2,16.8,16.3,68.4,14.0,1.7,8.0,1.3,7.2,1.0,0.0,14,7,-1,0,-1.0,2,3,2.3,2026,20260919,19,4,-2,1,-1.9,-2,1,-1.9,2026,20260919,4,2026-08-29,2026,甲府,札幌,0.111905,0.142857,0.10416700000000001,2.0,,,,,,,,,left_only
第４節第１日,j2_2026_08291903_仙台_宮崎,2026-08-29 19:03:00,ユアスタ,仙台,宮崎,4.0,2.0,3.62,12.02,0.0,0.0,3.6174,2.5232,0.0,5.4955,0.0,4.0,1099.1,hit,conditions_v2,partial,home_base_to_opponent_base_proxy,2026-08-22 17:03:00,2026-08-22 19:03:00,170.0,168.0,0,1,2,2,0,0,False,False,[],[],0.0,0.0,,,,,,,3.62,12.02,2026-08-29 19:00:00,ユアスタ,False,False,False,20.0,2.3,km/h,,1.0,,,,0.0,,,,,20260829,weather_features_j2_2026_asof_20260829.csv,False,,acquisition_unknown,available_flags,15.7,5.3,10.6,1.7,400.3,72.0,8.3,44.0,14.3,40.7,16.2,22.3,60.4,46.7,11.2,14.3,36.2,9.9,8.3,2.3,1.0,19.7,17.5,61.0,20.3,1.3,4.8,0.8,4.8,2.0,0.0,12.5,3.7,8.0,1.0,438.3,74.4,12.7,59.2,12.8,42.9,19.0,17.0,50.2,52.3,9.8,18.2,36.2,6.1,13.7,5.0,1.7,26.2,15.7,68.1,21.7,1.2,6.7,1.1,6.7,1.0,0.0,3,11,0,1,0.1,3,4,3.4,2026,20260919,13,8,6,6,6.6,6,6,6.6,2026,20260919,4,2026-08-29,2026,仙台,宮崎,,,,,,,,,,,,,left_only
第４節第１日,j2_2026_08291904_大宮_湘南,2026-08-29 19:04:00,ＮＡＣＫ,大宮,湘南,2.0,2.0,5.13,9.35,0.0,0.0,5.1332,5.0055,0.0,0.3445,0.0,4.0,68.9,hit,conditions_v2,partial,home_base_to_opponent_base_proxy,2026-08-22 15:04:00,2026-08-22 19:03:00,172.0,168.01666666666668,0,0,1,1,0,0,False,False,[],[],0.0,0.0,,,,,,,5.13,9.35,2026-08-29 19:00:00,ＮＡＣＫ,True,False,False,19.7,6.3,km/h,,1.0,,,,0.6,,,,,20260829,weather_features_j2_2026_asof_20260829.csv,False,,acquisition_unknown,available_flags,16.8,5.3,9.9,1.7,460.8,75.9,14.8,55.1,16.3,46.9,19.2,16.3,47.1,54.1,13.3,21.5,43.0,9.3,11.3,2.8,0.8,30.8,19.0,70.2,21.3,1.0,6.1,1.0,6.1,3.0,0.0,10.3,2.7,9.7,1.0,433.8,74.9,9.5,59.6,14.2,54.1,13.2,16.3,45.6,48.0,9.8,14.8,37.8,5.2,14.2,5.0,0.8,25.0,15.2,60.4,18.5,1.2,7.8,1.3,6.2,4.0,0.0,1,12,0,1,0.1,0,2,0.2,2026,20260919,4,11,6,3,6.3,1,3,1.3,2026,20260919,4,2026-08-29,2026,大宮,湘南,,,,,,,,,,,,,left_only
第５節第１日,j2_2026_09051833_藤枝_八戸,2026-09-05 18:33:00,藤枝サ,藤枝,八戸,0.0,0.0,3.62,9.31,0.0,0.0,3.6178,1.8364,0.0,3.475,0.0,4.0,695.0,hit,conditions_v2,partial,home_base_to_opponent_base_proxy,2026-08-29 18:33:00,2026-08-29 18:33:00,168.0,168.0,1,1,2,1,0,0,False,False,[],[],0.0,0.0,,,,,,,3.62,9.31,2026-09-05 18:30:00,藤枝サ,False,False,False,24.6,20.8,km/h,,1.0,,,,0.0,,,,,20260905,weather_features_j2_2026_asof_20260905.csv,False,,acquisition_unknown,available_flags,10.0,3.0,16.7,1.7,393.5,72.9,11.3,45.6,9.3,42.9,12.8,16.5,48.8,49.6,8.5,14.3,35.0,6.6,13.0,4.8,1.2,27.8,16.7,55.0,19.2,0.8,6.6,1.1,5.8,2.0,0.0,9.8,2.5,5.1,0.5,371.8,69.1,7.3,54.5,7.5,33.3,10.2,19.2,49.4,45.9,7.3,15.5,38.7,4.5,13.0,3.8,1.3,31.5,17.2,67.0,24.3,1.2,9.7,1.6,9.7,3.0,0.0,8,10,-4,0,-4.0,-5,1,-4.9,2026,20260919,16,7,-2,0,-2.0,-5,1,-4.9,2026,20260919,5,2026-09-05,2026,藤枝,八戸,0.0,0.0,0.0,1.0,,,,,,,,,left_only
第５節第１日,j2_2026_09051903_鳥栖_宮崎,2026-09-05 19:03:00,駅スタ,鳥栖,宮崎,2.0,0.0,4.6,8.03,0.0,0.5,4.5953,2.6776,0.0,0.8525,0.0,4.0,170.5,hit,conditions_v2,partial,home_base_to_opponent_base_proxy,2026-08-29 19:03:00,2026-09-02 19:03:00,168.0,72.0,1,2,2,3,0,1,False,True,[],"[{""datetime"": ""2026-09-02T19:03:00"", ""competition"": ""league_cup"", ""minutes_played"": null, ""core_usage"": null, ""source"": ""/Users/dev_tomo/Desktop/tt_prj_restart/data/eval/toto_rounds/toto1649/actual_results.csv"", ""event_load"": null, ""participation_status"": ""confirmed"", ""minutes_status"": ""unknown"", ""rotation_status"": ""unknown"", ""extra_time_minutes"": null, ""extra_time_status"": ""unknown""}]",0.0,0.0,,,,,,,4.6,8.03,2026-09-05 19:00:00,駅スタ,True,False,False,26.2,9.8,km/h,,1.0,,,,0.1,,,,,20260905,weather_features_j2_2026_asof_20260905.csv,False,,acquisition_unknown,available_flags,16.2,4.8,7.2,1.2,481.8,81.4,11.3,42.6,12.7,43.4,13.5,15.2,60.7,51.2,12.0,13.5,33.0,9.9,11.2,3.8,1.0,28.3,11.7,74.3,18.3,0.8,6.0,1.0,6.0,3.0,0.0,12.5,3.7,8.0,1.0,438.3,74.4,12.7,59.2,12.8,42.9,19.0,17.0,50.2,52.3,9.8,18.2,36.2,6.1,13.7,5.0,1.7,26.2,15.7,68.1,21.7,1.2,6.7,1.1,6.7,1.0,0.0,12,8,-3,0,-3.0,0,3,0.3,2026,20260919,13,8,6,6,6.6,6,6,6.6,2026,20260919,5,2026-09-05,2026,鳥栖,宮崎,0.053571428571428575,0.0,0.06696428571428571,5.0,,,,,,,,,left_only
第５節第１日,j2_2026_09051903_湘南_仙台,2026-09-05 19:03:00,レモンＳ,湘南,仙台,1.0,3.0,5.65,8.74,0.0,0.0,5.6528,2.945,0.0,1.7905,0.0,4.0,358.1,hit,conditions_v2,partial,home_base_to_opponent_base_proxy,2026-08-29 19:04:00,2026-08-29 19:03:00,167.98333333333332,168.0,1,1,2,1,0,0,False,False,[],[],0.0,0.0,,,,,,,5.65,8.74,2026-09-05 19:00:00,レモンＳ,False,False,False,24.1,15.6,km/h,,1.0,,,,0.0,,,,,20260905,weather_features_j2_2026_asof_20260905.csv,False,,acquisition_unknown,available_flags,10.3,2.7,9.7,1.0,433.8,74.9,9.5,59.6,14.2,54.1,13.2,16.3,45.6,48.0,9.8,14.8,37.8,5.2,14.2,5.0,0.8,25.0,15.2,60.4,18.5,1.2,7.8,1.3,6.2,4.0,0.0,15.7,5.3,10.6,1.7,400.3,72.0,8.3,44.0,14.3,40.7,16.2,22.3,60.4,46.7,11.2,14.3,36.2,9.9,8.3,2.3,1.0,19.7,17.5,61.0,20.3,1.3,4.8,0.8,4.8,2.0,0.0,4,11,6,3,6.3,1,3,1.3,2026,20260919,3,11,0,1,0.1,3,4,3.4,2026,20260919,5,2026-09-05,2026,湘南,仙台,0.0,0.0,0.0,2.0,,,,,,,,,left_only
第５節第２日,j2_2026_09061803_秋田_大宮,2026-09-06 18:03:00,ソユスタ,秋田,大宮,0.0,0.0,1.59,8.23,0.0208,0.0212,1.5676,2.0811,0.0,2.1255,0.0,4.0,425.1,hit,conditions_v2,partial,home_base_to_opponent_base_proxy,2026-09-02 19:03:00,2026-09-02 19:04:00,95.0,94.98333333333332,1,1,2,2,1,1,True,True,"[{""datetime"": ""2026-09-02T19:03:00"", ""competition"": ""league_cup"", ""minutes_played"": null, ""core_usage"": null, ""source"": ""/Users/dev_tomo/Desktop/tt_prj_restart/data/eval/toto_rounds/toto1649/actual_results.csv"", ""event_load"": null, ""participation_status"": ""confirmed"", ""minutes_status"": ""unknown"", ""rotation_status"": ""unknown"", ""extra_time_minutes"": null, ""extra_time_status"": ""unknown""}]","[{""datetime"": ""2026-09-02T19:04:00"", ""competition"": ""league_cup"", ""minutes_played"": null, ""core_usage"": null, ""source"": ""/Users/dev_tomo/Desktop/tt_prj_restart/data/eval/toto_rounds/toto1649/actual_results.csv"", ""event_load"": null, ""participation_status"": ""confirmed"", ""minutes_status"": ""unknown"", ""rotation_status"": ""unknown"", ""extra_time_minutes"": null, ""extra_time_status"": ""unknown""}]",0.0,0.0,,,,,,,1.59,8.23,2026-09-06 18:00:00,ソユスタ,False,False,False,23.0,21.2,km/h,,1.0,,,,0.0,,,,,20260905,weather_features_j2_2026_asof_20260905.csv,False,,acquisition_unknown,available_flags,11.8,4.0,11.3,1.3,256.2,51.0,7.3,59.1,11.3,38.2,13.5,28.3,54.3,38.7,7.2,15.2,36.3,6.0,16.0,4.3,1.2,29.3,19.5,55.6,19.8,0.8,8.9,1.4,8.9,2.0,0.0,16.8,5.3,9.9,1.7,460.8,75.9,14.8,55.1,16.3,46.9,19.2,16.3,47.1,54.1,13.3,21.5,43.0,9.3,11.3,2.8,0.8,30.8,19.0,70.2,21.3,1.0,6.1,1.0,6.1,3.0,0.0,11,8,5,3,5.3,3,4,3.4,2026,20260919,1,12,0,1,0.1,0,2,0.2,2026,20260919,5,2026-09-06,2026,秋田,大宮,0.0,0.0,0.0,1.0,,,,,,,,,left_only
第６節第１日,j2_2026_09121805_秋田_徳島,2026-09-12 18:05:00,ソユスタ,秋田,徳島,4.0,1.0,1.23,11.03,0.0,0.0,1.2278,3.1035,0.0,3.93,0.0,4.0,786.0,hit,conditions_v2,partial,home_base_to_opponent_base_proxy,2026-09-06 18:03:00,2026-09-05 19:03:00,144.03333333333333,167.03333333333333,1,1,3,2,1,0,True,False,"[{""datetime"": ""2026-09-02T19:03:00"", ""competition"": ""league_cup"", ""minutes_played"": null, ""core_usage"": null, ""source"": ""/Users/dev_tomo/Desktop/tt_prj_restart/data/eval/toto_rounds/toto1649/actual_results.csv"", ""event_load"": null, ""participation_status"": ""confirmed"", ""minutes_status"": ""unknown"", ""rotation_status"": ""unknown"", ""extra_time_minutes"": null, ""extra_time_status"": ""unknown""}]",[],0.0,0.0,,,,,,,1.23,11.03,2026-09-12 18:00:00,ソユスタ,False,False,False,22.2,6.2,km/h,2026-09-12T01:18:31.536406+00:00,1.0,complete,forecast,3.0,0.0,0.0,0.0,6.2,False,20260912,weather_features_j2_2026_asof_20260912.csv,False,171.26339877305554,stale,available_flags,11.8,4.0,11.3,1.3,256.2,51.0,7.3,59.1,11.3,38.2,13.5,28.3,54.3,38.7,7.2,15.2,36.3,6.0,16.0,4.3,1.2,29.3,19.5,55.6,19.8,0.8,8.9,1.4,8.9,2.0,0.0,7.8,2.0,8.5,0.7,454.3,79.9,8.5,47.1,10.5,42.9,8.2,12.2,42.9,53.3,5.7,15.3,28.0,3.8,15.2,5.2,1.3,26.5,16.5,68.7,19.2,1.8,9.2,1.5,8.4,3.0,0.0,11,8,5,3,5.3,3,4,3.4,2026,20260919,15,7,-3,0,-3.0,0,3,0.3,2026,20260919,6,2026-09-12,2026,秋田,徳島,0.06666642857142857,0.14285714285714288,0.04761928571428572,2.0,,,,,,,,,left_only
第６節第２日,j2_2026_09131806_仙台_札幌,2026-09-13 18:06:00,ユアスタ,仙台,札幌,1.0,1.0,4.51,10.69,0.0,0.0,4.511,4.0656,0.0,2.6205,0.0,4.0,524.1,hit,conditions_v2,partial,home_base_to_opponent_base_proxy,2026-09-05 19:03:00,2026-09-06 13:03:00,191.05,173.05,0,0,1,1,0,0,False,False,[],[],0.0,0.0,,,,,,,4.51,10.69,2026-09-13 18:00:00,ユアスタ,False,False,False,22.7,2.7,km/h,2026-09-12T01:18:43.778888+00:00,1.0,complete,forecast,3.0,0.0,0.0,0.0,2.7,False,20260912,weather_features_j2_2026_asof_20260912.csv,False,171.2599980836111,stale,available_flags,15.7,5.3,10.6,1.7,400.3,72.0,8.3,44.0,14.3,40.7,16.2,22.3,60.4,46.7,11.2,14.3,36.2,9.9,8.3,2.3,1.0,19.7,17.5,61.0,20.3,1.3,4.8,0.8,4.8,2.0,0.0,12.5,4.0,9.3,1.2,532.8,78.8,13.7,37.8,13.5,42.0,15.8,15.8,48.0,55.0,11.5,16.3,31.5,6.4,12.0,4.8,2.2,16.8,16.3,68.4,14.0,1.7,8.0,1.3,7.2,1.0,0.0,3,11,0,1,0.1,3,4,3.4,2026,20260919,19,4,-2,1,-1.9,-2,1,-1.9,2026,20260919,6,2026-09-13,2026,仙台,札幌,,,,,,,,,,,,,left_only
