節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,weather_missing,_merge_home_team,_merge_away_team,_merge_team_name,stats_1試合平均シュート数_home,stats_1試合平均枠内シュート数_home,stats_シュート決定率_home,stats_1試合平均得点数_home,stats_1試合平均パス数_home,stats_パス成功率_home,stats_1試合平均ドリブル数_home,stats_ドリブル成功率_home,stats_1試合平均スルーパス数_home,stats_スルーパス成功率_home,stats_1試合平均クロス数_home,stats_1試合平均空中戦勝利数_home,stats_空中戦勝率_home,stats_平均ボール支配率_home,stats_1試合平均チャンスクリエイト数_home,stats_1試合平均1vs1勝利数_home,stats_1試合平均こぼれ球奪取数_home,stats_ゴール期待値_home,stats_1試合平均被シュート数_home,stats_1試合平均被枠内シュート数_home,stats_1試合平均失点数_home,stats_1試合平均クリア数_home,stats_1試合平均タックル数_home,stats_タックル成功率_home,stats_1試合平均ブロック数_home,stats_1試合平均インターセプト数_home,stats_被ゴール期待値_home,stats_1試合平均被ゴール期待値_home,stats_被ゴール期待値 ※PKを除く_home,stats_クリーンシート総数_home,stats_stats_missing_ratio_home,_merge_stats_future_home
第２節第１日,j2_2026_08151900_新潟_札幌,2026-08-15 19:00:00,デンカＳ,新潟,札幌,,,1.4,4.0,0.0,0.0,,,,,,,1.4,4.0,,,False,False,False,15.0,3.0,,,,True,新潟,札幌,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第３節第１日,j2_2026_08221900_新潟_藤枝,2026-08-22 19:00:00,デンカＳ,新潟,藤枝,,,1.29,4.0,0.0,0.0,,,,,,,1.29,4.0,,,False,False,False,15.0,3.0,,,,True,新潟,藤枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第３節第１日,j2_2026_08221900_大分_いわき,2026-08-22 19:00:00,クラド,大分,いわき,,,1.4,5.4,0.0,0.0,,,,,,,1.4,5.4,,,False,False,False,15.0,3.0,,,,True,大分,いわき,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第５節第２日,j2_2026_09061900_大分_今治,2026-09-06 19:00:00,クラド,大分,今治,,,2.53,6.08,0.0,0.0,,,,,,,2.53,6.08,,,False,False,False,15.0,3.0,,,,True,大分,今治,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第６節第２日,j2_2026_09131800_新潟_山形,2026-09-13 18:00:00,デンカＳ,新潟,山形,,,3.32,6.08,0.0,0.0,,,,,,,3.32,6.08,,,False,False,False,15.0,3.0,,,,True,新潟,山形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第７節第２日,j2_2026_09191900_新潟_磐田,2026-09-19 19:00:00,デンカＳ,新潟,磐田,,,2.92,7.16,0.0,0.0,,,,,,,2.92,7.16,,,False,False,False,15.0,3.0,,,,True,新潟,磐田,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第８節第１日,j2_2026_09261700_大分_藤枝,2026-09-26 17:00:00,クラド,大分,藤枝,,,3.98,6.72,0.0,0.0,,,,,,,3.98,6.72,,,False,False,False,15.0,3.0,,,,True,大分,藤枝,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第９節第１日,j2_2026_10031400_新潟_徳島,2026-10-03 14:00:00,デンカＳ,新潟,徳島,,,3.12,7.21,0.0,0.0,,,,,,,3.12,7.21,,,False,False,False,15.0,3.0,,,,True,新潟,徳島,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第９節第１日,j2_2026_10031700_大分_山形,2026-10-03 17:00:00,クラド,大分,山形,,,3.43,6.14,0.0,0.0,,,,,,,3.43,6.14,,,False,False,False,15.0,3.0,,,,True,大分,山形,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１１節第１日,j2_2026_10171400_大分_新潟,2026-10-17 14:00:00,クラド,大分,新潟,,,3.43,7.58,0.0,0.0,,,,,,,3.43,7.58,,,False,False,False,15.0,3.0,,,,True,大分,新潟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１２節第１日,j2_2026_10211900_新潟_鳥栖,2026-10-21 19:00:00,デンカＳ,新潟,鳥栖,,,4.29,6.89,0.0,0.0,,,,,,,4.29,6.89,,,False,False,False,15.0,3.0,,,,True,新潟,鳥栖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１３節第２日,j2_2026_10251400_新潟_仙台,2026-10-25 14:00:00,デンカＳ,新潟,仙台,,,4.18,7.34,0.0,0.0,,,,,,,4.18,7.34,,,False,False,False,15.0,3.0,,,,True,新潟,仙台,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１３節第２日,j2_2026_10251400_大分_甲府,2026-10-25 14:00:00,クラド,大分,甲府,,,4.27,7.18,0.0,0.0,,,,,,,4.27,7.18,,,False,False,False,15.0,3.0,,,,True,大分,甲府,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
第１４節第１日,j2_2026_10311400_新潟_富山,2026-10-31 14:00:00,デンカＳ,新潟,富山,,,3.08,6.89,0.0,0.0,,,,,,,3.08,6.89,,,False,False,False,15.0,3.0,,,,True,新潟,富山,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,left_only
