節,match_id,datetime,stadium,home_team,away_team,home_score,away_score,home_fatigue_score,away_fatigue_score,home_acl_fatigue,away_acl_fatigue,home_acl_last_date,away_acl_last_date,home_acl_days_since,away_acl_days_since,home_acl_travel_type,away_acl_travel_type,home_total_fatigue_score,away_total_fatigue_score,datetime_weather,stadium_weather,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at,__weather_asof,__weather_source,_merge_weather
第１７節第１日,j2_2026_05161400_栃木Ｃ_山形,2026-05-16 14:00:00,ＣＦＳ,栃木Ｃ,山形,,,3.84,7.79,0.0,0.0,,,,,,,3.84,7.79,,,,,,,,,,,left_only
第１７節第１日,j2_2026_05161400_湘南_仙台,2026-05-16 14:00:00,レモンＳ,湘南,仙台,,,3.57,6.93,0.0,0.0,,,,,,,3.57,6.93,,,,,,,,,,,left_only
第１７節第１日,j2_2026_05161430_磐田_藤枝,2026-05-16 14:30:00,ヤマハ,磐田,藤枝,,,3.46,7.54,0.0,0.0,,,,,,,3.46,7.54,,,,,,,,,,,left_only
第１７節第２日,j2_2026_05171400_富山_徳島,2026-05-17 14:00:00,富山,富山,徳島,,,2.72,6.69,0.0,0.0,,,,,,,2.72,6.69,,,,,,,,,,,left_only
第１７節第２日,j2_2026_05171400_大分_宮崎,2026-05-17 14:00:00,クラド,大分,宮崎,,,2.42,5.4,0.0,0.0,,,,,,,2.42,5.4,,,,,,,,,,,left_only
第１８節第１日,j2_2026_05231400_仙台_横浜FC,2026-05-23 14:00:00,ユアスタ,仙台,横浜FC,,,3.88,8.59,0.0,0.0,,,,,,,3.88,8.59,,,,,,,,,,,left_only
第１８節第１日,j2_2026_05231400_札幌_磐田,2026-05-23 14:00:00,プレド,札幌,磐田,,,2.33,6.81,0.0,0.0,,,,,,,2.33,6.81,,,,,,,,,,,left_only
第１８節第１日,j2_2026_05231400_藤枝_いわき,2026-05-23 14:00:00,藤枝サ,藤枝,いわき,,,4.27,8.06,0.0,0.0,,,,,,,4.27,8.06,,,,,,,,,,,left_only
第１８節第２日,j2_2026_05241400_秋田_栃木Ｃ,2026-05-24 14:00:00,ソユスタ,秋田,栃木Ｃ,,,3.9,7.03,0.0,0.0,,,,,,,3.9,7.03,,,,,,,,,,,left_only
第１８節第２日,j2_2026_05241400_山形_湘南,2026-05-24 14:00:00,ＮＤスタ,山形,湘南,,,4.68,6.94,0.0,0.0,,,,,,,4.68,6.94,,,,,,,,,,,left_only
第１８節第２日,j2_2026_05241400_徳島_今治,2026-05-24 14:00:00,鳴門大塚,徳島,今治,,,3.82,6.42,0.0,0.0,,,,,,,3.82,6.42,,,,,,,,,,,left_only
