league,close_split_profile,matches,pred_draw_rate,actual_draw_rate,draw_miss_to_side_rate,side_miss_to_draw_rate
J1,draw_core,76,0.5921052631578947,0.3684210526315789,0.39473684210526316,0.17105263157894737
J1,soft_draw,18,0.3333333333333333,0.16666666666666666,0.2777777777777778,0.1111111111111111
J1,mixed_close,35,0.17142857142857143,0.34285714285714286,0.08571428571428572,0.2571428571428571
J1,swing_close,23,0.043478260869565216,0.13043478260869565,0.043478260869565216,0.13043478260869565
J1,soft_swing,16,0.0,0.25,0.0,0.25
J1,undiff_close,2,0.0,0.5,0.0,0.5
J2,mixed_close,48,0.5625,0.16666666666666666,0.4583333333333333,0.0625
J2,soft_draw,17,0.35294117647058826,0.17647058823529413,0.29411764705882354,0.11764705882352941
J2,swing_close,13,0.23076923076923078,0.07692307692307693,0.23076923076923078,0.07692307692307693
J2,draw_core,4,0.25,0.25,0.0,0.0
J2,soft_swing,2,0.0,1.0,0.0,1.0
