league,close_split_profile,predicted_result,matches,hit_rate,actual_H_rate,actual_D_rate,actual_A_rate
J1,draw_core,D,45,0.3333333333333333,0.37777777777777777,0.3333333333333333,0.28888888888888886
J1,draw_core,A,23,0.391304347826087,0.21739130434782608,0.391304347826087,0.391304347826087
J1,mixed_close,A,18,0.2777777777777778,0.4444444444444444,0.2777777777777778,0.2777777777777778
J1,swing_close,A,17,0.4117647058823529,0.4117647058823529,0.17647058823529413,0.4117647058823529
J1,soft_swing,A,16,0.4375,0.3125,0.25,0.4375
J1,mixed_close,H,11,0.5454545454545454,0.5454545454545454,0.36363636363636365,0.09090909090909091
J1,draw_core,H,8,0.5,0.5,0.5,0.0
J1,soft_draw,A,8,0.625,0.25,0.125,0.625
J1,mixed_close,D,6,0.5,0.16666666666666666,0.5,0.3333333333333333
J1,soft_draw,D,6,0.16666666666666666,0.6666666666666666,0.16666666666666666,0.16666666666666666
J1,swing_close,H,5,0.8,0.8,0.0,0.2
J1,soft_draw,H,4,0.75,0.75,0.25,0.0
J1,undiff_close,A,2,0.5,0.0,0.5,0.5
J1,swing_close,D,1,0.0,1.0,0.0,0.0
J2,mixed_close,D,27,0.18518518518518517,0.3333333333333333,0.18518518518518517,0.48148148148148145
J2,mixed_close,H,12,0.6666666666666666,0.6666666666666666,0.08333333333333333,0.25
J2,mixed_close,A,9,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.6666666666666666
J2,soft_draw,D,6,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.6666666666666666
J2,soft_draw,H,6,0.6666666666666666,0.6666666666666666,0.0,0.3333333333333333
J2,soft_draw,A,5,0.6,0.0,0.4,0.6
J2,swing_close,A,5,0.6,0.2,0.2,0.6
J2,swing_close,H,5,0.6,0.6,0.0,0.4
J2,swing_close,D,3,0.0,0.3333333333333333,0.0,0.6666666666666666
J2,draw_core,H,2,1.0,1.0,0.0,0.0
J2,draw_core,A,1,1.0,0.0,0.0,1.0
J2,draw_core,D,1,1.0,0.0,1.0,0.0
J2,soft_swing,A,1,0.0,0.0,1.0,0.0
J2,soft_swing,H,1,0.0,0.0,1.0,0.0
