match_no,league,home_team,away_team,primary,secondary,cluster,basis_hint,actual,H_count,D_count,A_count,dominant_symbol,dominant_share
1,J1,水戸,東京Ｖ,D,A,low_tempo_draw,draw_compressed,A,0,7,3,D,0.7
2,J1,横浜FM,柏,A,D,hold_core,draw_compressed,A,0,1,9,A,0.9
3,J1,長崎,神戸,A,D,hold_core,basis_balanced,D,0,1,9,A,0.9
4,J1,千葉,鹿島,A,D,neutral,basis_balanced,A,0,1,9,A,0.9
5,J1,京都,広島,A,D,hold_core,basis_balanced,A,0,1,9,A,0.9
6,J1,浦和,FC東京,A,D,draw_core,draw_compressed,D,0,1,9,A,0.9
7,J1,岡山,清水,D,A,low_tempo_draw,flat_draw_trap,H,2,6,2,D,0.6
8,J1,Ｃ大阪,名古屋,D,A,draw_core,draw_compressed,H,3,0,7,A,0.7
9,J1,川崎Ｆ,町田,A,D,draw_core,basis_balanced,D,0,1,9,A,0.9
10,UNKNOWN,琉球,鳥取,,,neutral,,,10,0,0,H,1.0
11,J2,富山,徳島,D,A,draw_core,draw_compressed,D,0,2,8,A,0.8
12,J2,大分,宮崎,A,D,draw_core,basis_balanced,A,0,1,9,A,0.9
13,J2,磐田,藤枝,D,H,hold_core,basis_balanced,A,1,8,1,D,0.8
