match_no,league,home_team,away_team,actual_label,portfolio_hit_count,portfolio_hit_any,all_miss,all_same_symbol,symbols,shape_cluster_label,shape_overlap_subtype,lab_cluster_label,lab_overlap_subtype,lab_basis_hint,context_risk_level,context_ticket_guidance,topology_asymmetry_score,admission_draw_score,admission_escape_draw_score,admission_escape_home_score,admission_escape_away_score,p_home,p_draw,p_away,ticket01,ticket02,ticket03,ticket04,ticket05,ticket06,ticket07,ticket08,ticket09,ticket10
1,J1,水戸,東京Ｖ,A,3,1,0,0,AD,low_tempo_draw,non_overlap,low_tempo_draw,non_overlap,draw_compressed,draw_watch,draw_cover,0.0228504443072835,0.682764056229684,0.7592022695710609,0.271273005551308,0.1952923368061421,0.250843983367175,0.4593106654409094,0.2898453511919155,0,2,2,0,2,0,0,0,0,0
2,J1,横浜FM,柏,A,9,1,0,0,AD,hold_core,non_overlap,hold_core,non_overlap,draw_compressed,draw_watch,draw_cover,0.1550716590978457,0.679916150144835,0.7441466975780364,0.3142841743513637,0.2748553430097591,0.2498966597493558,0.4130379017838456,0.3370654384667986,2,2,2,0,2,2,2,2,2,2
3,J1,長崎,神戸,D,1,1,0,0,AD,hold_core,non_overlap,hold_core,non_overlap,basis_balanced,draw_watch,draw_cover,0.2848629802418554,0.5922768603873085,0.6309065781243559,0.3480225075508898,0.3614590507253995,0.2165197505508988,0.3327892579624982,0.4506909914866029,2,2,2,0,2,2,2,2,2,2
4,J1,千葉,鹿島,A,9,1,0,0,AD,neutral,non_overlap,neutral,non_overlap,basis_balanced,draw_watch,draw_cover,0.5269368706048889,0.4824553251243098,0.4779405995879515,0.4132419205972745,0.521126830159167,0.1711184747808244,0.2039038404667078,0.6249776847524675,2,2,2,2,2,2,2,2,0,2
5,J1,京都,広島,A,9,1,0,0,AD,hold_core,non_overlap,hold_core,non_overlap,basis_balanced,draw_watch,draw_cover,0.2632234998818281,0.6381494743276782,0.6735872142274429,0.3537319373894699,0.3513221277634625,0.232808892049862,0.3813805091912902,0.3858105987588476,2,2,2,2,2,2,2,2,0,2
6,J1,浦和,FC東京,D,1,1,0,0,AD,draw_core,non_overlap,draw_core,non_overlap,draw_compressed,draw_watch,draw_cover,0.1425863331992051,0.691714997608468,0.753812561886394,0.2846830689538094,0.2425899142695302,0.2461559456636182,0.4312550933236103,0.3225889610127715,2,0,2,2,2,2,2,2,2,2
7,J1,岡山,清水,H,1,1,0,0,ADH,low_tempo_draw,non_overlap,low_tempo_draw,non_overlap,flat_draw_trap,draw_watch,draw_cover,0.0196710264335098,0.7563362737543243,0.8422409627697758,0.2479411555453426,0.1648106692845202,0.2568462079152794,0.483114787102828,0.2600390049818923,0,0,2,0,0,0,0,2,2,1
8,J1,Ｃ大阪,名古屋,H,1,1,0,0,AH,draw_core,non_overlap,draw_core,non_overlap,draw_compressed,draw_watch,draw_cover,0.1481449933127742,0.7012515410180082,0.7625213194202309,0.2897621666739057,0.2483715944724412,0.2503701074632729,0.4598420375893833,0.2897878549473437,2,2,2,2,1,2,2,2,2,2
9,J1,川崎Ｆ,町田,D,1,1,0,0,AD,draw_core,non_overlap,draw_core,non_overlap,basis_balanced,draw_watch,draw_cover,0.2166964024999617,0.6686959247077232,0.7050778798193795,0.3315096744490062,0.3151470615386337,0.2412524537624665,0.4106822157829319,0.3480653304546015,2,2,2,2,2,2,2,0,2,2
11,J2,富山,徳島,D,2,1,0,0,AD,draw_core,non_overlap,draw_core,non_overlap,draw_compressed,draw_watch,draw_cover,0.2189441715302361,0.5522776092077872,0.612831802702476,0.4032722882960622,0.3111329609202424,0.2693557897112443,0.3849328679409057,0.3457113423478499,2,2,2,2,2,2,0,2,2,0
12,J2,大分,宮崎,A,9,1,0,0,AD,draw_core,non_overlap,draw_core,non_overlap,basis_balanced,draw_watch,draw_cover,0.3296904619063617,0.5304437468237827,0.5725030343793287,0.3690830899652292,0.4045831161422397,0.2104735526424418,0.356544755364611,0.4329816919929471,2,2,2,2,2,2,2,2,0,2
13,J2,磐田,藤枝,A,1,1,0,0,ADH,hold_core,non_overlap,hold_core,non_overlap,basis_balanced,draw_watch,draw_cover,0.0576294829401557,0.5805554256463084,0.6820849544032122,0.3077550807949816,0.235958724314629,0.3409098037360515,0.4116183738439825,0.2474718224199659,0,0,0,0,0,0,1,0,0,2
