ticket_a,ticket_b,same_pick_rate,same_hit_count,same_miss_count,correlated_failure_rate,rescue_a_only,rescue_b_only,hit_miss_phi
cand01,cand02,0.8333333333333334,4,6,0.5,0,2,0.7071067811865476
cand01,cand03,0.8333333333333334,4,7,0.5833333333333334,0,1,0.8366600265340753
cand01,cand04,0.8333333333333334,3,7,0.5833333333333334,1,1,0.6250000000000001
cand01,cand05,0.8333333333333334,4,6,0.5,0,2,0.7071067811865476
cand01,cand06,1.0,4,8,0.6666666666666666,0,0,1.0
cand01,cand07,0.8333333333333334,4,7,0.5833333333333334,0,1,0.8366600265340753
cand01,cand08,0.8333333333333334,4,7,0.5833333333333334,0,1,0.8366600265340753
cand01,cand09,0.6666666666666666,1,8,0.6666666666666666,3,0,0.42640143271122094
cand01,cand10,0.75,4,5,0.4166666666666667,0,3,0.5976143046671968
cand02,cand03,0.8333333333333334,5,6,0.5,1,0,0.8451542547285167
cand02,cand04,0.6666666666666666,3,5,0.4166666666666667,3,1,0.3535533905932738
cand02,cand05,0.8333333333333334,5,5,0.4166666666666667,1,1,0.6666666666666667
cand02,cand06,0.8333333333333334,4,6,0.5,2,0,0.7071067811865476
cand02,cand07,0.6666666666666666,4,5,0.4166666666666667,2,1,0.5070925528371099
cand02,cand08,0.6666666666666666,4,5,0.4166666666666667,2,1,0.5070925528371099
cand02,cand09,0.5,1,6,0.5,5,0,0.3015113445777637
cand02,cand10,0.5833333333333334,4,3,0.25,2,3,0.1690308509457033
cand03,cand04,0.6666666666666666,3,6,0.5,2,1,0.4780914437337574
cand03,cand05,0.8333333333333334,5,6,0.5,0,1,0.8451542547285167
cand03,cand06,0.8333333333333334,4,7,0.5833333333333334,1,0,0.8366600265340753
cand03,cand07,0.6666666666666666,4,6,0.5,1,1,0.657142857142857
cand03,cand08,0.8333333333333334,4,6,0.5,1,1,0.657142857142857
cand03,cand09,0.6666666666666666,1,7,0.5833333333333334,4,0,0.35675303400633784
cand03,cand10,0.6666666666666666,4,4,0.3333333333333333,1,3,0.37142857142857144
cand04,cand05,0.6666666666666666,3,5,0.4166666666666667,1,3,0.3535533905932738
cand04,cand06,0.8333333333333334,3,7,0.5833333333333334,1,1,0.6250000000000001
cand04,cand07,0.6666666666666666,3,6,0.5,1,2,0.47809144373375745
cand04,cand08,0.6666666666666666,3,6,0.5,1,2,0.47809144373375745
cand04,cand09,0.5,0,7,0.5833333333333334,4,1,-0.21320071635561044
cand04,cand10,0.5833333333333334,3,4,0.3333333333333333,1,4,0.23904572186687872
cand05,cand06,0.8333333333333334,4,6,0.5,2,0,0.7071067811865476
cand05,cand07,0.6666666666666666,4,5,0.4166666666666667,2,1,0.5070925528371099
cand05,cand08,0.6666666666666666,4,5,0.4166666666666667,2,1,0.5070925528371099
cand05,cand09,0.5,1,6,0.5,5,0,0.3015113445777637
cand05,cand10,0.5833333333333334,4,3,0.25,2,3,0.1690308509457033
cand06,cand07,0.8333333333333334,4,7,0.5833333333333334,0,1,0.8366600265340753
cand06,cand08,0.8333333333333334,4,7,0.5833333333333334,0,1,0.8366600265340753
cand06,cand09,0.6666666666666666,1,8,0.6666666666666666,3,0,0.42640143271122094
cand06,cand10,0.75,4,5,0.4166666666666667,0,3,0.5976143046671968
cand07,cand08,0.6666666666666666,4,6,0.5,1,1,0.657142857142857
cand07,cand09,0.5,1,7,0.5833333333333334,4,0,0.35675303400633784
cand07,cand10,0.8333333333333334,5,5,0.4166666666666667,0,2,0.7142857142857141
cand08,cand09,0.6666666666666666,1,7,0.5833333333333334,4,0,0.35675303400633784
cand08,cand10,0.6666666666666666,4,4,0.3333333333333333,1,3,0.37142857142857144
cand09,cand10,0.5,1,5,0.4166666666666667,0,6,0.25482359571881275
