ticket,hits,hit_rate,unique_hits_vs_portfolio,leave_one_out_cover_drop,rescue_vs_base_ticket01,draw_pred_count,draw_hit_count,same_as_best_ticket
cand10,7,0.5833333333333334,2,2,3,2,1,12
cand02,6,0.5,1,1,2,3,1,7
cand05,6,0.5,1,1,2,2,0,7
cand03,5,0.4166666666666667,0,0,1,1,0,8
cand07,5,0.4166666666666667,0,0,1,3,1,10
cand08,5,0.4166666666666667,1,1,1,3,1,8
cand01,4,0.3333333333333333,0,0,0,3,0,9
cand04,4,0.3333333333333333,1,1,1,5,1,7
cand06,4,0.3333333333333333,0,0,0,3,0,9
cand09,1,0.08333333333333333,0,0,0,5,0,6
