class,bin,count,mean_pred_prob,actual_rate
H,"[0.0,0.1]",0,,
H,"[0.1,0.2]",68,0.18560294117647058,0.25
H,"[0.2,0.3]",259,0.23845559845559844,0.4555984555984556
H,"[0.3,0.4]",53,0.3297169811320755,0.6226415094339622
H,"[0.4,0.5]",0,,
H,"[0.5,0.6]",0,,
H,"[0.6,0.7]",0,,
H,"[0.7,0.8]",0,,
H,"[0.8,0.9]",0,,
H,"[0.9,1.0]",0,,
D,"[0.0,0.1]",0,,
D,"[0.1,0.2]",0,,
D,"[0.2,0.3]",0,,
D,"[0.3,0.4]",0,,
D,"[0.4,0.5]",70,0.4846857142857142,0.2571428571428571
D,"[0.5,0.6]",310,0.5445645161290322,0.25483870967741934
D,"[0.6,0.7]",0,,
D,"[0.7,0.8]",0,,
D,"[0.8,0.9]",0,,
D,"[0.9,1.0]",0,,
A,"[0.0,0.1]",0,,
A,"[0.1,0.2]",119,0.1817983193277311,0.23529411764705882
A,"[0.2,0.3]",235,0.2359744680851064,0.30638297872340425
A,"[0.3,0.4]",26,0.31969230769230766,0.5769230769230769
A,"[0.4,0.5]",0,,
A,"[0.5,0.6]",0,,
A,"[0.6,0.7]",0,,
A,"[0.7,0.8]",0,,
A,"[0.8,0.9]",0,,
A,"[0.9,1.0]",0,,
