league,rule_name,matches,actual_d_count,candidate_count,prob_draw_min,gap_max,hit_rate,hit_rate_delta_vs_argmax,actual_d_hit,actual_d_hit_delta_vs_argmax
J1,argmax_baseline,380,97,0,,,0.5105263157894737,0.0,20,0
J1,draw_p0.3300_g0.0000,380,97,61,0.33,0.0,0.5105263157894737,0.0,20,0
J1,draw_p0.3300_g0.0050,380,97,66,0.33,0.005,0.5131578947368421,0.0026315789473684292,23,3
J1,draw_p0.3300_g0.0100,380,97,75,0.33,0.01,0.5210526315789473,0.010526315789473606,27,7
J1,draw_p0.3300_g0.0150,380,97,81,0.33,0.015,0.5157894736842106,0.0052631578947368585,29,9
J1,draw_p0.3300_g0.0200,380,97,83,0.33,0.02,0.5157894736842106,0.0052631578947368585,30,10
J1,draw_p0.3325_g0.0000,380,97,61,0.3325,0.0,0.5105263157894737,0.0,20,0
J1,draw_p0.3325_g0.0050,380,97,66,0.3325,0.005,0.5131578947368421,0.0026315789473684292,23,3
J1,draw_p0.3325_g0.0100,380,97,73,0.3325,0.01,0.5184210526315789,0.007894736842105177,26,6
J1,draw_p0.3325_g0.0150,380,97,78,0.3325,0.015,0.5157894736842106,0.0052631578947368585,28,8
J1,draw_p0.3325_g0.0200,380,97,80,0.3325,0.02,0.5157894736842106,0.0052631578947368585,29,9
J1,draw_p0.3350_g0.0000,380,97,61,0.335,0.0,0.5105263157894737,0.0,20,0
J1,draw_p0.3350_g0.0050,380,97,66,0.335,0.005,0.5131578947368421,0.0026315789473684292,23,3
J1,draw_p0.3350_g0.0100,380,97,73,0.335,0.01,0.5184210526315789,0.007894736842105177,26,6
J1,draw_p0.3350_g0.0150,380,97,78,0.335,0.015,0.5157894736842106,0.0052631578947368585,28,8
J1,draw_p0.3350_g0.0200,380,97,79,0.335,0.02,0.5131578947368421,0.0026315789473684292,28,8
J1,draw_p0.3375_g0.0000,380,97,59,0.3375,0.0,0.5105263157894737,0.0,20,0
J1,draw_p0.3375_g0.0050,380,97,62,0.3375,0.005,0.5131578947368421,0.0026315789473684292,22,2
J1,draw_p0.3375_g0.0100,380,97,69,0.3375,0.01,0.5184210526315789,0.007894736842105177,25,5
J1,draw_p0.3375_g0.0150,380,97,74,0.3375,0.015,0.5157894736842106,0.0052631578947368585,27,7
J1,draw_p0.3375_g0.0200,380,97,75,0.3375,0.02,0.5131578947368421,0.0026315789473684292,27,7
J1,draw_p0.3400_g0.0000,380,97,58,0.34,0.0,0.5105263157894737,0.0,20,0
J1,draw_p0.3400_g0.0050,380,97,61,0.34,0.005,0.5131578947368421,0.0026315789473684292,22,2
J1,draw_p0.3400_g0.0100,380,97,68,0.34,0.01,0.5184210526315789,0.007894736842105177,25,5
J1,draw_p0.3400_g0.0150,380,97,71,0.34,0.015,0.5157894736842106,0.0052631578947368585,26,6
J1,draw_p0.3400_g0.0200,380,97,72,0.34,0.02,0.5131578947368421,0.0026315789473684292,26,6
