team,opponent,matches,points_per_match,gd_per_match,tendency,confidence,team_rank,opp_rank,rank_gap
FC東京,横浜FC,2,3.0,1.0,得意,low,,,
FC東京,名古屋,2,2.0,1.0,得意,low,,,
FC東京,新潟,2,2.0,0.5,得意,low,,,
FC東京,東京Ｖ,2,2.0,0.5,得意,low,,,
FC東京,神戸,2,2.0,0.5,得意,low,,,
FC東京,柏,2,0.5,-0.5,苦手,low,,,
FC東京,清水,2,0.5,-1.0,苦手,low,,,
FC東京,広島,2,0.5,-1.5,苦手,low,,,
FC東京,鹿島,2,0.0,-1.5,苦手,low,,,
FC東京,京都,2,0.0,-3.5,苦手,low,,,
京都,FC東京,2,3.0,3.5,得意,low,,,
京都,新潟,2,3.0,1.0,得意,low,,,
京都,横浜FC,2,3.0,1.0,得意,low,,,
京都,湘南,2,2.0,1.0,得意,low,,,
京都,神戸,2,2.0,1.0,得意,low,,,
京都,名古屋,2,2.0,0.5,得意,low,,,
京都,川崎Ｆ,2,2.0,0.5,得意,low,,,
京都,広島,2,2.0,0.5,得意,low,,,
京都,町田,2,2.0,0.5,得意,low,,,
京都,鹿島,2,2.0,0.5,得意,low,,,
京都,浦和,2,0.5,-0.5,苦手,low,,,
京都,福岡,2,0.5,-0.5,苦手,low,,,
名古屋,広島,2,3.0,1.0,得意,low,,,
名古屋,新潟,2,2.0,1.5,得意,low,,,
名古屋,清水,2,2.0,1.5,得意,low,,,
名古屋,岡山,2,2.0,0.5,得意,low,,,
名古屋,横浜FC,2,2.0,0.5,得意,low,,,
名古屋,福岡,2,2.0,0.5,得意,low,,,
名古屋,Ｃ大阪,2,2.0,0.5,得意,low,,,
名古屋,京都,2,0.5,-0.5,苦手,low,,,
名古屋,東京Ｖ,2,0.5,-0.5,苦手,low,,,
名古屋,神戸,2,0.5,-0.5,苦手,low,,,
名古屋,FC東京,2,0.5,-1.0,苦手,low,,,
名古屋,柏,2,0.0,-1.0,苦手,low,,,
名古屋,町田,2,0.0,-1.5,苦手,low,,,
名古屋,Ｇ大阪,2,0.0,-2.0,苦手,low,,,
名古屋,川崎Ｆ,2,0.0,-2.5,苦手,low,,,
名古屋,鹿島,2,0.0,-2.5,苦手,low,,,
岡山,Ｇ大阪,2,3.0,2.5,得意,low,,,
岡山,横浜FM,2,3.0,1.0,得意,low,,,
岡山,新潟,2,2.0,0.5,得意,low,,,
岡山,清水,2,2.0,0.5,得意,low,,,
岡山,湘南,2,2.0,0.5,得意,low,,,
岡山,名古屋,2,0.5,-0.5,苦手,low,,,
岡山,横浜FC,2,0.5,-0.5,苦手,low,,,
岡山,町田,2,0.5,-0.5,苦手,low,,,
岡山,福岡,2,0.5,-0.5,苦手,low,,,
岡山,浦和,2,0.0,-1.0,苦手,low,,,
岡山,Ｃ大阪,2,0.0,-1.0,苦手,low,,,
岡山,東京Ｖ,2,0.0,-1.5,苦手,low,,,
岡山,神戸,2,0.0,-1.5,苦手,low,,,
川崎Ｆ,名古屋,2,3.0,2.5,得意,low,,,
川崎Ｆ,湘南,2,3.0,1.5,得意,low,,,
川崎Ｆ,横浜FC,2,3.0,1.0,得意,low,,,
川崎Ｆ,横浜FM,2,2.0,1.5,得意,low,,,
川崎Ｆ,新潟,2,2.0,1.0,得意,low,,,
川崎Ｆ,清水,2,2.0,1.0,得意,low,,,
川崎Ｆ,町田,2,2.0,1.0,得意,low,,,
川崎Ｆ,京都,2,0.5,-0.5,苦手,low,,,
川崎Ｆ,東京Ｖ,2,0.5,-0.5,苦手,low,,,
川崎Ｆ,Ｇ大阪,2,0.5,-0.5,苦手,low,,,
川崎Ｆ,浦和,2,0.5,-2.0,苦手,low,,,
川崎Ｆ,神戸,2,0.0,-1.0,苦手,low,,,
広島,横浜FC,2,3.0,2.5,得意,low,,,
広島,東京Ｖ,2,3.0,2.0,得意,low,,,
広島,湘南,2,3.0,1.0,得意,low,,,
広島,町田,2,3.0,1.0,得意,low,,,
広島,福岡,2,3.0,1.0,得意,low,,,
広島,Ｇ大阪,2,3.0,1.0,得意,low,,,
広島,FC東京,2,2.0,1.5,得意,low,,,
広島,鹿島,2,2.0,0.5,得意,low,,,
広島,Ｃ大阪,2,2.0,0.5,得意,low,,,
広島,京都,2,0.5,-0.5,苦手,low,,,
広島,名古屋,2,0.0,-1.0,苦手,low,,,
広島,神戸,2,0.0,-1.0,苦手,low,,,
新潟,横浜FM,2,2.0,0.5,得意,low,,,
新潟,神戸,2,2.0,0.5,得意,low,,,
新潟,FC東京,2,0.5,-0.5,苦手,low,,,
新潟,岡山,2,0.5,-0.5,苦手,low,,,
新潟,東京Ｖ,2,0.5,-0.5,苦手,low,,,
新潟,横浜FC,2,0.5,-0.5,苦手,low,,,
新潟,浦和,2,0.5,-0.5,苦手,low,,,
新潟,川崎Ｆ,2,0.5,-1.0,苦手,low,,,
新潟,柏,2,0.5,-1.0,苦手,low,,,
新潟,Ｃ大阪,2,0.5,-1.0,苦手,low,,,
新潟,Ｇ大阪,2,0.5,-1.0,苦手,low,,,
新潟,名古屋,2,0.5,-1.5,苦手,low,,,
新潟,京都,2,0.0,-1.0,苦手,low,,,
新潟,福岡,2,0.0,-1.0,苦手,low,,,
新潟,鹿島,2,0.0,-1.0,苦手,low,,,
新潟,清水,2,0.0,-1.5,苦手,low,,,
新潟,町田,2,0.0,-2.5,苦手,low,,,
東京Ｖ,岡山,2,3.0,1.5,得意,low,,,
東京Ｖ,横浜FC,2,2.0,1.0,得意,low,,,
東京Ｖ,名古屋,2,2.0,0.5,得意,low,,,
東京Ｖ,川崎Ｆ,2,2.0,0.5,得意,low,,,
東京Ｖ,新潟,2,2.0,0.5,得意,low,,,
東京Ｖ,横浜FM,2,2.0,0.5,得意,low,,,
東京Ｖ,FC東京,2,0.5,-0.5,苦手,low,,,
東京Ｖ,浦和,2,0.5,-1.0,苦手,low,,,
東京Ｖ,柏,2,0.5,-1.5,苦手,low,,,
東京Ｖ,清水,2,0.0,-1.0,苦手,low,,,
東京Ｖ,広島,2,0.0,-2.0,苦手,low,,,
東京Ｖ,Ｇ大阪,2,0.0,-2.0,苦手,low,,,
東京Ｖ,神戸,2,0.0,-2.5,苦手,low,,,
東京Ｖ,鹿島,2,0.0,-2.5,苦手,low,,,
柏,Ｇ大阪,2,3.0,3.0,得意,low,,,
柏,浦和,2,3.0,2.0,得意,low,,,
柏,横浜FM,2,3.0,1.5,得意,low,,,
柏,清水,2,3.0,1.5,得意,low,,,
柏,湘南,2,3.0,1.5,得意,low,,,
柏,名古屋,2,3.0,1.0,得意,low,,,
柏,福岡,2,3.0,1.0,得意,low,,,
柏,東京Ｖ,2,2.0,1.5,得意,low,,,
柏,新潟,2,2.0,1.0,得意,low,,,
柏,横浜FC,2,2.0,1.0,得意,low,,,
柏,FC東京,2,2.0,0.5,得意,low,,,
柏,Ｃ大阪,2,2.0,0.5,得意,low,,,
柏,神戸,2,0.5,-1.0,苦手,low,,,
柏,鹿島,2,0.0,-1.5,苦手,low,,,
横浜FC,Ｃ大阪,2,3.0,2.0,得意,low,,,
横浜FC,湘南,2,3.0,1.0,得意,low,,,
横浜FC,岡山,2,2.0,0.5,得意,low,,,
横浜FC,新潟,2,2.0,0.5,得意,low,,,
横浜FC,名古屋,2,0.5,-0.5,苦手,low,,,
横浜FC,横浜FM,2,0.5,-0.5,苦手,low,,,
横浜FC,Ｇ大阪,2,0.5,-0.5,苦手,low,,,
横浜FC,東京Ｖ,2,0.5,-1.0,苦手,low,,,
横浜FC,柏,2,0.5,-1.0,苦手,low,,,
横浜FC,町田,2,0.5,-1.0,苦手,low,,,
横浜FC,FC東京,2,0.0,-1.0,苦手,low,,,
横浜FC,京都,2,0.0,-1.0,苦手,low,,,
横浜FC,川崎Ｆ,2,0.0,-1.0,苦手,low,,,
横浜FC,浦和,2,0.0,-1.0,苦手,low,,,
横浜FC,鹿島,2,0.0,-2.0,苦手,low,,,
横浜FC,広島,2,0.0,-2.5,苦手,low,,,
横浜FM,町田,2,2.0,1.5,得意,low,,,
横浜FM,横浜FC,2,2.0,0.5,得意,low,,,
横浜FM,新潟,2,0.5,-0.5,苦手,low,,,
横浜FM,東京Ｖ,2,0.5,-0.5,苦手,low,,,
横浜FM,川崎Ｆ,2,0.5,-1.5,苦手,low,,,
横浜FM,岡山,2,0.0,-1.0,苦手,low,,,
横浜FM,神戸,2,0.0,-1.0,苦手,low,,,
横浜FM,柏,2,0.0,-1.5,苦手,low,,,
浦和,岡山,2,3.0,1.0,得意,low,,,
浦和,横浜FC,2,3.0,1.0,得意,low,,,
浦和,川崎Ｆ,2,2.0,2.0,得意,low,,,
浦和,東京Ｖ,2,2.0,1.0,得意,low,,,
浦和,町田,2,2.0,1.0,得意,low,,,
浦和,京都,2,2.0,0.5,得意,low,,,
浦和,新潟,2,2.0,0.5,得意,low,,,
浦和,清水,2,2.0,0.5,得意,low,,,
浦和,神戸,2,2.0,0.5,得意,low,,,
浦和,福岡,2,0.5,-0.5,苦手,low,,,
浦和,鹿島,2,0.5,-0.5,苦手,low,,,
浦和,Ｇ大阪,2,0.0,-1.0,苦手,low,,,
浦和,柏,2,0.0,-2.0,苦手,low,,,
清水,新潟,2,3.0,1.5,得意,low,,,
清水,東京Ｖ,2,3.0,1.0,得意,low,,,
清水,FC東京,2,2.0,1.0,得意,low,,,
清水,福岡,2,2.0,1.0,得意,low,,,
清水,岡山,2,0.5,-0.5,苦手,low,,,
清水,浦和,2,0.5,-0.5,苦手,low,,,
清水,鹿島,2,0.5,-0.5,苦手,low,,,
清水,Ｇ大阪,2,0.5,-0.5,苦手,low,,,
清水,川崎Ｆ,2,0.5,-1.0,苦手,low,,,
清水,名古屋,2,0.5,-1.5,苦手,low,,,
清水,町田,2,0.5,-1.5,苦手,low,,,
清水,柏,2,0.0,-1.5,苦手,low,,,
清水,Ｃ大阪,2,0.0,-2.5,苦手,low,,,
湘南,Ｃ大阪,2,2.0,0.5,得意,low,,,
湘南,岡山,2,0.5,-0.5,苦手,low,,,
湘南,福岡,2,0.5,-0.5,苦手,low,,,
湘南,京都,2,0.5,-1.0,苦手,low,,,
湘南,広島,2,0.0,-1.0,苦手,low,,,
湘南,横浜FC,2,0.0,-1.0,苦手,low,,,
湘南,川崎Ｆ,2,0.0,-1.5,苦手,low,,,
湘南,柏,2,0.0,-1.5,苦手,low,,,
湘南,神戸,2,0.0,-2.5,苦手,low,,,
湘南,Ｇ大阪,2,0.0,-2.5,苦手,low,,,
町田,新潟,2,3.0,2.5,得意,low,,,
町田,Ｃ大阪,2,3.0,2.0,得意,low,,,
町田,名古屋,2,3.0,1.5,得意,low,,,
町田,Ｇ大阪,2,3.0,1.5,得意,low,,,
町田,清水,2,2.0,1.5,得意,low,,,
町田,横浜FC,2,2.0,1.0,得意,low,,,
町田,岡山,2,2.0,0.5,得意,low,,,
町田,京都,2,0.5,-0.5,苦手,low,,,
