team,opponent,matches,wins,draws,losses,points,goal_diff,points_per_match,gd_per_match,home_points_per_match,away_points_per_match,weighted_points_per_match,weighted_gd_per_match,tendency,confidence
FC東京,横浜FC,2,2,0,0,6.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,得意,low
FC東京,名古屋,2,1,1,0,4.0,2.0,2.0,1.0,3.0,1.0,1.656,0.656,得意,low
FC東京,新潟,2,1,1,0,4.0,1.0,2.0,0.5,1.0,3.0,1.605,0.302,得意,low
FC東京,東京Ｖ,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,2.309,0.655,得意,low
FC東京,神戸,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,1.626,0.313,得意,low
FC東京,横浜FM,2,1,0,1,3.0,2.0,1.5,1.0,0.0,3.0,1.229,0.638,互角/中間,low
FC東京,岡山,2,1,0,1,3.0,1.0,1.5,0.5,3.0,0.0,2.056,1.056,互角/中間,low
FC東京,Ｇ大阪,2,1,0,1,3.0,1.0,1.5,0.5,3.0,0.0,1.333,0.222,互角/中間,low
FC東京,浦和,2,1,0,1,3.0,0.0,1.5,0.0,3.0,0.0,1.681,0.121,互角/中間,low
FC東京,町田,2,1,0,1,3.0,0.0,1.5,0.0,0.0,3.0,2.194,0.463,互角/中間,low
FC東京,福岡,2,1,0,1,3.0,0.0,1.5,0.0,3.0,0.0,2.031,0.354,互角/中間,low
FC東京,川崎Ｆ,2,1,0,1,3.0,-2.0,1.5,-1.0,0.0,3.0,1.987,-0.35,互角/中間,low
FC東京,湘南,2,0,2,0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,互角/中間,low
FC東京,Ｃ大阪,2,0,2,0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,互角/中間,low
FC東京,柏,2,0,1,1,1.0,-1.0,0.5,-0.5,1.0,0.0,0.419,-0.581,苦手,low
FC東京,清水,2,0,1,1,1.0,-2.0,0.5,-1.0,0.0,1.0,0.648,-0.705,苦手,low
FC東京,広島,2,0,1,1,1.0,-3.0,0.5,-1.5,0.0,1.0,0.636,-1.091,苦手,low
FC東京,鹿島,2,0,0,2,0.0,-3.0,0.0,-1.5,0.0,0.0,0.0,-1.349,苦手,low
FC東京,京都,2,0,0,2,0.0,-7.0,0.0,-3.5,0.0,0.0,0.0,-3.581,苦手,low
京都,FC東京,2,2,0,0,6.0,7.0,3.0,3.5,3.0,3.0,3.0,3.581,得意,low
京都,新潟,2,2,0,0,6.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,得意,low
京都,横浜FC,2,2,0,0,6.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,得意,low
京都,湘南,2,1,1,0,4.0,2.0,2.0,1.0,3.0,1.0,1.65,0.65,得意,low
京都,神戸,2,1,1,0,4.0,2.0,2.0,1.0,3.0,1.0,2.496,1.496,得意,low
京都,名古屋,2,1,1,0,4.0,1.0,2.0,0.5,1.0,3.0,2.174,0.587,得意,low
京都,川崎Ｆ,2,1,1,0,4.0,1.0,2.0,0.5,1.0,3.0,1.605,0.302,得意,low
京都,広島,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,1.689,0.344,得意,low
京都,町田,2,1,1,0,4.0,1.0,2.0,0.5,1.0,3.0,1.739,0.369,得意,low
京都,鹿島,2,1,1,0,4.0,1.0,2.0,0.5,1.0,3.0,1.63,0.315,得意,low
京都,岡山,2,1,0,1,3.0,3.0,1.5,1.5,3.0,0.0,2.041,2.763,互角/中間,low
京都,Ｇ大阪,2,1,0,1,3.0,1.0,1.5,0.5,3.0,0.0,1.673,0.673,互角/中間,low
京都,東京Ｖ,2,1,0,1,3.0,0.0,1.5,0.0,3.0,0.0,1.738,0.159,互角/中間,low
京都,横浜FM,2,1,0,1,3.0,0.0,1.5,0.0,0.0,3.0,1.01,-0.979,互角/中間,low
京都,清水,2,1,0,1,3.0,0.0,1.5,0.0,0.0,3.0,0.979,-0.347,互角/中間,low
京都,Ｃ大阪,2,1,0,1,3.0,0.0,1.5,0.0,0.0,3.0,1.916,0.277,互角/中間,low
京都,柏,2,0,2,0,2.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,互角/中間,low
京都,浦和,2,0,1,1,1.0,-1.0,0.5,-0.5,1.0,0.0,0.449,-0.551,苦手,low
京都,福岡,2,0,1,1,1.0,-1.0,0.5,-0.5,0.0,1.0,0.626,-0.374,苦手,low
名古屋,広島,2,2,0,0,6.0,2.0,3.0,1.0,3.0,3.0,3.0,1.0,得意,low
名古屋,新潟,2,1,1,0,4.0,3.0,2.0,1.5,3.0,1.0,1.782,1.173,得意,low
名古屋,清水,2,1,1,0,4.0,3.0,2.0,1.5,1.0,3.0,1.906,1.358,得意,low
名古屋,岡山,2,1,1,0,4.0,1.0,2.0,0.5,1.0,3.0,2.246,0.623,得意,low
名古屋,横浜FC,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,1.628,0.314,得意,low
名古屋,福岡,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,2.372,0.686,得意,low
名古屋,Ｃ大阪,2,1,1,0,4.0,1.0,2.0,0.5,3.0,1.0,2.383,0.692,得意,low
名古屋,湘南,2,1,0,1,3.0,1.0,1.5,0.5,3.0,0.0,1.967,0.967,互角/中間,low
名古屋,浦和,2,1,0,1,3.0,0.0,1.5,0.0,3.0,0.0,1.259,-0.16,互角/中間,low
名古屋,横浜FM,2,1,0,1,3.0,-1.0,1.5,-0.5,3.0,0.0,1.19,-1.017,互角/中間,low
名古屋,京都,2,0,1,1,1.0,-1.0,0.5,-0.5,0.0,1.0,0.413,-0.587,苦手,low
名古屋,東京Ｖ,2,0,1,1,1.0,-1.0,0.5,-0.5,1.0,0.0,0.606,-0.394,苦手,low
名古屋,神戸,2,0,1,1,1.0,-1.0,0.5,-0.5,1.0,0.0,0.393,-0.607,苦手,low
名古屋,FC東京,2,0,1,1,1.0,-2.0,0.5,-1.0,1.0,0.0,0.672,-0.656,苦手,low
名古屋,柏,2,0,0,2,0.0,-2.0,0.0,-1.0,0.0,0.0,0.0,-1.0,苦手,low
名古屋,町田,2,0,0,2,0.0,-3.0,0.0,-1.5,0.0,0.0,0.0,-1.741,苦手,low
