節,matches,hit_argmax,hit_rate_argmax,avg_max_prob,pred_H_count,pred_D_count,pred_A_count,actual_H_count,actual_D_count,actual_A_count
第１節第１日,1,0,0.0,0.42965865325649794,1,0,0,0,0,1
第１節第２日,7,3,0.42857142857142855,0.43382903248538807,3,0,4,3,2,2
第１節第３日,2,0,0.0,0.3724834951353401,0,2,0,0,0,2
第２節第１日,9,4,0.4444444444444444,0.44540959963696874,6,1,2,4,3,2
第２節第２日,1,1,1.0,0.42838490396281803,1,0,0,1,0,0
第３節第１日,10,5,0.5,0.44274066688666097,5,2,3,5,3,2
第４節第１日,4,2,0.5,0.4532766930016179,3,0,1,1,1,2
第４節第２日,6,4,0.6666666666666666,0.39301553286886365,1,2,3,1,2,3
第５節第１日,7,4,0.5714285714285714,0.4459153870469934,4,2,1,2,3,2
第５節第２日,1,0,0.0,0.38678665749992985,1,0,0,0,0,1
第６節第１日,4,2,0.5,0.42847263481915177,2,1,1,4,0,0
第６節第２日,6,4,0.6666666666666666,0.4524552359194722,2,1,3,1,3,2
第７節第１日,1,0,0.0,0.42945937768028014,1,0,0,0,1,0
第７節第２日,9,3,0.3333333333333333,0.42774551209958145,4,2,3,5,3,1
第８節第１日,10,7,0.7,0.4279498435418806,4,2,4,5,2,3
第９節第１日,1,0,0.0,0.3692199280103552,1,0,0,0,1,0
第９節第２日,9,3,0.3333333333333333,0.4056135560844404,3,5,1,6,1,2
第５節第３日,1,0,0.0,0.4247279452010271,1,0,0,0,1,0
第１０節第１日,1,0,0.0,0.46701597985364574,0,0,1,0,1,0
第１０節第２日,7,4,0.5714285714285714,0.4512085957198312,4,0,3,4,1,2
第１０節第３日,2,1,0.5,0.3911374973470732,1,1,0,0,1,1
第１２節第１日,2,0,0.0,0.36150488112092327,0,2,0,1,0,1
第２０節第１日,1,1,1.0,0.3610853740764714,1,0,0,1,0,0
第１１節第１日,1,1,1.0,0.5901338105858487,0,0,1,0,0,1
第１１節第２日,9,4,0.4444444444444444,0.45260282109850525,2,3,4,4,3,2
第１２節第２日,7,4,0.5714285714285714,0.43799984681895104,4,2,1,5,1,1
第１２節第３日,1,0,0.0,0.613445545353445,1,0,0,0,1,0
第１３節第１日,8,3,0.375,0.4371763214402933,3,0,5,1,1,6
第１４節第１日,8,6,0.75,0.4439129907620545,7,0,1,5,0,3
第１５節第１日,6,3,0.5,0.43982143237946697,5,0,1,2,1,3
第１５節第２日,2,2,1.0,0.4893138666550335,0,0,2,0,0,2
第１６節第１日,3,1,0.3333333333333333,0.4444353911765666,1,0,2,3,0,0
第１６節第２日,7,2,0.2857142857142857,0.4379733449844162,4,1,2,2,3,2
第１４節第２日,2,2,1.0,0.5446758685494774,1,0,1,1,0,1
第１７節第１日,8,5,0.625,0.46478433766702976,5,1,2,5,1,2
第１７節第２日,2,1,0.5,0.420966097632974,1,1,0,2,0,0
第１３節第２日,2,1,0.5,0.4803380705642703,1,0,1,0,1,1
第１８節第１日,2,1,0.5,0.3754027636410715,1,1,0,2,0,0
第１８節第２日,8,1,0.125,0.49932584915992584,1,1,6,4,3,1
第２２節第１日,1,0,0.0,0.5198052597823682,1,0,0,0,1,0
第１９節第１日,7,3,0.42857142857142855,0.40436612479082995,5,1,1,2,1,4
第１９節第２日,3,2,0.6666666666666666,0.4601824124629294,2,0,1,2,1,0
第２０節第２日,4,3,0.75,0.43922648521932744,1,1,2,0,2,2
第２０節第３日,5,3,0.6,0.437994535264212,1,3,1,2,1,2
第２１節第１日,7,4,0.5714285714285714,0.40015474815125984,3,3,1,3,2,2
第２１節第２日,2,2,1.0,0.5527552752504836,1,0,1,1,0,1
第１５節第３日,2,2,1.0,0.41676970548369396,1,0,1,1,0,1
第２２節第２日,7,3,0.42857142857142855,0.46326974510298136,4,0,3,2,2,3
第２２節第３日,2,1,0.5,0.5564658424741816,0,0,2,1,0,1
第５節第４日,1,0,0.0,0.38139585847773916,0,1,0,1,0,0
第２３節第１日,9,5,0.5555555555555556,0.43864388671525417,6,1,2,5,1,3
第２４節第１日,2,1,0.5,0.44374361049126704,1,0,1,1,1,0
第２４節第２日,7,7,1.0,0.4716761132227684,4,0,3,4,0,3
第２４節第３日,1,0,0.0,0.48654599243858326,0,0,1,0,1,0
第２１節第３日,1,1,1.0,0.6515007854891044,1,0,0,1,0,0
第２３節第２日,1,0,0.0,0.4934577037828505,1,0,0,0,1,0
第２５節第１日,3,2,0.6666666666666666,0.42541356422430604,2,0,1,1,0,2
第２５節第２日,6,3,0.5,0.46548979279492336,3,1,2,2,1,3
第２５節第３日,1,1,1.0,0.5300593429218474,1,0,0,1,0,0
第２６節第１日,9,3,0.3333333333333333,0.4690202759490145,6,1,2,4,3,2
第２６節第２日,1,0,0.0,0.5509363637289773,0,0,1,1,0,0
第３０節第１日,2,1,0.5,0.3906344167275246,1,1,0,1,0,1
第２７節第１日,1,1,1.0,0.5165531636537607,1,0,0,1,0,0
第２７節第２日,8,5,0.625,0.5067098481211452,3,0,5,2,3,3
第２７節第３日,1,1,1.0,0.5081768346384263,0,0,1,0,0,1
第２８節第１日,3,2,0.6666666666666666,0.4025047350214786,3,0,0,2,1,0
第２８節第２日,7,4,0.5714285714285714,0.4941636825670054,2,1,4,3,3,1
第２９節第１日,3,1,0.3333333333333333,0.4165561195402189,1,1,1,0,3,0
第２９節第２日,6,4,0.6666666666666666,0.4751572597174347,3,1,2,2,0,4
第２９節第３日,1,1,1.0,0.3928552883569085,1,0,0,1,0,0
第３０節第２日,8,2,0.25,0.4025041219240335,5,0,3,4,1,3
第３１節第１日,10,5,0.5,0.4545528974549192,6,2,2,4,5,1
第３２節第１日,6,4,0.6666666666666666,0.47479942841916883,2,0,4,3,1,2
第３２節第２日,4,2,0.5,0.40869560348929523,2,0,2,1,1,2
第３３節第１日,1,1,1.0,0.4121396307341944,0,0,1,0,0,1
第３３節第２日,8,4,0.5,0.4126882844092581,3,2,3,5,3,0
第３３節第３日,1,0,0.0,0.5743349314376412,1,0,0,0,1,0
第３４節第１日,2,1,0.5,0.38334640621009874,1,1,0,0,2,0
第３４節第２日,7,4,0.5714285714285714,0.3925665064528211,4,0,3,3,2,2
第３４節第３日,1,0,0.0,0.7409850933702316,0,0,1,0,1,0
第３５節第１日,8,3,0.375,0.4281837537253336,4,3,1,5,2,1
第３５節第２日,2,1,0.5,0.5935624425445195,1,0,1,1,1,0
第３６節第１日,5,3,0.6,0.4788435973436849,5,0,0,3,2,0
第３６節第２日,5,2,0.4,0.3870650471262456,3,2,0,1,1,3
第３７節第１日,10,6,0.6,0.4949610051651489,4,0,6,4,1,5
第３８節第１日,10,5,0.5,0.44959881361309817,7,2,1,7,1,2
