set,bin,bin_left,bin_right,count,avg_pred_draw,actual_draw_rate,gap
baseline,"[0.00,0.05)",0.0,0.05,0,,,
baseline,"[0.05,0.10)",0.05,0.1,30,0.08735665659545931,0.3333333333333333,0.245976676737874
baseline,"[0.10,0.15)",0.1,0.15000000000000002,340,0.12779636328872512,0.2823529411764706,0.15455657788774546
baseline,"[0.15,0.20)",0.15000000000000002,0.2,10,0.15716556448172503,0.2,0.04283443551827498
baseline,"[0.20,0.25)",0.2,0.25,0,,,
baseline,"[0.25,0.30)",0.25,0.30000000000000004,0,,,
baseline,"[0.30,0.35)",0.30000000000000004,0.35000000000000003,0,,,
baseline,"[0.35,0.40)",0.35000000000000003,0.4,0,,,
baseline,"[0.40,0.45)",0.4,0.45,0,,,
baseline,"[0.45,0.50]",0.45,0.5,0,,,
current,"[0.00,0.05)",0.0,0.05,0,,,
current,"[0.05,0.10)",0.05,0.1,0,,,
current,"[0.10,0.15)",0.1,0.15000000000000002,11,0.13952893002805358,0.2727272727272727,0.13319834269921912
current,"[0.15,0.20)",0.15000000000000002,0.2,319,0.18406068600243997,0.29780564263322884,0.11374495663078887
current,"[0.20,0.25)",0.2,0.25,50,0.20425735419745755,0.2,-0.004257354197457541
current,"[0.25,0.30)",0.25,0.30000000000000004,0,,,
current,"[0.30,0.35)",0.30000000000000004,0.35000000000000003,0,,,
current,"[0.35,0.40)",0.35000000000000003,0.4,0,,,
current,"[0.40,0.45)",0.4,0.45,0,,,
current,"[0.45,0.50]",0.45,0.5,0,,,
