match_id,home_team,away_team,match_type,lab_basis_hint,prob_home_win,prob_draw,prob_away_win,draw_gap,d_score_total,d_score_close,d_score_stall,lab_draw_support_score,lab_dispersion_score,match_intensity_score,focus_stability_score,home_total_fatigue_score,away_total_fatigue_score,rankmot_motivation_score_5w_home,rankmot_motivation_score_5w_away,match_type_rank_gap,elo_diff_for_prob
j2_2026_02081405_いわき_札幌,いわき,札幌,neutral,draw_compressed,0.3429949130539645,0.4012973331601505,0.2557077537858849,-0.045201651511933,0.600818031296623,0.8142692180369318,0.2806412511861599,0.5914255599522035,0.2408563117309727,0.247,0.8605555555555555,0.0,4.0,0.2,4.9,-1,34.1593
j2_2026_02141403_大宮_札幌,大宮,札幌,neutral,basis_balanced,0.3529662018291155,0.3942733369581436,0.2527604612127409,-0.0281830302606914,0.6250350265424458,0.8566230803762361,0.2776529457917602,0.5598822155869989,0.2493021935177614,0.211,0.8360555555555556,0.0,5.4,1.6,4.9,1,38.283
j2_2026_02151403_徳島_新潟,徳島,新潟,neutral,draw_compressed,0.3648754841599921,0.3967763012117993,0.2383482146282084,-0.0191663295853814,0.6318818499028394,0.8740524897210191,0.2686258901755697,0.5934267159134778,0.2540920628541495,0.111,0.8605555555555555,0.0,4.0,-2.0,1.7000000000000002,1,53.5315
j2_2026_02211403_湘南_八戸,湘南,八戸,neutral,basis_balanced,0.3271177165334117,0.3575116292286961,0.3153706542378922,-0.0539953600361927,0.5906489217968715,0.8023334922234688,0.2731220661569754,0.5568252090625595,0.2649397444795047,0.0648,0.8605555555555555,0.0,4.0,0.3,-2.9,-8,-5.5398
j2_2026_02221403_横浜FC_栃木Ｃ,横浜FC,栃木Ｃ,home_strong,basis_balanced,0.3480458854075902,0.3487371053843839,0.3032170092080259,-0.0176546078997268,0.6468435928946724,0.8942685667967819,0.2757061320415083,0.4634282352806192,0.4237574908292481,0.1538,0.8605555555555555,0.0,4.0,0.6000000000000001,2.6,-3,4.6626
j2_2026_03141403_湘南_山形,湘南,山形,home_strong,basis_balanced,0.3350924295620745,0.350199894744397,0.3147076756935284,-0.0305494185140238,0.6256926943126033,0.8625530261012454,0.2704021966296401,0.4997710619842717,0.3035702923049633,0.0648,0.8256277777777778,2.69,5.29,0.3,-0.8,-5,-4.1925
j2_2026_03211403_秋田_八戸,秋田,八戸,home_strong,draw_compressed,0.3513296474588268,0.3727540283695372,0.275916324171636,-0.0351651702800854,0.6149642210738121,0.8451553047172117,0.2696775956087126,0.5739977544510676,0.3586400092060653,0.0648,0.60638125,3.82,5.93,0.4,-2.9,-7,22.5185
j2_2026_03291404_いわき_磐田,いわき,磐田,home_strong,draw_compressed,0.3471444409133882,0.3743941064588847,0.2784614526277271,-0.042770829489724,0.6050917146198838,0.8264342390697031,0.2730779279451548,0.5623963103619204,0.1900669818419277,0.0939666666666666,0.8510027777777778,1.4,5.13,0.2,0.4,-6,18.4842
j2_2026_04041403_磐田_甲府,磐田,甲府,home_strong,draw_compressed,0.3822758851654599,0.379448320294045,0.238275794540495,-0.0124674143746413,0.6411317144576207,0.8907195298063937,0.2667499914344615,0.5901493637952152,0.1922287168180836,0.1064666666666666,0.6816638888888888,2.19,6.08,0.4,0.6000000000000001,7,55.5544
j2_2026_04121403_山形_横浜FC,山形,横浜FC,neutral,basis_balanced,0.3447733439543267,0.3594493561715046,0.2957772998741687,-0.0020456137842674,0.6661296563166409,0.932564958584982,0.266476702914129,0.4688031191371778,0.4285748231144878,0.0788,0.8110666666666666,2.69,5.13,-0.8,0.6000000000000001,2,24.4315
j2_2026_04181403_新潟_今治,新潟,今治,neutral,draw_compressed,0.2941870885517077,0.3960025447988116,0.3098103666494807,-0.0751200076210977,0.5584623363535903,0.7459110663899129,0.2772892412991065,0.5717239561757759,0.351896275580992,0.1648,0.7913909722222222,2.42,5.4,1.7000000000000002,0.6000000000000001,-4,-9.1643
j2_2026_04291403_富山_新潟,富山,新潟,neutral,draw_compressed,0.2892224057813741,0.3919486658219108,0.318828928396715,-0.0611036003676457,0.5812174609973643,0.7814671559428527,0.2808429185791317,0.5836205271120443,0.2029151416687084,0.2136666666666666,0.8032277777777779,3.33,5.93,0.7000000000000001,1.7000000000000002,-2,-16.0871
j2_2026_04291403_札幌_藤枝,札幌,藤枝,home_strong,basis_balanced,0.3428324474306513,0.3789039865188182,0.2782635660505305,-0.0501350595878586,0.594215356392887,0.8074670053320304,0.2743378829841719,0.5508079794860118,0.3940224648044709,0.161,0.6161145833333334,3.93,6.58,4.9,-1.6,-3,19.9386
j2_2026_04291403_横浜FC_八戸,横浜FC,八戸,home_strong,basis_balanced,0.3453364273798429,0.3536546887199712,0.3010088839001859,-0.0234499453255279,0.63660684844024,0.8793212968732124,0.2725351757907814,0.5336269986149783,0.2169116833443366,0.0704666666666666,0.7310555555555556,3.32,8.08,0.6000000000000001,-2.9,-5,4.6346
j2_2026_04291403_秋田_山形,秋田,山形,home_strong,basis_balanced,0.3029607250202302,0.3693385402289791,0.3277007347507906,-0.0555754241008725,0.5873340162923165,0.7975306241023503,0.2720391045772659,0.5467052136456029,0.2062038152124023,0.0648,0.7338951388888889,3.6,6.8,0.4,-0.8,-4,-11.2189
j2_2026_05061403_大宮_いわき,大宮,いわき,neutral,draw_compressed,0.2738950036582002,0.3954440239773041,0.3306609723644957,-0.0541743752956315,0.5859309945845297,0.7961100080042258,0.2706624744549857,0.587791558532362,0.2142828659252641,0.086,0.7106833333333333,3.1,7.48,1.6,0.2,2,-26.0151
j2_2026_05061403_新潟_徳島,新潟,徳島,neutral,draw_compressed,0.2592687917743568,0.391608312469769,0.3491228957558742,-0.031209464815424,0.6186942389223927,0.8508321874766842,0.2704873160909555,0.5814721240064117,0.2793478228760198,0.111,0.6823638888888889,2.83,5.4,1.7000000000000002,-2.0,-1,-40.312
j2_2026_05091403_札幌_大宮,札幌,大宮,neutral,basis_balanced,0.332759192551728,0.3551922049911388,0.3120486024571331,-0.0796024780658523,0.5528992696712391,0.7353135384923356,0.2792778664395944,0.5595861819700153,0.2958236571394435,0.211,0.7178909722222222,3.09,7.05,4.9,1.6,-1,1.1634
