match_id,節,datetime,home_team,away_team,actual_result,argmax_result,argmax_max_prob,prob_home_win,prob_draw,prob_away_win,elo_diff_before_hfa,hfa_added_to_diff,elo_diff_after_hfa,elo_diff_for_prob,home_advantage_diff,home_advantage_profile_diff
j2_2026_02221403_徳島_富山,第３節第２日,2026-02-22 14:03:00,徳島,富山,A,H,0.5491874114313818,0.5491874114313818,0.2987392379849027,0.1520733505837155,127.2302,28.6875,155.9177,130.4039,0.5238,0.5238
j2_2026_03011403_いわき_藤枝,第４節第２日,2026-03-01 14:03:00,いわき,藤枝,A,H,0.5154090105086077,0.5154090105086077,0.3100493985209127,0.1745415909704796,102.6466,28.6875,131.3341,109.8431,0.5217,0.5217
j2_2026_04051403_鳥栖_大分,第９節第２日,2026-04-05 14:03:00,鳥栖,大分,A,H,0.4889043177194464,0.4889043177194464,0.3177897767970852,0.1933059054834684,83.7141,28.6875,112.4016,94.0086,0.7929,0.7929
j2_2026_03141403_大宮_藤枝,第６節第１日,2026-03-14 14:03:00,大宮,藤枝,A,H,0.4875973073891166,0.4875973073891166,0.3181450341306686,0.1942576584802148,82.7911,28.6875,111.4786,93.2367,0.6667,0.6667
j2_2026_03141403_磐田_札幌,第６節第１日,2026-03-14 14:03:00,磐田,札幌,A,H,0.4588861420371645,0.4588861420371645,0.3253057648433728,0.2158080931194625,62.5144,28.6875,91.2019,76.2779,0.5099,0.5099
j2_2026_03201403_新潟_富山,第７節第１日,2026-03-20 14:03:00,新潟,富山,A,H,0.4378326956955524,0.4378326956955524,0.3297539733023123,0.2324133310021352,47.7332,28.6875,76.4207,63.9155,-1.1429,-1.1429
j2_2026_03081403_山形_秋田,第５節第２日,2026-03-08 14:03:00,山形,秋田,A,H,0.4238155292982206,0.4238155292982206,0.3323252992849616,0.2438591714168177,37.8949,28.6875,66.5824,55.6871,-0.2055,-0.2055
j2_2026_03151303_八戸_栃木Ｃ,第６節第２日,2026-03-15 13:03:00,八戸,栃木Ｃ,A,H,0.4124222577487164,0.4124222577487164,0.3341787888846171,0.2533989533666665,29.8784,28.6875,58.5659,48.9824,-1.6667,-1.6667
j2_2026_02071404_湘南_秋田,第１節第１日,2026-02-07 14:04:00,湘南,秋田,A,H,0.4107355290520902,0.4107355290520902,0.3344348441482861,0.2548296267996238,28.6841,28.6875,57.3716,47.9835,0.5217,0.5217
j2_2026_03291403_山形_栃木Ｃ,第８節第２日,2026-03-29 14:03:00,山形,栃木Ｃ,A,H,0.4092253612433951,0.4092253612433951,0.3346600416674183,0.2561145970891866,27.6257,28.6875,56.3132,47.0983,-0.7273,-0.7273
j2_2026_03011403_今治_新潟,第４節第２日,2026-03-01 14:03:00,今治,新潟,A,H,0.3901040318759519,0.3901040318759519,0.3371747806947722,0.2727211874292758,14.1001,28.6875,42.7876,35.786,-0.3571,-0.3571
j2_2026_02151403_栃木Ｃ_秋田,第２節第２日,2026-02-15 14:03:00,栃木Ｃ,秋田,A,H,0.3829278701328711,0.3829278701328711,0.3379541672132373,0.2791179626538915,8.9996,28.6875,37.6871,31.5201,-1.4783,-1.4783
j2_2026_03211403_磐田_大宮,第７節第１日,2026-03-21 14:03:00,磐田,大宮,A,H,0.3761030753744361,0.3761030753744361,0.3386100102275456,0.2852869143980182,4.1323,28.6875,32.8198,27.4493,0.1364,0.1364
j2_2026_04051303_八戸_山形,第９節第２日,2026-04-05 13:03:00,八戸,山形,A,H,0.3453819926101937,0.3453819926101937,0.3404921549647754,0.3141258524250308,-18.0164,28.6875,10.6711,8.9249,-1.0758,-1.0758
j2_2026_02071403_横浜FC_山形,第１節第１日,2026-02-07 14:03:00,横浜FC,山形,A,H,0.3414802795529412,0.3414802795529412,0.3406011894725028,0.3179185309745561,-20.8942,28.6875,7.7933,6.5181,-0.8091,-0.8091
