match_type,lab_basis_hint,signal_balance,prob_side_bias,xg_sign,rank_sign,recommended_action,actual_result,matches
away_strong,basis_balanced,0-2,home,away_better,away_better,hold,A,2
away_strong,basis_balanced,0-2,away,away_better,away_better,consider_away_restore,A,1
signal_conflict,draw_compressed,1-1,home,away_better,home_better,hold,H,1
signal_conflict,draw_compressed,1-1,home,away_better,home_better,hold,A,1
signal_conflict,draw_compressed,1-1,away,home_better,away_better,hold,H,1
signal_conflict,draw_compressed,1-1,away,home_better,away_better,hold,A,1
signal_conflict,draw_compressed,1-1,away,away_better,home_better,keep_draw_candidate,D,1
signal_conflict,basis_balanced,1-1,home,home_better,away_better,hold,A,1
neutral,flat_draw_trap,0-1,home,flat,away_better,hold,A,1
neutral,draw_compressed,0-1,away,flat,home_better,hold,H,1
neutral,draw_compressed,0-1,away,away_better,away_better,consider_away_restore,A,1
neutral,basis_balanced,1-0,home,home_better,home_better,hold,A,1
neutral,basis_balanced,1-0,home,home_better,home_better,consider_home_restore,H,1
neutral,basis_balanced,1-0,home,flat,away_better,hold,A,1
neutral,basis_balanced,1-0,away,home_better,home_better,keep_draw_candidate,D,1
neutral,basis_balanced,0-1,home,away_better,away_better,hold,A,1
neutral,basis_balanced,0-1,away,away_better,away_better,keep_draw_candidate,D,1
home_strong,draw_compressed,2-1,home,away_better,home_better,hold,A,1
close_match,basis_balanced,1-0,away,home_better,home_better,hold,H,1
away_strong,draw_compressed,1-2,away,home_better,away_better,hold,A,1
away_strong,draw_compressed,0-2,away,away_better,home_better,hold,H,1
away_strong,draw_compressed,0-2,away,away_better,away_better,keep_draw_candidate,D,1
away_strong,draw_compressed,0-2,away,away_better,away_better,hold,H,1
away_strong,basis_balanced,0-3,away,away_better,away_better,hold,H,1
away_strong,basis_balanced,0-2,home,away_better,away_better,keep_draw_candidate,D,1
signal_conflict,draw_compressed,1-1,home,home_better,away_better,hold,H,1
