match_type,lab_basis_hint,actual_result,matches,hits,hit_rate
neutral,draw_compressed,A,6,0,0.0
away_strong,basis_balanced,A,4,0,0.0
away_strong,draw_compressed,A,4,0,0.0
signal_conflict,basis_balanced,A,3,0,0.0
neutral,basis_balanced,A,2,0,0.0
away_strong,basis_balanced,D,2,2,1.0
away_strong,draw_compressed,D,2,2,1.0
home_strong,basis_balanced,D,2,2,1.0
neutral,basis_balanced,D,2,2,1.0
away_strong,draw_compressed,H,1,0,0.0
away_strong,flat_draw_trap,A,1,0,0.0
home_strong,basis_balanced,A,1,0,0.0
home_strong,draw_compressed,A,1,0,0.0
home_strong,flat_draw_trap,A,1,0,0.0
neutral,flat_draw_trap,A,1,0,0.0
neutral,side_strong,A,1,0,0.0
neutral,split_side,A,1,0,0.0
signal_conflict,draw_compressed,A,1,0,0.0
close_match,flat_draw_trap,D,1,1,1.0
home_strong,draw_compressed,D,1,1,1.0
neutral,draw_compressed,D,1,1,1.0
signal_conflict,draw_compressed,D,1,1,1.0
