match_id,home_team,away_team,match_type,lab_basis_hint,final_result,actual_result,decision_reason,hit
j2_2026_02071403_横浜FC_山形,横浜FC,山形,neutral,side_strong,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_02071404_湘南_秋田,湘南,秋田,neutral,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_02141403_横浜FC_仙台,横浜FC,仙台,away_strong,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_02151403_栃木Ｃ_秋田,栃木Ｃ,秋田,away_strong,basis_balanced,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_02211403_藤枝_甲府,藤枝,甲府,signal_conflict,draw_compressed,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_02281403_栃木Ｃ_湘南,栃木Ｃ,湘南,away_strong,basis_balanced,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_03011403_今治_新潟,今治,新潟,neutral,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_03071403_いわき_大宮,いわき,大宮,neutral,draw_compressed,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_03071403_仙台_湘南,仙台,湘南,home_strong,draw_compressed,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_03081303_八戸_横浜FC,八戸,横浜FC,away_strong,basis_balanced,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_03081403_山形_秋田,山形,秋田,away_strong,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_03141403_甲府_いわき,甲府,いわき,away_strong,flat_draw_trap,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_03151303_八戸_栃木Ｃ,八戸,栃木Ｃ,neutral,basis_balanced,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_03201403_新潟_富山,新潟,富山,neutral,flat_draw_trap,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_03211403_磐田_大宮,磐田,大宮,away_strong,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_03281403_横浜FC_湘南,横浜FC,湘南,signal_conflict,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_03281403_藤枝_札幌,藤枝,札幌,away_strong,draw_compressed,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_03291403_富山_今治,富山,今治,home_strong,basis_balanced,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_03291403_山形_栃木Ｃ,山形,栃木Ｃ,neutral,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_03291403_秋田_仙台,秋田,仙台,neutral,basis_balanced,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_04041403_横浜FC_秋田,横浜FC,秋田,neutral,basis_balanced,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_04051303_八戸_山形,八戸,山形,signal_conflict,basis_balanced,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_04121403_栃木Ｃ_八戸,栃木Ｃ,八戸,neutral,split_side,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_04121404_秋田_湘南,秋田,湘南,neutral,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_04181403_大宮_磐田,大宮,磐田,home_strong,basis_balanced,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_04181404_甲府_藤枝,甲府,藤枝,signal_conflict,basis_balanced,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_04191403_秋田_横浜FC,秋田,横浜FC,signal_conflict,basis_balanced,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_04251403_今治_富山,今治,富山,away_strong,basis_balanced,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_04251403_藤枝_大宮,藤枝,大宮,neutral,basis_balanced,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_04261303_八戸_秋田,八戸,秋田,away_strong,draw_compressed,D,H,NARROW_DRAW_OVERRIDE,False
j2_2026_05021403_磐田_いわき,磐田,いわき,away_strong,draw_compressed,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_05021403_鳥栖_宮崎,鳥栖,宮崎,close_match,flat_draw_trap,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_05061403_栃木Ｃ_横浜FC,栃木Ｃ,横浜FC,away_strong,basis_balanced,D,D,NARROW_DRAW_OVERRIDE,True
j2_2026_05061403_甲府_磐田,甲府,磐田,away_strong,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_05091403_いわき_甲府,いわき,甲府,home_strong,flat_draw_trap,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_05101403_大分_鳥栖,大分,鳥栖,away_strong,basis_balanced,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_05101403_湘南_横浜FC,湘南,横浜FC,home_strong,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_05161403_湘南_仙台,湘南,仙台,neutral,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_05161433_磐田_藤枝,磐田,藤枝,neutral,draw_compressed,D,A,NARROW_DRAW_OVERRIDE,False
j2_2026_05171403_富山_徳島,富山,徳島,home_strong,basis_balanced,D,D,NARROW_DRAW_OVERRIDE,True
