decision_reason,before_merge,after_home_draw_merge,after_home_balanced_merge
BASE_FUSION,17,17,17
J2_AWAY_STRONG_AWAY_RESTORE,2,2,2
J2_AWAY_STRONG_DRAW_HOME_RESTORE,1,1,1
J2_AWAY_STRONG_FLAT_HOME_RESTORE,2,2,2
J2_CLOSE_DRAW_HOME_RESTORE,1,1,1
J2_CLOSE_FLAT_HOME_RESTORE,1,1,1
J2_HOME_BALANCED_RESTORE,0,0,5
J2_HOME_DRAW_RESTORE,0,3,3
J2_HOME_RESTORE_OVERRIDE,3,3,0
J2_HOME_STRONG_BALANCED_RESTORE,1,1,0
J2_HOME_STRONG_DEEP_HOME_RESTORE,1,0,0
J2_HOME_STRONG_DRAW_COMPRESSED_RESTORE,1,0,0
J2_HOME_STRONG_ELITE_HOME_RESTORE,1,0,0
J2_HOME_STRONG_FLAT_HOME_RESTORE,1,1,1
J2_HOME_STRONG_TIGHT_BALANCED_RESTORE,1,1,0
J2_NEUTRAL_BALANCED_PRESS_HOME_RESTORE,1,1,1
J2_NEUTRAL_DEEP_DRAW_HOME_RESTORE,1,1,1
J2_NEUTRAL_HOME_RESTORE,4,4,4
J2_NEUTRAL_NEG_ELO_HOME_RESTORE,1,1,1
J2_NEUTRAL_POS_ELO_HOME_RESTORE,1,1,1
J2_NEUTRAL_POS_PRESS_HOME_RESTORE,1,1,1
J2_NEUTRAL_TIGHT_BALANCED_RESTORE,1,1,1
J2_SIGNAL_CONFLICT_HOME_RESTORE,1,1,1
NARROW_DRAW_OVERRIDE,40,40,40
