j2_restore_reason_group,decision_reason_values
away_draw,J2_AWAY_STRONG_DRAW_HOME_RESTORE
away_flat,J2_AWAY_STRONG_FLAT_HOME_RESTORE
away_strong,J2_AWAY_STRONG_AWAY_RESTORE
close_draw,J2_CLOSE_DRAW_HOME_RESTORE
close_flat,J2_CLOSE_FLAT_HOME_RESTORE
home_balanced,J2_HOME_BALANCED_RESTORE
home_draw,J2_HOME_DRAW_RESTORE
home_flat,J2_HOME_STRONG_FLAT_HOME_RESTORE
neutral_balanced,"J2_NEUTRAL_BALANCED_PRESS_HOME_RESTORE, J2_NEUTRAL_TIGHT_BALANCED_RESTORE"
neutral_base,J2_NEUTRAL_HOME_RESTORE
neutral_draw,"J2_NEUTRAL_DEEP_DRAW_HOME_RESTORE, J2_NEUTRAL_NEG_ELO_HOME_RESTORE, J2_NEUTRAL_POS_ELO_HOME_RESTORE, J2_NEUTRAL_POS_PRESS_HOME_RESTORE"
signal_split,J2_SIGNAL_CONFLICT_HOME_RESTORE
