j2_restore_reason_group,decision_reason,matches,hits,hit_rate,predicted_H,actual_H,actual_D,actual_A
away_draw,J2_AWAY_STRONG_DRAW_HOME_RESTORE,1,1,1.0,1,1,0,0
away_flat,J2_AWAY_STRONG_FLAT_HOME_RESTORE,2,2,1.0,2,2,0,0
away_strong,J2_AWAY_STRONG_AWAY_RESTORE,2,2,1.0,0,0,0,2
close_draw,J2_CLOSE_DRAW_HOME_RESTORE,1,1,1.0,1,1,0,0
close_flat,J2_CLOSE_FLAT_HOME_RESTORE,1,1,1.0,1,1,0,0
home_balanced,J2_HOME_RESTORE_OVERRIDE,3,3,1.0,3,3,0,0
home_balanced,J2_HOME_STRONG_BALANCED_RESTORE,1,1,1.0,1,1,0,0
home_balanced,J2_HOME_STRONG_TIGHT_BALANCED_RESTORE,1,1,1.0,1,1,0,0
home_draw,J2_HOME_STRONG_DEEP_HOME_RESTORE,1,1,1.0,1,1,0,0
home_draw,J2_HOME_STRONG_DRAW_COMPRESSED_RESTORE,1,1,1.0,1,1,0,0
home_draw,J2_HOME_STRONG_ELITE_HOME_RESTORE,1,1,1.0,1,1,0,0
home_flat,J2_HOME_STRONG_FLAT_HOME_RESTORE,1,1,1.0,1,1,0,0
neutral_balanced,J2_NEUTRAL_BALANCED_PRESS_HOME_RESTORE,1,1,1.0,1,1,0,0
neutral_balanced,J2_NEUTRAL_TIGHT_BALANCED_RESTORE,1,1,1.0,1,1,0,0
neutral_base,J2_NEUTRAL_HOME_RESTORE,4,4,1.0,4,4,0,0
neutral_draw,J2_NEUTRAL_DEEP_DRAW_HOME_RESTORE,1,1,1.0,1,1,0,0
neutral_draw,J2_NEUTRAL_NEG_ELO_HOME_RESTORE,1,1,1.0,1,1,0,0
neutral_draw,J2_NEUTRAL_POS_ELO_HOME_RESTORE,1,1,1.0,1,1,0,0
neutral_draw,J2_NEUTRAL_POS_PRESS_HOME_RESTORE,1,1,1.0,1,1,0,0
signal_split,J2_SIGNAL_CONFLICT_HOME_RESTORE,1,1,1.0,1,1,0,0
