match_id,home_team,away_team,final_result,actual_result,decision_reason,j2_restore_reason_group,j2_restore_cluster,hit
j2_2026_02081405_いわき_札幌,いわき,札幌,H,H,J2_NEUTRAL_POS_PRESS_HOME_RESTORE,neutral_draw,neutral_draw,True
j2_2026_02141403_大宮_札幌,大宮,札幌,H,H,J2_NEUTRAL_BALANCED_PRESS_HOME_RESTORE,neutral_balanced,neutral_balanced,True
j2_2026_02151403_徳島_新潟,徳島,新潟,H,H,J2_NEUTRAL_POS_ELO_HOME_RESTORE,neutral_draw,neutral_draw,True
j2_2026_02211403_宮崎_鳥栖,宮崎,鳥栖,H,H,J2_CLOSE_FLAT_HOME_RESTORE,close_flat,close_flat,True
j2_2026_02211403_湘南_八戸,湘南,八戸,H,H,J2_NEUTRAL_HOME_RESTORE,neutral_base,neutral_base,True
j2_2026_02221403_徳島_富山,徳島,富山,A,A,J2_AWAY_STRONG_AWAY_RESTORE,away_strong,away_strong,True
j2_2026_02221403_横浜FC_栃木Ｃ,横浜FC,栃木Ｃ,H,H,J2_HOME_STRONG_TIGHT_BALANCED_RESTORE,home_balanced,home_balanced,True
j2_2026_03141403_湘南_山形,湘南,山形,H,H,J2_HOME_RESTORE_OVERRIDE,home_balanced,home_balanced,True
j2_2026_03141403_磐田_札幌,磐田,札幌,A,A,J2_AWAY_STRONG_AWAY_RESTORE,away_strong,away_strong,True
j2_2026_03211403_札幌_甲府,札幌,甲府,H,H,J2_HOME_STRONG_FLAT_HOME_RESTORE,home_flat,home_flat,True
j2_2026_03211403_秋田_八戸,秋田,八戸,H,H,J2_HOME_STRONG_DRAW_COMPRESSED_RESTORE,home_draw,home_draw,True
j2_2026_03221403_今治_徳島,今治,徳島,H,H,J2_AWAY_STRONG_FLAT_HOME_RESTORE,away_flat,away_flat,True
j2_2026_03291404_いわき_磐田,いわき,磐田,H,H,J2_HOME_STRONG_DEEP_HOME_RESTORE,home_draw,home_draw,True
j2_2026_04041403_磐田_甲府,磐田,甲府,H,H,J2_HOME_STRONG_ELITE_HOME_RESTORE,home_draw,home_draw,True
j2_2026_04111404_甲府_札幌,甲府,札幌,H,H,J2_AWAY_STRONG_FLAT_HOME_RESTORE,away_flat,away_flat,True
j2_2026_04121403_山形_横浜FC,山形,横浜FC,H,H,J2_NEUTRAL_TIGHT_BALANCED_RESTORE,neutral_balanced,neutral_balanced,True
j2_2026_04181403_新潟_今治,新潟,今治,H,H,J2_NEUTRAL_HOME_RESTORE,neutral_base,neutral_base,True
j2_2026_04191403_山形_八戸,山形,八戸,H,H,J2_SIGNAL_CONFLICT_HOME_RESTORE,signal_split,signal_split,True
j2_2026_04251403_札幌_いわき,札幌,いわき,H,H,J2_AWAY_STRONG_DRAW_HOME_RESTORE,away_draw,away_draw,True
j2_2026_04291403_富山_新潟,富山,新潟,H,H,J2_NEUTRAL_DEEP_DRAW_HOME_RESTORE,neutral_draw,neutral_draw,True
j2_2026_04291403_札幌_藤枝,札幌,藤枝,H,H,J2_HOME_RESTORE_OVERRIDE,home_balanced,home_balanced,True
j2_2026_04291403_横浜FC_八戸,横浜FC,八戸,H,H,J2_HOME_RESTORE_OVERRIDE,home_balanced,home_balanced,True
j2_2026_04291403_秋田_山形,秋田,山形,H,H,J2_HOME_STRONG_BALANCED_RESTORE,home_balanced,home_balanced,True
j2_2026_05061403_大宮_いわき,大宮,いわき,H,H,J2_NEUTRAL_NEG_ELO_HOME_RESTORE,neutral_draw,neutral_draw,True
j2_2026_05061403_新潟_徳島,新潟,徳島,H,H,J2_NEUTRAL_HOME_RESTORE,neutral_base,neutral_base,True
j2_2026_05091403_札幌_大宮,札幌,大宮,H,H,J2_NEUTRAL_HOME_RESTORE,neutral_base,neutral_base,True
j2_2026_05161403_栃木Ｃ_山形,栃木Ｃ,山形,H,H,J2_CLOSE_DRAW_HOME_RESTORE,close_draw,close_draw,True
