league,節,match_id,home_team,away_team,match_type,match_type_primary,match_type_flags,actual_result,predicted_result_main,predicted_result_type_b,predicted_result_type_c,type_adjust_note_b,type_adjust_note_c,main_hit,type_b_hit,type_c_hit,main_vs_type_b_changed,main_vs_type_c_changed,type_b_improved_vs_main,type_b_worsened_vs_main,type_c_improved_vs_main,type_c_worsened_vs_main
j1,第１節第１日,j1_2026_02061903_京都_神戸,京都,神戸,away_strong,away_strong,"draw_risk,away_strong,away_title_race,home_relegation_risk,away_adverse",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第１節第１日,j1_2026_02061903_横浜FM_町田,横浜FM,町田,neutral,draw_risk,"draw_risk,away_title_race,home_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第１節第１日,j1_2026_02061906_長崎_広島,長崎,広島,away_strong,away_strong,"away_strong,home_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第１節第２日,j1_2026_02071304_千葉_浦和,千葉,浦和,away_strong,away_strong,"draw_risk,away_strong,home_relegation_risk",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第１節第２日,j1_2026_02071335_FC東京_鹿島,FC東京,鹿島,signal_conflict,signal_conflict,"signal_conflict,home_title_race,away_title_race,away_adverse",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第１節第２日,j1_2026_02071603_Ｃ大阪_Ｇ大阪,Ｃ大阪,Ｇ大阪,neutral,draw_risk,"draw_risk,away_title_race",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第１節第３日,j1_2026_02081308_福岡_岡山,福岡,岡山,neutral,draw_risk,"draw_risk,home_relegation_risk,away_relegation_risk,away_adverse",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第１節第３日,j1_2026_02081403_名古屋_清水,名古屋,清水,home_strong,home_strong,"draw_risk,home_strong,home_title_race",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第１節第３日,j1_2026_02081503_川崎Ｆ_柏,川崎Ｆ,柏,away_strong,away_strong,"away_strong,away_relegation_risk",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第１節第３日,j1_2026_02081603_東京Ｖ_水戸,東京Ｖ,水戸,signal_conflict,signal_conflict,"draw_risk,signal_conflict,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第２節第１日,j1_2026_02131903_神戸_長崎,神戸,長崎,home_strong,home_strong,"draw_risk,home_strong,home_title_race,away_relegation_risk",H,H,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第２節第２日,j1_2026_02141403_広島_岡山,広島,岡山,home_strong,home_strong,"home_strong,away_relegation_risk",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第２節第２日,j1_2026_02141403_清水_京都,清水,京都,signal_conflict,signal_conflict,"signal_conflict,away_relegation_risk",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第２節第１日,j1_2026_02141403_町田_水戸,町田,水戸,home_strong,home_strong,"draw_risk,home_strong,home_title_race,away_relegation_risk",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第２節第１日,j1_2026_02141503_FC東京_浦和,FC東京,浦和,home_strong,home_strong,"draw_risk,home_strong,home_title_race",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第２節第１日,j1_2026_02141503_鹿島_横浜FM,鹿島,横浜FM,home_strong,home_strong,"home_strong,home_title_race,away_relegation_risk",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第２節第２日,j1_2026_02151303_千葉_川崎Ｆ,千葉,川崎Ｆ,signal_conflict,signal_conflict,"draw_risk,signal_conflict,home_relegation_risk",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第２節第２日,j1_2026_02151403_柏_東京Ｖ,柏,東京Ｖ,home_strong,home_strong,"home_strong,home_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第２節第３日,j1_2026_02151503_福岡_Ｃ大阪,福岡,Ｃ大阪,away_strong,away_strong,"draw_risk,away_strong,home_relegation_risk",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第２節第３日,j1_2026_02151603_Ｇ大阪_名古屋,Ｇ大阪,名古屋,neutral,draw_risk,"draw_risk,home_title_race,away_title_race",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第３節第１日,j1_2026_02211403_東京Ｖ_町田,東京Ｖ,町田,away_strong,away_strong,"draw_risk,away_strong,away_title_race,away_adverse",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第３節第１日,j1_2026_02211403_横浜FM_浦和,横浜FM,浦和,away_strong,away_strong,"away_strong,home_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第３節第１日,j1_2026_02211433_清水_神戸,清水,神戸,away_strong,away_strong,"away_strong,away_title_race",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第３節第１日,j1_2026_02211503_名古屋_長崎,名古屋,長崎,home_strong,home_strong,"draw_risk,home_strong,home_title_race,away_relegation_risk",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第３節第１日,j1_2026_02211503_川崎Ｆ_FC東京,川崎Ｆ,FC東京,away_strong,away_strong,"draw_risk,away_strong,away_title_race",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第３節第１日,j1_2026_02211603_鹿島_柏,鹿島,柏,home_strong,home_strong,"draw_risk,home_strong,home_title_race,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第３節第２日,j1_2026_02221403_京都_福岡,京都,福岡,home_strong,home_strong,"draw_risk,home_strong,home_relegation_risk,away_relegation_risk",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第３節第２日,j1_2026_02221403_岡山_Ｇ大阪,岡山,Ｇ大阪,away_strong,away_strong,"away_strong,away_title_race,home_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第３節第２日,j1_2026_02221403_水戸_千葉,水戸,千葉,neutral,draw_risk,"draw_risk,home_relegation_risk,away_relegation_risk",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第３節第２日,j1_2026_02221503_Ｃ大阪_広島,Ｃ大阪,広島,away_strong,away_strong,away_strong,A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第４節第１日,j1_2026_02271903_広島_京都,広島,京都,neutral,draw_risk,"draw_risk,away_relegation_risk",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第４節第１日,j1_2026_02271903_町田_千葉,町田,千葉,signal_conflict,signal_conflict,"draw_risk,signal_conflict,home_title_race,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第４節第１日,j1_2026_02271903_神戸_福岡,神戸,福岡,home_strong,home_strong,"draw_risk,home_strong,home_title_race,away_relegation_risk",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第４節第２日,j1_2026_02281303_横浜FM_東京Ｖ,横浜FM,東京Ｖ,signal_conflict,signal_conflict,"draw_risk,signal_conflict,home_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第４節第２日,j1_2026_02281403_浦和_鹿島,浦和,鹿島,away_strong,away_strong,"away_strong,away_title_race",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第４節第２日,j1_2026_02281503_FC東京_柏,FC東京,柏,home_strong,home_strong,"draw_risk,home_strong,home_title_race,away_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第４節第２日,j1_2026_02281503_Ｇ大阪_清水,Ｇ大阪,清水,home_strong,home_strong,"draw_risk,home_strong,home_title_race",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第４節第２日,j1_2026_02281703_長崎_Ｃ大阪,長崎,Ｃ大阪,neutral,draw_risk,"draw_risk,home_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第４節第３日,j1_2026_03011403_岡山_名古屋,岡山,名古屋,away_strong,away_strong,"draw_risk,away_strong,away_title_race,home_relegation_risk",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第４節第３日,j1_2026_03011603_川崎Ｆ_水戸,川崎Ｆ,水戸,close_match,draw_risk,"draw_risk,close_match,away_relegation_risk,away_adverse",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第５節第１日,j1_2026_03071303_千葉_柏,千葉,柏,away_strong,away_strong,"away_strong,lab_away_matchup,lab_style_conflict,home_relegation_risk,away_relegation_risk",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第５節第１日,j1_2026_03071403_FC東京_横浜FM,FC東京,横浜FM,home_strong,home_strong,"draw_risk,home_strong,lab_away_matchup,home_title_race,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第５節第１日,j1_2026_03071503_浦和_水戸,浦和,水戸,neutral,draw_risk,"draw_risk,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第５節第１日,j1_2026_03071503_Ｃ大阪_清水,Ｃ大阪,清水,close_match,lab_low_event,"draw_risk,close_match,lab_low_event",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第５節第１日,j1_2026_03071603_福岡_名古屋,福岡,名古屋,away_strong,away_strong,"draw_risk,away_strong,away_title_race,home_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第５節第１日,j1_2026_03071603_鹿島_東京Ｖ,鹿島,東京Ｖ,home_strong,home_strong,"home_strong,lab_away_matchup,home_title_race",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第５節第２日,j1_2026_03081300_岡山_京都,岡山,京都,signal_conflict,signal_conflict,"signal_conflict,home_relegation_risk,away_relegation_risk",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第５節第２日,j1_2026_03081503_Ｇ大阪_長崎,Ｇ大阪,長崎,home_strong,home_strong,"draw_risk,home_strong,home_title_race,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第６節第１日,j1_2026_03141303_横浜FM_千葉,横浜FM,千葉,neutral,draw_risk,"draw_risk,home_relegation_risk,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第６節第１日,j1_2026_03141403_京都_Ｃ大阪,京都,Ｃ大阪,neutral,draw_risk,"draw_risk,home_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第６節第１日,j1_2026_03141403_名古屋_神戸,名古屋,神戸,away_strong,away_strong,"draw_risk,away_strong,home_title_race,away_title_race",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第６節第１日,j1_2026_03141403_柏_町田,柏,町田,signal_conflict,signal_conflict,"draw_risk,signal_conflict,away_title_race,home_relegation_risk",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第６節第１日,j1_2026_03141403_水戸_FC東京,水戸,FC東京,away_strong,away_strong,"away_strong,away_title_race,home_relegation_risk",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第６節第１日,j1_2026_03141403_清水_岡山,清水,岡山,signal_conflict,signal_conflict,"draw_risk,signal_conflict,away_relegation_risk",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第６節第１日,j1_2026_03141501_広島_Ｇ大阪,広島,Ｇ大阪,signal_conflict,signal_conflict,"draw_risk,signal_conflict,away_title_race,away_adverse",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第６節第１日,j1_2026_03141503_鹿島_川崎Ｆ,鹿島,川崎Ｆ,home_strong,home_strong,"home_strong,home_title_race",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第６節第１日,j1_2026_03141603_東京Ｖ_浦和,東京Ｖ,浦和,away_strong,away_strong,away_strong,H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第６節第２日,j1_2026_03151404_長崎_福岡,長崎,福岡,neutral,draw_risk,"draw_risk,home_relegation_risk,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第７節第１日,j1_2026_03181833_Ｃ大阪_岡山,Ｃ大阪,岡山,signal_conflict,signal_conflict,"draw_risk,signal_conflict,away_relegation_risk",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第７節第１日,j1_2026_03181903_千葉_FC東京,千葉,FC東京,away_strong,away_strong,"away_strong,away_title_race,home_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第７節第１日,j1_2026_03181903_名古屋_広島,名古屋,広島,away_strong,away_strong,"away_strong,home_title_race",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第７節第１日,j1_2026_03181903_東京Ｖ_川崎Ｆ,東京Ｖ,川崎Ｆ,neutral,draw_risk,draw_risk,A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第７節第１日,j1_2026_03181903_水戸_横浜FM,水戸,横浜FM,neutral,draw_risk,"draw_risk,home_relegation_risk,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第７節第１日,j1_2026_03181903_神戸_Ｇ大阪,神戸,Ｇ大阪,neutral,draw_risk,"draw_risk,home_title_race,away_title_race,away_adverse",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第７節第１日,j1_2026_03181903_福岡_清水,福岡,清水,away_strong,away_strong,"draw_risk,away_strong,home_relegation_risk",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第７節第１日,j1_2026_03181903_長崎_京都,長崎,京都,neutral,draw_risk,"draw_risk,home_relegation_risk,away_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第７節第１日,j1_2026_03181933_浦和_柏,浦和,柏,neutral,draw_risk,"draw_risk,away_relegation_risk",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第７節第１日,j1_2026_03181933_町田_鹿島,町田,鹿島,away_strong,away_strong,"away_strong,home_title_race,away_title_race",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第８節第１日,j1_2026_03211403_岡山_長崎,岡山,長崎,neutral,draw_risk,"draw_risk,home_relegation_risk,away_relegation_risk",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第８節第１日,j1_2026_03211435_福岡_Ｇ大阪,福岡,Ｇ大阪,away_strong,away_strong,"away_strong,lab_style_conflict,away_title_race,home_relegation_risk",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第８節第２日,j1_2026_03221304_清水_広島,清水,広島,away_strong,away_strong,"away_strong,lab_away_matchup,lab_style_conflict",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第８節第２日,j1_2026_03221403_京都_名古屋,京都,名古屋,away_strong,away_strong,"away_strong,lab_style_conflict,away_title_race,home_relegation_risk",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第８節第１日,j1_2026_03221403_東京Ｖ_FC東京,東京Ｖ,FC東京,away_strong,away_strong,"away_strong,lab_home_matchup,lab_style_conflict,away_title_race",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第８節第１日,j1_2026_03221503_川崎Ｆ_横浜FM,川崎Ｆ,横浜FM,signal_conflict,signal_conflict,"draw_risk,signal_conflict,away_relegation_risk",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第８節第１日,j1_2026_03221503_鹿島_千葉,鹿島,千葉,home_strong,home_strong,"home_strong,lab_style_conflict,home_title_race,away_relegation_risk",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第８節第２日,j1_2026_03221503_Ｃ大阪_神戸,Ｃ大阪,神戸,away_strong,away_strong,"away_strong,lab_style_conflict,away_title_race",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第８節第１日,j1_2026_03221603_柏_水戸,柏,水戸,home_strong,home_strong,"draw_risk,home_strong,home_relegation_risk,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第８節第１日,j1_2026_03221603_浦和_町田,浦和,町田,signal_conflict,signal_conflict,"draw_risk,signal_conflict,lab_away_matchup,away_title_race",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第５節第３日,j1_2026_03271903_神戸_広島,神戸,広島,signal_conflict,signal_conflict,"draw_risk,signal_conflict,home_title_race",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第５節第２日,j1_2026_03281403_町田_川崎Ｆ,町田,川崎Ｆ,neutral,draw_risk,"draw_risk,home_title_race",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第１１節第１日,j1_2026_04011903_町田_FC東京,町田,FC東京,neutral,draw_risk,"draw_risk,home_title_race,away_title_race",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第１１節第１日,j1_2026_04011903_神戸_清水,神戸,清水,home_strong,home_strong,"draw_risk,home_strong,home_title_race",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第９節第１日,j1_2026_04041303_千葉_東京Ｖ,千葉,東京Ｖ,signal_conflict,signal_conflict,"draw_risk,signal_conflict,home_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第９節第１日,j1_2026_04041403_水戸_鹿島,水戸,鹿島,away_strong,away_strong,"away_strong,away_title_race,home_relegation_risk,home_adverse",D,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第９節第１日,j1_2026_04041503_名古屋_Ｃ大阪,名古屋,Ｃ大阪,home_strong,home_strong,"draw_risk,home_strong,home_title_race",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第９節第１日,j1_2026_04041603_Ｇ大阪_京都,Ｇ大阪,京都,home_strong,home_strong,"draw_risk,home_strong,home_title_race,away_relegation_risk",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第９節第２日,j1_2026_04051303_長崎_清水,長崎,清水,neutral,draw_risk,"draw_risk,home_relegation_risk",A,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第９節第２日,j1_2026_04051403_岡山_神戸,岡山,神戸,away_strong,away_strong,"away_strong,away_title_race,home_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第９節第２日,j1_2026_04051403_広島_福岡,広島,福岡,home_strong,home_strong,"draw_risk,home_strong,away_relegation_risk",A,A,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第９節第２日,j1_2026_04051403_柏_横浜FM,柏,横浜FM,home_strong,home_strong,"draw_risk,home_strong,home_relegation_risk,away_relegation_risk,away_adverse",H,A,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第９節第２日,j1_2026_04051503_FC東京_町田,FC東京,町田,neutral,draw_risk,"draw_risk,home_title_race,away_title_race,away_adverse",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第９節第２日,j1_2026_04051603_川崎Ｆ_浦和,川崎Ｆ,浦和,neutral,draw_risk,draw_risk,H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
j1,第１０節第１日,j1_2026_04111303_千葉_水戸,千葉,水戸,neutral,draw_risk,"draw_risk,home_relegation_risk,away_relegation_risk,away_adverse",D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第１０節第１日,j1_2026_04111403_広島_清水,広島,清水,neutral,draw_risk,draw_risk,D,D,,,disabled_legacy_variant,legacy_disabled,True,False,False,True,True,False,True,False,True
j1,第１０節第１日,j1_2026_04111403_町田_柏,町田,柏,signal_conflict,signal_conflict,"draw_risk,signal_conflict,home_title_race,away_relegation_risk,home_adverse",H,D,,,disabled_legacy_variant,legacy_disabled,False,False,False,True,True,False,False,False,False
