league,節,match_id,home_team,away_team,match_type,match_type_primary,match_type_flags,actual_result,predicted_result_main,predicted_result_type_a,predicted_result_type_b,type_adjust_note_a,type_adjust_note_b,main_hit,type_a_hit,type_b_hit,main_vs_type_a_changed,main_vs_type_b_changed,type_a_improved_vs_main,type_a_worsened_vs_main,type_b_improved_vs_main,type_b_worsened_vs_main
j2,第１節第１日,j2_2025_02151403_大宮_山形,大宮,山形,home_strong,home_strong,"draw_risk,home_strong",H,D,H,D,j2_home_strong_flow:+H,none,False,True,False,True,False,True,False,False,False
j2,第１節第１日,j2_2025_02151903_長崎_熊本,長崎,熊本,home_strong,home_strong,"draw_risk,home_strong",H,D,H,D,j2_home_strong_flow:+H,none,False,True,False,True,False,True,False,False,False
j2,第１節第２日,j2_2025_02161313_今治_秋田,今治,秋田,home_strong,home_strong,"draw_risk,home_strong",A,D,H,D,j2_home_strong_flow:+H,none,False,False,False,True,False,False,False,False,False
j2,第２節第１日,j2_2025_02221403_千葉_富山,千葉,富山,home_strong,home_strong,"draw_risk,home_strong",H,D,H,D,j2_home_strong_flow:+H,none,False,True,False,True,False,True,False,False,False
j2,第２節第１日,j2_2025_02221403_大宮_甲府,大宮,甲府,home_strong,home_strong,"draw_risk,home_strong",H,D,H,D,j2_home_strong_flow:+H,none,False,True,False,True,False,True,False,False,False
j2,第２節第２日,j2_2025_02231403_今治_藤枝,今治,藤枝,home_strong,home_strong,"draw_risk,home_strong",D,D,H,D,j2_home_strong_flow:+H,none,True,False,True,True,False,False,True,False,False
j2,第６節第１日,j2_2025_03231403_いわき_今治,いわき,今治,neutral,draw_risk,draw_risk,A,A,D,A,j2_draw_risk_balanced:+D,none,True,False,True,True,False,False,True,False,False
j2,第６節第１日,j2_2025_03231403_山形_徳島,山形,徳島,signal_conflict,signal_conflict,"draw_risk,signal_conflict",D,D,A,A,none,none,True,False,False,True,True,False,True,False,True
j2,第８節第２日,j2_2025_04061303_熊本_富山,熊本,富山,neutral,draw_risk,draw_risk,D,D,H,H,none,none,True,False,False,True,True,False,True,False,True
j2,第１０節第１日,j2_2025_04191404_甲府_長崎,甲府,長崎,away_strong,away_strong,"draw_risk,away_strong",D,D,A,A,none,none,True,False,False,True,True,False,True,False,True
j2,第１０節第２日,j2_2025_04201403_徳島_水戸,徳島,水戸,away_strong,away_strong,"draw_risk,away_strong",A,D,H,H,none,none,False,False,False,True,True,False,False,False,False
j2,第１３節第１日,j2_2025_05031403_山形_札幌,山形,札幌,neutral,draw_risk,draw_risk,A,D,H,H,none,none,False,False,False,True,True,False,False,False,False
j2,第１４節第１日,j2_2025_05061400_富山_長崎,富山,長崎,away_strong,away_strong,"draw_risk,away_strong",A,D,A,A,none,none,False,True,True,True,True,True,False,True,False
j2,第１５節第１日,j2_2025_05101403_大宮_仙台,大宮,仙台,neutral,draw_risk,draw_risk,H,D,A,A,none,none,False,False,False,True,True,False,False,False,False
j2,第１５節第２日,j2_2025_05111303_いわき_札幌,いわき,札幌,home_strong,home_strong,"draw_risk,home_strong",D,D,H,D,j2_home_strong_flow:+H,none,True,False,True,True,False,False,True,False,False
j2,第１７節第１日,j2_2025_05251403_山口_藤枝,山口,藤枝,signal_conflict,signal_conflict,"draw_risk,signal_conflict",D,D,H,H,none,none,True,False,False,True,True,False,True,False,True
j2,第１７節第２日,j2_2025_06071803_今治_大分,今治,大分,home_strong,home_strong,"draw_risk,home_strong",D,D,H,D,j2_home_strong_flow:+H,none,True,False,True,True,False,False,True,False,False
j2,第１９節第２日,j2_2025_06151403_富山_藤枝,富山,藤枝,neutral,draw_risk,draw_risk,A,D,A,A,none,none,False,True,True,True,True,True,False,True,False
j2,第１９節第２日,j2_2025_06151903_徳島_千葉,徳島,千葉,neutral,draw_risk,draw_risk,D,D,A,A,none,none,True,False,False,True,True,False,True,False,True
j2,第２２節第１日,j2_2025_07051903_千葉_鳥栖,千葉,鳥栖,home_strong,home_strong,"draw_risk,home_strong",A,D,H,D,j2_home_strong_flow:+H,none,False,False,False,True,False,False,False,False,False
j2,第２５節第２日,j2_2025_08101905_仙台_徳島,仙台,徳島,signal_conflict,signal_conflict,"draw_risk,signal_conflict",A,D,H,H,none,none,False,False,False,True,True,False,False,False,False
j2,第２６節第１日,j2_2025_08161903_千葉_徳島,千葉,徳島,neutral,draw_risk,draw_risk,H,D,A,A,none,none,False,False,False,True,True,False,False,False,False
j2,第２９節第１日,j2_2025_09131403_札幌_いわき,札幌,いわき,away_strong,away_strong,"draw_risk,away_strong",A,D,H,H,none,none,False,False,False,True,True,False,False,False,False
j2,第３０節第１日,j2_2025_09201903_大宮_今治,大宮,今治,home_strong,home_strong,"draw_risk,home_strong",A,D,H,H,j2_home_strong_flow:+H,none,False,False,False,True,True,False,False,False,False
j2,第３５節第１日,j2_2025_11021403_鳥栖_徳島,鳥栖,徳島,signal_conflict,signal_conflict,"draw_risk,signal_conflict",D,D,H,H,none,none,True,False,False,True,True,False,True,False,True
