test_round,train_round_min,train_round_max,test_N,selected_draw_boost,selected_temperature,selected_home_shift,test_logloss_selected,test_brier_selected,test_accuracy_selected,test_logloss_baseline,test_brier_baseline,test_accuracy_baseline,delta_logloss,delta_brier,delta_accuracy
6,1,5,20,1.1,1.1,0.02,1.103721904508201,0.6680604563365149,0.4,1.0952520011213642,0.6626942426694619,0.4,0.00846990338683673,0.0053662136670530325,0.0
7,1,6,20,1.08,1.1,0.02,1.1116499989270445,0.6758549521190013,0.25,1.126934883093933,0.6853177539667819,0.15,-0.015284884166888446,-0.009462801847780589,0.1
8,1,7,20,1.0,1.1,0.02,1.0724774010613163,0.6499405824740292,0.3,1.0953689638995177,0.6643751068450846,0.5,-0.022891562838201374,-0.014434524371055413,-0.2
9,1,8,20,1.0,1.1,0.02,1.0609311889244917,0.6405973221767581,0.55,1.0589007949187919,0.6390067125601393,0.55,0.0020303940056998204,0.0015906096166188322,0.0
10,1,9,20,1.0,1.1,0.02,1.1326356932730053,0.6884796700033935,0.35,1.1329244882029845,0.6898199469803616,0.35,-0.0002887949299792414,-0.0013402769769681466,0.0
11,1,10,20,1.0,1.1,0.02,1.083479493724449,0.6552686062346245,0.4,1.0847058920406598,0.6551068346431717,0.4,-0.0012263983162108527,0.0001617715914528084,0.0
12,1,11,20,1.0,1.1,0.02,1.100049061515342,0.6698178226478987,0.4,1.1070173487973012,0.6746726874283706,0.4,-0.006968287281959196,-0.004854864780471924,0.0
13,1,12,20,1.0,1.1,0.02,1.100268935706494,0.6671310065316616,0.4,1.081471663935218,0.6543782936194392,0.4,0.018797271771276103,0.012752712912222353,0.0
14,1,13,20,1.0,1.1,0.02,1.1046396087169403,0.6656322670470232,0.45,1.0929682816904536,0.6588405887395681,0.4,0.011671327026486766,0.006791678307455085,0.04999999999999999
15,1,14,20,1.0,1.1,0.02,1.0457629640270598,0.6292495868222577,0.5,1.0367435265252087,0.6235971166708797,0.6,0.00901943750185108,0.005652470151378042,-0.09999999999999998
16,1,15,20,1.0,1.1,0.02,1.029411361732082,0.6183937447845766,0.4,1.0368782340956737,0.6224931395457863,0.4,-0.007466872363591781,-0.004099394761209685,0.0
17,1,16,20,1.0,1.1,0.02,1.0326117687900989,0.6188440003418842,0.65,1.0383255586278626,0.6207067611316828,0.6,-0.005713789837763716,-0.0018627607897985232,0.050000000000000044
18,1,17,20,1.0,0.95,0.02,1.2000741483684614,0.7344589249712273,0.25,1.2242905647157083,0.7464484994140447,0.2,-0.024216416347246916,-0.011989574442817341,0.04999999999999999
19,1,18,20,1.0,1.1,0.02,1.0581265606605046,0.6354789281028195,0.55,1.0478328000929296,0.6294903785351131,0.45,0.010293760567575028,0.005988549567706336,0.10000000000000003
20,1,19,20,1.0,1.1,0.02,1.068019335685443,0.6453565986964513,0.4,1.056826350793848,0.6374334182711698,0.45,0.011192984891595037,0.007923180425281506,-0.04999999999999999
