節,match_id,datetime,home_team,away_team,home_score,away_score,prob_home_win,prob_draw,prob_away_win,predicted,actual,is_correct
第３５節第１日,j1_2025_10251403_柏_横浜FC,2025-10-25 14:03:00,柏,横浜FC,2,0,0.338,0.493,0.169,D,H,False
第３５節第１日,j1_2025_10251403_京都_鹿島,2025-10-25 14:03:00,京都,鹿島,1,1,0.237,0.549,0.215,D,D,True
第３５節第１日,j1_2025_10251403_清水_東京Ｖ,2025-10-25 14:03:00,清水,東京Ｖ,1,0,0.329,0.49,0.181,D,H,False
第３５節第１日,j1_2025_10251403_横浜FM_広島,2025-10-25 14:03:00,横浜FM,広島,3,0,0.173,0.548,0.279,D,H,False
第３５節第１日,j1_2025_10251403_浦和_町田,2025-10-25 14:03:00,浦和,町田,0,0,0.221,0.548,0.231,D,D,True
第３５節第１日,j1_2025_10251404_名古屋_Ｇ大阪,2025-10-25 14:04:00,名古屋,Ｇ大阪,0,2,0.219,0.553,0.228,D,A,False
第３５節第１日,j1_2025_10251404_FC東京_岡山,2025-10-25 14:04:00,FC東京,岡山,3,1,0.278,0.525,0.197,D,H,False
第３５節第１日,j1_2025_10251503_Ｃ大阪_川崎Ｆ,2025-10-25 15:03:00,Ｃ大阪,川崎Ｆ,2,0,0.21,0.587,0.203,D,H,False
第３５節第２日,j1_2025_10261403_新潟_神戸,2025-10-26 14:03:00,新潟,神戸,2,2,0.192,0.526,0.282,D,D,True
第３５節第２日,j1_2025_10261443_福岡_湘南,2025-10-26 14:43:00,福岡,湘南,1,0,0.299,0.505,0.195,D,H,False
