team_name,1試合平均シュート数,シュート決定率,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,14.9,12.4,472.7,78.7,11.1,51.4,17.1,14.6,13.4,53.0,51.6,12.5,17.9,35.1,119.0,153.0,68.0,49.0,36.0,37.0,85.0,10.0,3.1,0.8,21.1,18.0,2.1,10.4,0.8,10.4,4.0,0.0
FC町田ゼルビア,11.9,11.2,408.3,76.8,11.3,58.5,9.6,12.5,13.9,51.9,45.2,8.5,18.3,31.7,118.0,112.0,42.0,34.0,36.0,30.0,47.0,11.1,3.8,1.4,17.7,17.9,1.2,14.3,1.1,12.7,3.0,0.0
V・ファーレン長崎,10.5,9.5,428.4,75.7,11.2,50.0,10.3,9.2,15.8,50.4,48.7,8.4,15.5,32.8,113.0,130.0,45.0,44.0,42.0,29.0,58.0,14.9,4.5,1.5,28.0,20.9,2.8,20.2,1.5,19.4,3.0,0.0
アビスパ福岡,11.2,8.9,349.9,71.9,10.6,45.6,9.4,10.8,16.6,47.5,43.4,8.3,15.8,35.1,117.0,112.0,35.0,41.0,36.0,28.0,47.0,12.4,3.9,1.6,26.5,20.1,2.1,18.4,1.3,17.6,2.0,0.0
ガンバ大阪,13.4,9.6,473.0,75.8,12.6,51.1,15.9,13.6,16.4,49.4,56.9,11.6,18.4,42.7,113.0,122.0,43.0,42.0,38.0,33.0,58.0,11.6,4.0,1.3,23.0,22.2,1.6,18.5,1.3,16.0,3.0,0.0
サンフレッチェ広島,16.7,8.8,474.3,74.4,10.0,47.7,18.5,17.4,20.1,52.3,54.0,13.5,15.2,41.8,112.0,133.0,55.0,42.0,36.0,33.0,66.0,9.8,3.1,1.3,17.6,21.3,1.2,13.9,1.0,13.1,2.0,0.0
ジェフユナイテッド千葉,11.2,9.0,423.0,76.5,12.4,47.8,9.5,13.1,15.2,52.8,47.8,8.2,16.1,30.8,119.0,117.0,38.0,39.0,41.0,35.0,52.0,17.1,4.9,1.6,30.1,18.1,1.8,23.9,1.8,22.3,1.0,0.0
セレッソ大阪,10.8,8.5,440.8,75.4,10.2,57.6,20.7,13.6,15.5,54.0,48.6,10.7,17.1,34.2,121.0,144.0,55.0,45.0,45.0,35.0,71.0,14.1,3.3,0.9,30.6,24.8,0.9,20.0,1.5,18.4,6.0,0.0
ファジアーノ岡山,11.7,9.9,321.4,67.1,10.9,50.7,9.9,16.5,20.2,53.0,42.8,9.2,14.8,33.5,113.0,140.0,56.0,46.0,38.0,28.0,66.0,11.0,4.3,1.5,26.6,22.9,1.5,14.9,1.1,14.1,2.0,0.0
ヴィッセル神戸,12.9,14.2,456.2,74.0,7.0,50.0,12.3,14.3,24.3,50.0,53.4,8.8,13.5,38.5,116.0,139.0,48.0,44.0,47.0,33.0,56.0,10.1,3.5,0.8,25.2,19.9,2.0,12.0,1.0,11.2,4.0,0.0
