team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均スプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値 ※PKを除く,stats_missing_ratio
FC東京,14.9,5.2,12.4,1.8,472.7,11.1,51.4,17.1,49.3,14.6,13.4,53.0,51.6,12.5,17.9,35.1,21.1,153.0,49.0,36.0,37.0,85.0,3.1,0.8,21.1,18.5,18.0,2.1,10.4,0.0
FC町田ゼルビア,11.9,3.9,11.2,1.3,408.3,11.3,58.5,9.6,47.0,12.5,13.9,51.9,45.2,8.5,18.3,31.7,15.1,112.0,34.0,36.0,30.0,47.0,3.8,1.4,17.7,17.3,17.9,1.2,12.7,0.0
V・ファーレン長崎,10.5,3.3,9.5,1.0,428.4,11.2,50.0,10.3,44.8,9.2,15.8,50.4,48.7,8.4,15.5,32.8,15.4,130.0,44.0,42.0,29.0,58.0,4.5,1.5,28.0,15.2,20.9,2.8,19.4,0.0
アビスパ福岡,11.2,3.4,8.9,1.0,349.9,10.6,45.6,9.4,46.2,10.8,16.6,47.5,43.4,8.3,15.8,35.1,14.2,112.0,41.0,36.0,28.0,47.0,3.9,1.6,26.5,18.4,20.1,2.1,17.6,0.0
ガンバ大阪,13.4,5.1,9.6,1.3,473.0,12.6,51.1,15.9,48.4,13.6,16.4,49.4,56.9,11.6,18.4,42.7,20.7,122.0,42.0,38.0,33.0,58.0,4.0,1.3,23.0,17.6,22.2,1.6,16.0,0.0
サンフレッチェ広島,16.7,4.2,8.8,1.5,474.3,10.0,47.7,18.5,45.0,17.4,20.1,52.3,54.0,13.5,15.2,41.8,24.2,133.0,42.0,36.0,33.0,66.0,3.1,1.3,17.6,16.1,21.3,1.2,13.1,0.0
ジェフユナイテッド千葉,11.2,3.8,9.0,1.0,423.0,12.4,47.8,9.5,39.5,13.1,15.2,52.8,47.8,8.2,16.1,30.8,15.9,117.0,39.0,41.0,35.0,52.0,4.9,1.6,30.1,17.4,18.1,1.8,22.3,0.0
セレッソ大阪,10.8,3.8,8.5,0.9,440.8,10.2,57.6,20.7,43.5,13.6,15.5,54.0,48.6,10.7,17.1,34.2,14.8,144.0,45.0,45.0,35.0,71.0,3.3,0.9,30.6,19.0,24.8,0.9,18.4,0.0
ファジアーノ岡山,11.7,3.3,9.9,1.1,321.4,10.9,50.7,9.9,49.6,16.5,20.2,53.0,42.8,9.2,14.8,33.5,17.3,140.0,46.0,38.0,28.0,66.0,4.3,1.5,26.6,15.8,22.9,1.5,14.1,0.0
ヴィッセル神戸,12.9,4.0,14.2,1.8,456.2,7.0,50.0,12.3,50.7,14.3,24.3,50.0,53.4,8.8,13.5,38.5,20.0,139.0,44.0,47.0,33.0,56.0,3.5,0.8,25.2,15.9,19.9,2.0,11.2,0.0
京都サンガF.C.,13.4,4.4,9.9,1.3,379.7,8.6,55.3,17.0,42.2,14.8,18.1,45.8,52.4,11.3,16.8,39.3,15.4,161.0,53.0,47.0,30.0,71.0,3.3,1.3,24.9,18.7,24.3,1.2,18.5,0.0
名古屋グランパス,13.6,4.4,11.9,1.6,444.1,10.5,56.6,14.7,44.0,16.9,16.9,52.6,52.5,11.7,19.1,36.2,19.2,136.0,45.0,39.0,33.0,68.0,4.5,1.2,22.8,19.3,19.4,1.5,17.7,0.0
