team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均走行距離,1試合平均スプリント回数,1試合平均Atスプリント回数,1試合平均Mtスプリント回数,1試合平均Dtスプリント回数,1試合平均ポゼッション時の走行距離,1試合平均ポゼッション時のスプリント回数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
FC東京,14.7,5.2,12.6,1.9,472.4,78.9,10.9,51.6,16.8,50.2,14.3,13.5,54.5,51.4,12.3,17.4,35.0,22.5,119.0,152.0,67.0,49.0,36.0,36.0,84.0,10.1,3.1,0.8,21.4,18.0,65.5,18.0,2.1,11.2,0.8,11.2,5.0,0.0
FC町田ゼルビア,11.9,4.0,11.0,1.3,404.7,76.7,11.1,58.3,9.5,49.2,12.6,13.9,52.3,44.9,8.5,17.7,31.6,16.3,118.0,113.0,42.0,34.0,37.0,30.0,48.0,11.1,3.7,1.4,18.1,16.8,67.0,17.9,1.1,15.2,1.1,13.6,3.0,0.0
V・ファーレン長崎,11.1,3.6,9.0,1.0,427.0,75.3,10.9,50.3,10.6,43.9,10.1,15.8,50.9,48.8,8.9,15.3,33.4,17.2,112.0,131.0,45.0,42.0,44.0,29.0,57.0,14.6,4.5,1.5,27.4,15.1,64.6,20.9,2.7,20.9,1.4,20.1,3.0,0.0
アビスパ福岡,11.0,3.3,9.1,1.0,345.1,71.9,10.5,44.3,9.4,44.0,10.5,15.8,47.2,42.7,8.1,15.9,34.5,14.8,117.0,112.0,35.0,41.0,36.0,28.0,46.0,12.1,3.7,1.6,26.9,18.6,60.6,19.7,2.1,19.2,1.2,18.3,2.0,0.0
ガンバ大阪,13.3,5.3,11.6,1.5,462.6,75.6,12.3,50.0,15.4,48.1,13.1,16.2,48.6,55.9,11.3,17.9,41.9,22.5,113.0,122.0,43.0,41.0,38.0,33.0,58.0,11.8,4.1,1.2,24.1,17.2,68.6,22.3,1.9,21.1,1.4,18.7,4.0,0.0
サンフレッチェ広島,16.2,4.1,8.4,1.4,473.7,74.5,9.8,49.3,17.9,45.2,17.4,19.5,51.5,54.2,13.1,15.0,42.4,25.5,112.0,131.0,54.0,41.0,36.0,33.0,65.0,10.1,3.1,1.3,17.9,15.8,64.3,21.5,1.1,15.7,1.1,14.9,2.0,0.0
ジェフユナイテッド千葉,11.1,3.5,8.4,0.9,420.7,76.5,12.6,48.6,9.4,39.4,13.0,14.8,51.6,47.8,8.4,16.4,29.8,16.5,119.0,118.0,38.0,39.0,41.0,35.0,52.0,16.9,5.0,1.6,28.9,17.4,59.3,17.9,1.7,24.9,1.7,23.3,1.0,0.0
セレッソ大阪,10.6,3.6,8.7,0.9,459.6,76.6,9.9,57.6,20.6,42.4,13.9,15.0,54.4,49.9,10.6,17.0,34.2,15.5,121.0,142.0,54.0,44.0,43.0,35.0,71.0,13.6,3.2,0.9,29.5,19.0,59.4,24.4,0.9,20.6,1.4,19.0,6.0,0.0
ファジアーノ岡山,11.8,3.3,9.7,1.1,319.9,67.2,10.7,51.3,10.3,50.7,16.5,20.1,53.5,42.8,9.0,15.1,33.5,19.1,113.0,139.0,55.0,46.0,39.0,28.0,66.0,10.9,4.1,1.4,27.6,16.1,59.6,22.8,1.5,16.2,1.1,15.4,3.0,0.0
ヴィッセル神戸,13.0,4.1,13.0,1.7,468.0,74.6,7.1,52.2,11.9,51.6,15.5,24.1,50.6,53.8,9.1,13.9,38.5,22.6,115.0,137.0,48.0,43.0,47.0,33.0,56.0,10.2,3.8,1.1,23.9,16.2,63.0,19.7,2.0,13.7,1.0,12.9,4.0,0.0
京都サンガF.C.,13.5,4.5,9.7,1.3,371.5,67.1,8.5,54.1,16.7,41.9,14.3,18.7,45.9,51.8,11.4,16.1,37.9,16.6,114.0,160.0,59.0,53.0,48.0,30.0,69.0,13.0,3.5,1.3,24.5,18.1,63.8,23.5,1.1,20.2,1.5,19.4,1.0,0.0
名古屋グランパス,13.4,4.4,12.2,1.6,442.0,76.0,10.1,57.0,15.1,43.6,16.5,16.5,51.9,52.4,11.6,18.9,36.8,19.9,113.0,136.0,53.0,44.0,39.0,32.0,69.0,14.6,4.6,1.2,24.1,19.2,68.4,19.7,1.5,20.3,1.4,19.5,4.0,0.0
川崎フロンターレ,11.3,3.4,11.3,1.3,493.1,81.3,10.1,51.4,16.3,50.9,14.1,9.3,42.1,49.2,11.1,16.1,33.6,15.8,114.0,118.0,49.0,37.0,32.0,31.0,59.0,15.6,4.7,1.7,21.4,16.4,66.5,19.9,1.4,25.0,1.7,24.2,2.0,0.0
東京ヴェルディ,9.6,2.9,13.6,1.3,388.2,74.6,8.9,31.9,8.5,45.5,10.8,15.3,48.9,44.6,8.0,15.4,28.8,12.3,120.0,149.0,52.0,49.0,48.0,30.0,56.0,10.2,2.9,1.2,23.0,18.8,66.5,22.9,1.5,14.7,1.1,13.1,4.0,0.0
