team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,15.8,4.3,8.8,1.4,335.7,65.6,10.2,44.7,13.3,47.4,16.4,26.3,57.0,47.6,11.9,18.8,40.5,9.8,2.1,0.9,27.5,19.2,74.0,20.8,1.2,12.9,12.9,5.0,0.0
今治,11.3,3.8,5.4,0.6,412.3,72.1,11.2,47.9,14.0,42.9,13.8,15.4,46.7,49.5,8.2,18.5,40.4,11.8,3.5,0.9,22.8,20.3,64.8,23.8,1.8,14.6,13.8,4.0,0.0
仙台,15.2,4.8,13.2,2.0,400.1,73.2,12.1,52.2,11.2,49.3,13.9,17.7,50.4,51.1,11.2,18.8,38.1,9.1,2.8,0.5,20.7,18.1,69.4,18.5,1.3,10.1,10.1,7.0,0.0
八戸,11.7,3.5,8.6,1.0,297.8,58.3,8.2,50.0,9.0,41.0,14.5,22.5,46.1,42.4,7.0,16.4,41.4,9.2,3.1,1.1,27.1,19.6,62.7,24.5,1.2,12.1,11.3,4.0,0.0
大分,12.5,3.6,9.3,1.1,496.5,76.6,8.8,47.8,12.3,48.1,14.8,21.3,57.5,52.8,9.2,15.3,36.8,10.8,2.8,1.0,22.5,18.2,60.8,19.8,1.4,12.8,12.0,7.0,0.0
大宮,16.8,5.1,12.3,2.1,495.3,74.6,12.6,50.0,14.2,48.9,20.3,18.8,50.1,57.3,13.2,19.3,47.1,13.1,3.9,1.5,22.6,21.3,61.0,22.6,1.1,17.0,17.0,2.0,0.0
宮崎,12.6,4.5,17.1,2.1,431.6,74.5,10.7,54.0,13.2,44.4,16.5,20.1,57.1,49.7,10.0,17.3,34.8,8.8,2.0,0.5,24.8,17.7,65.2,19.1,1.6,10.2,10.2,8.0,0.0
富山,18.0,5.4,12.8,2.3,525.4,79.6,14.0,52.2,18.3,54.2,16.8,13.2,50.6,54.6,14.5,19.5,38.4,11.3,4.0,1.2,21.5,17.9,68.2,21.2,1.7,13.7,13.7,3.0,0.0
山形,9.2,2.8,10.0,0.9,401.8,74.3,8.0,51.0,9.4,53.3,10.3,18.8,48.1,49.3,7.8,15.5,32.8,15.3,4.2,1.1,29.7,17.5,64.9,22.7,1.1,21.1,20.3,3.0,0.0
徳島,11.2,5.1,22.1,2.5,436.6,78.1,10.9,54.2,13.3,45.1,12.8,13.0,47.9,50.9,9.8,18.5,32.7,13.4,3.8,0.8,23.8,19.3,64.9,19.5,1.4,15.5,15.5,8.0,0.0
新潟,8.5,2.8,11.7,1.0,428.9,74.3,11.2,40.7,12.8,46.4,12.2,16.1,46.5,49.4,6.5,16.9,35.5,13.5,4.9,1.0,27.2,18.8,65.7,23.0,2.1,15.3,15.3,8.0,0.0
札幌,12.1,3.4,8.9,1.1,526.0,77.3,9.2,50.0,12.8,43.7,13.2,16.3,50.6,53.8,10.3,17.1,35.4,13.1,4.2,1.4,21.6,19.8,62.8,19.2,1.8,18.8,18.8,2.0,0.0
栃木C,10.0,2.9,10.0,1.0,446.3,72.6,14.8,50.5,11.8,45.1,14.1,18.6,51.1,54.7,8.5,17.4,37.8,15.5,5.4,2.2,28.5,16.6,59.7,20.3,0.7,20.8,18.4,2.0,0.0
横浜FC,16.5,4.8,11.2,1.8,467.8,75.2,13.7,53.4,10.2,51.1,17.4,16.7,50.2,58.8,11.8,19.6,37.4,9.8,4.4,1.7,19.0,18.0,68.4,16.7,0.6,12.4,11.6,1.0,0.0
湘南,11.4,4.2,14.9,1.7,445.1,72.3,12.1,46.5,13.9,43.6,13.0,19.6,49.7,53.4,9.9,18.4,37.2,12.9,3.1,0.8,23.8,19.6,65.1,22.5,1.3,16.3,15.5,4.0,0.0
甲府,10.2,2.9,12.0,1.2,398.7,70.2,10.5,43.8,11.8,48.1,15.6,17.8,45.0,48.4,8.6,20.0,36.8,12.4,3.8,0.7,26.8,24.6,62.5,22.6,1.9,18.0,15.7,4.0,0.0
磐田,11.3,2.6,6.8,0.8,418.8,71.0,8.1,51.4,11.2,50.3,16.1,23.1,53.3,49.8,8.8,17.4,35.9,11.9,3.9,1.1,23.6,20.0,66.2,21.7,1.8,16.4,15.6,4.0,0.0
秋田,11.2,3.1,11.0,1.2,286.5,53.8,9.2,42.0,7.9,39.8,12.7,31.1,54.8,43.9,6.9,15.8,41.1,10.1,3.0,0.8,28.8,17.3,69.3,21.8,1.0,14.2,11.8,6.0,0.0
藤枝,12.0,3.5,10.9,1.3,394.8,72.2,13.1,48.2,10.3,41.0,14.6,16.4,50.8,50.6,10.2,18.5,34.5,12.6,3.2,1.2,26.3,19.8,61.6,20.1,1.1,18.2,16.6,2.0,0.0
鳥栖,13.1,3.9,8.8,1.1,546.2,80.6,14.2,50.3,10.6,50.7,14.7,14.9,44.5,58.1,10.3,17.3,34.5,8.5,2.7,0.8,22.5,14.8,68.8,18.8,1.2,10.7,10.7,6.0,0.0
