team_name,1試合平均シュート数,1試合平均枠内シュート数,シュート決定率,1試合平均得点数,1試合平均パス数,パス成功率,1試合平均ドリブル数,ドリブル成功率,1試合平均スルーパス数,スルーパス成功率,1試合平均クロス数,1試合平均空中戦勝利数,空中戦勝率,平均ボール支配率,1試合平均チャンスクリエイト数,1試合平均1vs1勝利数,1試合平均こぼれ球奪取数,ゴール期待値,1試合平均被シュート数,1試合平均被枠内シュート数,1試合平均失点数,1試合平均クリア数,1試合平均タックル数,タックル成功率,1試合平均ブロック数,1試合平均インターセプト数,被ゴール期待値,1試合平均被ゴール期待値,被ゴール期待値 ※PKを除く,クリーンシート総数,stats_missing_ratio
いわき,11.3,3.7,11.8,1.3,389.3,71.4,8.0,58.3,13.7,51.2,16.0,22.0,54.1,51.5,9.3,16.7,30.0,2.2,12.3,4.3,2.7,25.7,18.3,65.5,17.0,1.7,5.4,1.8,3.8,,0.033
今治,15.3,3.0,6.5,1.0,500.7,80.2,12.3,40.5,14.3,55.8,13.3,15.3,51.1,55.5,12.7,14.3,38.0,4.9,15.0,4.7,3.0,25.0,13.3,70.0,16.3,3.0,4.0,1.3,4.0,,0.033
仙台,13.3,3.3,5.0,0.7,450.7,71.7,9.7,37.9,15.0,40.0,18.0,23.7,65.1,49.0,9.7,14.7,40.7,4.5,6.3,2.3,0.7,15.7,20.3,54.1,19.0,1.7,2.3,0.7,2.3,2.0,0.0
八戸,9.7,2.3,6.9,0.7,378.3,71.2,7.3,54.5,7.7,34.8,10.3,16.7,48.1,47.8,7.0,18.7,39.0,1.9,14.7,5.3,2.3,35.3,22.7,64.7,25.7,1.3,6.7,2.2,6.7,1.0,0.0
大分,10.0,3.3,13.3,1.3,475.7,76.2,5.0,53.3,13.0,41.0,11.7,19.0,45.6,52.7,8.7,12.3,35.0,2.7,12.7,4.0,0.7,26.3,16.0,60.4,17.7,2.0,2.9,0.9,2.9,1.0,0.0
大宮,15.7,4.3,17.0,2.7,374.3,72.5,11.0,57.6,15.0,40.0,14.3,14.7,43.1,45.0,14.7,22.3,36.7,4.4,14.3,3.7,1.0,36.0,22.0,72.7,23.0,0.7,4.1,1.3,4.1,1.0,0.0
宮崎,14.7,4.3,2.3,0.3,478.3,76.9,15.7,55.3,12.7,42.1,21.0,17.0,50.0,55.2,12.0,19.0,38.7,3.9,12.3,2.7,0.7,22.7,14.3,72.1,21.3,1.3,3.0,1.0,3.0,1.0,0.0
富山,21.3,6.0,12.5,2.7,628.3,82.5,13.7,46.3,21.7,58.5,21.0,16.7,56.2,59.3,18.7,21.0,43.0,5.8,10.0,2.0,0.7,15.0,20.3,72.1,19.7,0.7,2.4,0.8,2.4,2.0,0.0
山形,17.0,6.3,7.8,1.3,413.0,79.0,11.3,70.6,10.7,68.8,18.7,13.3,44.0,46.2,16.0,19.0,35.3,4.9,16.0,3.7,0.3,27.3,15.3,71.7,18.0,2.0,4.0,1.3,4.0,2.0,0.0
徳島,6.3,1.7,5.3,0.3,434.3,78.7,9.0,51.9,9.3,39.3,8.7,9.3,38.4,49.6,4.3,16.7,29.3,1.7,16.0,7.0,1.3,21.3,19.0,63.2,17.3,2.7,5.2,1.7,5.2,1.0,0.0
新潟,10.7,3.7,9.4,1.0,409.0,71.7,12.0,41.7,7.3,45.5,11.0,17.0,44.0,47.9,6.3,20.0,34.0,3.5,11.7,2.3,0.7,31.3,23.0,65.2,22.0,2.0,2.8,0.9,2.8,1.0,0.0
札幌,12.0,4.7,11.1,1.3,479.7,77.2,16.3,42.9,12.7,44.7,14.0,15.0,53.6,52.5,10.3,18.0,29.3,3.9,11.3,4.0,2.0,18.0,15.3,71.7,16.0,1.3,4.2,1.4,3.4,1.0,0.0
栃木C,19.0,7.7,14.0,2.7,344.0,73.7,11.0,57.6,8.7,61.5,12.0,17.0,45.5,46.2,15.0,16.7,40.3,8.2,17.3,3.7,1.0,34.0,19.3,53.4,24.3,1.3,5.4,1.8,4.6,1.0,0.0
横浜FC,17.7,3.7,7.5,1.3,426.0,80.0,10.7,65.6,9.0,59.3,15.3,11.7,50.0,51.8,11.7,14.0,35.3,5.2,13.0,5.0,1.0,24.0,12.7,55.3,15.7,2.3,3.8,1.2,3.0,1.0,0.0
湘南,11.0,3.7,6.1,0.7,414.0,74.8,8.7,50.0,14.3,62.8,11.7,18.3,47.0,45.7,10.0,13.0,36.7,2.4,13.7,4.0,,29.3,15.3,56.5,19.0,0.7,3.0,1.0,3.0,3.0,0.033
甲府,8.7,2.0,3.8,0.3,439.7,73.2,7.0,42.9,9.0,44.4,17.0,19.0,43.2,50.7,7.3,12.7,39.3,2.0,15.7,5.3,2.0,27.7,12.7,76.3,19.0,2.7,5.0,1.6,4.2,,0.033
磐田,15.0,4.7,8.9,1.3,470.0,76.7,9.7,51.7,13.7,53.7,15.0,21.0,53.8,54.3,12.3,15.0,38.0,5.4,10.0,2.7,1.7,18.3,17.7,56.6,17.7,0.3,3.1,1.0,2.3,,0.033
秋田,11.3,3.3,11.8,1.3,265.0,52.7,7.7,47.8,12.3,40.5,14.0,31.3,54.0,39.7,7.7,15.0,30.7,3.2,19.7,5.0,1.7,24.3,20.3,55.7,19.3,0.7,6.0,2.0,6.0,1.0,0.0
藤枝,8.0,2.3,20.8,1.7,324.7,64.3,8.0,54.2,8.3,48.0,10.3,21.3,48.5,44.1,7.3,13.0,38.0,3.6,10.3,3.7,0.7,23.3,16.7,52.0,20.7,1.0,3.1,1.0,2.3,1.0,0.0
鳥栖,17.0,5.7,5.9,1.0,495.0,83.1,10.7,40.6,10.7,34.4,13.0,16.3,67.1,53.7,13.0,13.0,29.0,5.6,12.7,4.3,1.0,30.0,11.0,78.8,15.3,0.3,3.6,1.2,3.6,2.0,0.0
