match_id,datetime,home_team,away_team,home_fatigue_score,away_fatigue_score
j1_2026_02061903_京都_神戸,2026-02-06 19:03:00,京都,神戸,0.0,4.0
j1_2026_02061903_横浜FM_町田,2026-02-06 19:03:00,横浜FM,町田,0.0,4.0
j1_2026_02061906_長崎_広島,2026-02-06 19:06:00,長崎,広島,0.0,4.0
j1_2026_02071304_千葉_浦和,2026-02-07 13:04:00,千葉,浦和,0.0,4.0
j1_2026_02071335_FC東京_鹿島,2026-02-07 13:35:00,FC東京,鹿島,0.0,4.0
j1_2026_02071603_Ｃ大阪_Ｇ大阪,2026-02-07 16:03:00,Ｃ大阪,Ｇ大阪,0.0,4.0
j1_2026_02081308_福岡_岡山,2026-02-08 13:08:00,福岡,岡山,0.0,4.0
j1_2026_02081403_名古屋_清水,2026-02-08 14:03:00,名古屋,清水,0.0,4.0
j1_2026_02081503_川崎Ｆ_柏,2026-02-08 15:03:00,川崎Ｆ,柏,0.0,4.0
j1_2026_02081603_東京Ｖ_水戸,2026-02-08 16:03:00,東京Ｖ,水戸,0.0,4.0
j1_2026_02131903_神戸_長崎,2026-02-13 19:03:00,神戸,長崎,1.4,4.0
j1_2026_02141403_広島_岡山,2026-02-14 14:03:00,広島,岡山,1.4,5.4
j1_2026_02141403_清水_京都,2026-02-14 14:03:00,清水,京都,1.4,4.0
j1_2026_02141403_町田_水戸,2026-02-14 14:03:00,町田,水戸,1.4,5.4
j1_2026_02141503_FC東京_浦和,2026-02-14 15:03:00,FC東京,浦和,0.0,5.4
j1_2026_02141503_鹿島_横浜FM,2026-02-14 15:03:00,鹿島,横浜FM,1.4,4.0
j1_2026_02151303_千葉_川崎Ｆ,2026-02-15 13:03:00,千葉,川崎Ｆ,0.0,4.0
j1_2026_02151403_柏_東京Ｖ,2026-02-15 14:03:00,柏,東京Ｖ,1.4,4.0
j1_2026_02151503_福岡_Ｃ大阪,2026-02-15 15:03:00,福岡,Ｃ大阪,0.0,4.0
j1_2026_02151603_Ｇ大阪_名古屋,2026-02-15 16:03:00,Ｇ大阪,名古屋,1.4,4.0
j1_2026_02211403_横浜FM_浦和,2026-02-21 14:03:00,横浜FM,浦和,1.4,6.69
j1_2026_02211403_東京Ｖ_町田,2026-02-21 14:03:00,東京Ｖ,町田,1.4,5.29
j1_2026_02211433_清水_神戸,2026-02-21 14:33:00,清水,神戸,1.29,5.29
j1_2026_02211503_名古屋_長崎,2026-02-21 15:03:00,名古屋,長崎,1.4,5.4
j1_2026_02211503_川崎Ｆ_FC東京,2026-02-21 15:03:00,川崎Ｆ,FC東京,1.4,4.0
j1_2026_02211603_鹿島_柏,2026-02-21 16:03:00,鹿島,柏,1.29,5.29
j1_2026_02221403_京都_福岡,2026-02-22 14:03:00,京都,福岡,1.4,4.0
j1_2026_02221403_岡山_Ｇ大阪,2026-02-22 14:03:00,岡山,Ｇ大阪,2.69,5.29
j1_2026_02221403_水戸_千葉,2026-02-22 14:03:00,水戸,千葉,2.69,4.0
j1_2026_02221503_Ｃ大阪_広島,2026-02-22 15:03:00,Ｃ大阪,広島,1.4,5.29
j1_2026_02271903_神戸_福岡,2026-02-27 19:03:00,神戸,福岡,2.53,5.4
j1_2026_02271903_町田_千葉,2026-02-27 19:03:00,町田,千葉,2.53,5.4
j1_2026_02271903_広島_京都,2026-02-27 19:03:00,広島,京都,2.53,5.29
j1_2026_02281303_横浜FM_東京Ｖ,2026-02-28 13:03:00,横浜FM,東京Ｖ,1.29,5.29
j1_2026_02281403_浦和_鹿島,2026-02-28 14:03:00,浦和,鹿島,3.82,5.13
j1_2026_02281503_FC東京_柏,2026-02-28 15:03:00,FC東京,柏,1.4,6.53
j1_2026_02281503_Ｇ大阪_清水,2026-02-28 15:03:00,Ｇ大阪,清水,2.53,5.13
j1_2026_02281703_長崎_Ｃ大阪,2026-02-28 17:03:00,長崎,Ｃ大阪,2.69,5.29
j1_2026_03011403_岡山_名古屋,2026-03-01 14:03:00,岡山,名古屋,2.42,5.29
j1_2026_03011603_川崎Ｆ_水戸,2026-03-01 16:03:00,川崎Ｆ,水戸,1.29,6.42
j1_2026_03071303_千葉_柏,2026-03-07 13:03:00,千葉,柏,2.69,7.48
j1_2026_03071403_FC東京_横浜FM,2026-03-07 14:03:00,FC東京,横浜FM,1.29,5.13
j1_2026_03071503_Ｃ大阪_清水,2026-03-07 15:03:00,Ｃ大阪,清水,2.53,6.19
j1_2026_03071503_浦和_水戸,2026-03-07 15:03:00,浦和,水戸,3.22,7.33
j1_2026_03071603_福岡_名古屋,2026-03-07 16:03:00,福岡,名古屋,2.69,6.53
j1_2026_03071603_鹿島_東京Ｖ,2026-03-07 16:03:00,鹿島,東京Ｖ,2.19,6.53
j1_2026_03081300_岡山_京都,2026-03-08 13:00:00,岡山,京都,1.93,6.53
j1_2026_03081503_Ｇ大阪_長崎,2026-03-08 15:03:00,Ｇ大阪,長崎,2.08,6.42
j1_2026_03141303_横浜FM_千葉,2026-03-14 13:03:00,横浜FM,千葉,2.19,6.42
j1_2026_03141403_水戸_FC東京,2026-03-14 14:03:00,水戸,FC東京,4.12,5.13
j1_2026_03141403_京都_Ｃ大阪,2026-03-14 14:03:00,京都,Ｃ大阪,3.48,6.08
j1_2026_03141403_名古屋_神戸,2026-03-14 14:03:00,名古屋,神戸,3.48,6.08
j1_2026_03141403_柏_町田,2026-03-14 14:03:00,柏,町田,4.45,6.08
j1_2026_03141403_清水_岡山,2026-03-14 14:03:00,清水,岡山,3.32,5.43
j1_2026_03141501_広島_Ｇ大阪,2026-03-14 15:01:00,広島,Ｇ大阪,2.08,5.76
j1_2026_03141503_鹿島_川崎Ｆ,2026-03-14 15:03:00,鹿島,川崎Ｆ,1.92,5.13
j1_2026_03141603_東京Ｖ_浦和,2026-03-14 16:03:00,東京Ｖ,浦和,3.48,6.56
j1_2026_03151404_長崎_福岡,2026-03-15 14:04:00,長崎,福岡,3.33,6.42
j1_2026_03181833_Ｃ大阪_岡山,2026-03-18 18:33:00,Ｃ大阪,岡山,3.16,6.53
j1_2026_03181903_長崎_京都,2026-03-18 19:03:00,長崎,京都,3.22,7.05
j1_2026_03181903_神戸_Ｇ大阪,2026-03-18 19:03:00,神戸,Ｇ大阪,3.16,6.69
j1_2026_03181903_水戸_横浜FM,2026-03-18 19:03:00,水戸,横浜FM,3.55,5.92
j1_2026_03181903_福岡_清水,2026-03-18 19:03:00,福岡,清水,3.83,6.92
j1_2026_03181903_名古屋_広島,2026-03-18 19:03:00,名古屋,広島,3.05,5.76
j1_2026_03181903_千葉_FC東京,2026-03-18 19:03:00,千葉,FC東京,3.33,6.19
j1_2026_03181903_東京Ｖ_川崎Ｆ,2026-03-18 19:03:00,東京Ｖ,川崎Ｆ,3.05,6.19
j1_2026_03181933_浦和_柏,2026-03-18 19:33:00,浦和,柏,3.32,7.71
j1_2026_03181933_町田_鹿島,2026-03-18 19:33:00,町田,鹿島,3.16,5.63
j1_2026_03211403_岡山_長崎,2026-03-21 14:03:00,岡山,長崎,4.56,7.43
j1_2026_03211435_福岡_Ｇ大阪,2026-03-21 14:35:00,福岡,Ｇ大阪,3.89,8.7
j1_2026_03221304_清水_広島,2026-03-22 13:04:00,清水,広島,4.2,7.19
j1_2026_03221403_京都_名古屋,2026-03-22 14:03:00,京都,名古屋,4.32,6.92
j1_2026_03221403_東京Ｖ_FC東京,2026-03-22 14:03:00,東京Ｖ,FC東京,2.92,7.82
j1_2026_03221503_Ｃ大阪_神戸,2026-03-22 15:03:00,Ｃ大阪,神戸,3.08,7.08
j1_2026_03221503_鹿島_千葉,2026-03-22 15:03:00,鹿島,千葉,3.07,7.22
j1_2026_03221503_川崎Ｆ_横浜FM,2026-03-22 15:03:00,川崎Ｆ,横浜FM,3.82,7.53
j1_2026_03221603_柏_水戸,2026-03-22 16:03:00,柏,水戸,4.84,7.3
