match_no,side,team,history_no,source_league,previous_datetime,venue_side,opponent,goals_for,goals_against,days_before_target,status
1,away,神戸,1,j1,2026-08-29 19:03:00,home,C大阪,1.0,0.0,4.0,ok
1,away,神戸,2,j1,2026-08-22 19:33:00,away,横浜FM,0.0,1.0,10.98,ok
1,away,神戸,3,j1,2026-08-15 19:03:00,home,FC東京,2.0,2.0,18.0,ok
1,home,東京V,1,j1,2026-08-29 19:03:00,home,鹿島,0.0,2.0,4.0,ok
1,home,東京V,2,j1,2026-08-22 18:33:00,away,岡山,0.0,0.0,11.02,ok
1,home,東京V,3,j1,2026-08-14 19:03:00,home,柏,1.0,3.0,19.0,ok
2,away,柏,1,j1,2026-08-29 18:33:00,away,清水,1.0,0.0,4.02,ok
2,away,柏,2,j1,2026-08-21 19:03:00,home,長崎,4.0,2.0,12.0,ok
2,away,柏,3,j1,2026-08-14 19:03:00,away,東京V,3.0,1.0,19.0,ok
2,home,C大阪,1,j1,2026-08-29 19:03:00,away,神戸,0.0,1.0,4.0,ok
2,home,C大阪,2,j1,2026-08-22 19:03:00,home,清水,1.0,0.0,11.0,ok
2,home,C大阪,3,j1,2026-08-15 19:03:00,away,福岡,0.0,3.0,18.0,ok
3,away,名古屋,1,j1,2026-08-29 19:03:00,home,岡山,2.0,1.0,4.0,ok
3,away,名古屋,2,j1,2026-08-22 19:03:00,home,G大阪,3.0,1.0,11.0,ok
3,away,名古屋,3,j1,2026-08-15 18:03:00,away,鹿島,1.0,2.0,18.04,ok
3,home,広島,1,j1,2026-08-29 18:03:00,away,G大阪,0.0,0.0,4.04,ok
3,home,広島,2,j1,2026-08-22 19:20:00,home,川崎F,1.0,1.0,10.99,ok
3,home,広島,3,j1,2026-08-15 19:03:00,away,浦和,4.0,1.0,18.0,ok
4,away,岡山,1,j1,2026-08-29 19:03:00,away,名古屋,1.0,2.0,4.0,ok
4,away,岡山,2,j1,2026-08-22 18:33:00,home,東京V,0.0,0.0,11.02,ok
4,away,岡山,3,j1,2026-08-15 19:00:00,home,長崎,1.0,0.0,18.0,ok
4,home,千葉,1,j1,2026-08-29 19:03:00,away,川崎F,2.0,4.0,4.0,ok
4,home,千葉,2,j1,2026-08-21 19:34:00,away,FC東京,0.0,2.0,11.98,ok
4,home,千葉,3,j1,2026-08-15 19:04:00,home,町田,0.0,4.0,18.0,ok
5,away,浦和,1,j1,2026-08-29 19:03:00,home,横浜FM,3.0,2.0,4.0,ok
5,away,浦和,2,j1,2026-08-23 19:35:00,away,町田,1.0,3.0,9.98,ok
5,away,浦和,3,j1,2026-08-15 19:03:00,home,広島,1.0,4.0,18.0,ok
5,home,福岡,1,j1,2026-08-29 19:03:00,away,京都,1.0,2.0,4.0,ok
5,home,福岡,2,j1,2026-08-22 18:03:00,away,鹿島,2.0,3.0,11.04,ok
5,home,福岡,3,j1,2026-08-15 19:03:00,home,C大阪,3.0,0.0,18.0,ok
6,away,鹿島,1,j1,2026-08-29 19:03:00,away,東京V,2.0,0.0,4.0,ok
6,away,鹿島,2,j1,2026-08-22 18:03:00,home,福岡,3.0,2.0,11.04,ok
6,away,鹿島,3,j1,2026-08-15 18:03:00,home,名古屋,2.0,1.0,18.04,ok
6,home,水戸,1,j1,2026-08-29 18:03:00,home,町田,1.0,1.0,4.04,ok
6,home,水戸,2,j1,2026-08-22 19:03:00,away,京都,3.0,1.0,11.0,ok
6,home,水戸,3,j1,2026-08-15 18:03:00,home,G大阪,1.0,1.0,18.04,ok
7,away,川崎F,1,j1,2026-08-29 19:03:00,home,千葉,4.0,2.0,4.0,ok
7,away,川崎F,2,j1,2026-08-22 19:20:00,away,広島,1.0,1.0,10.99,ok
7,away,川崎F,3,j1,2026-08-15 19:03:00,home,京都,2.0,2.0,18.0,ok
7,home,町田,1,j1,2026-08-29 18:03:00,away,水戸,1.0,1.0,4.04,ok
7,home,町田,2,j1,2026-08-23 19:35:00,home,浦和,3.0,1.0,9.98,ok
7,home,町田,3,j1,2026-08-15 19:04:00,away,千葉,4.0,0.0,18.0,ok
8,away,京都,1,j1,2026-08-29 19:03:00,home,福岡,2.0,1.0,4.0,ok
8,away,京都,2,j1,2026-08-22 19:03:00,home,水戸,1.0,3.0,11.0,ok
8,away,京都,3,j1,2026-08-15 19:03:00,away,川崎F,2.0,2.0,18.0,ok
8,home,横浜FM,1,j1,2026-08-29 19:03:00,away,浦和,2.0,3.0,4.0,ok
8,home,横浜FM,2,j1,2026-08-22 19:33:00,home,神戸,1.0,0.0,10.98,ok
8,home,横浜FM,3,j1,2026-08-15 18:34:00,away,清水,1.0,0.0,18.02,ok
9,away,FC東京,1,j1,2026-08-29 18:34:00,away,長崎,3.0,0.0,4.02,ok
9,away,FC東京,2,j1,2026-08-21 19:34:00,home,千葉,2.0,0.0,11.98,ok
9,away,FC東京,3,j1,2026-08-15 19:03:00,away,神戸,2.0,2.0,18.0,ok
9,home,清水,1,j1,2026-08-29 18:33:00,home,柏,0.0,1.0,4.02,ok
9,home,清水,2,j1,2026-08-22 19:03:00,away,C大阪,0.0,1.0,11.0,ok
9,home,清水,3,j1,2026-08-15 18:34:00,home,横浜FM,0.0,1.0,18.02,ok
10,away,G大阪,1,j1,2026-08-29 18:03:00,home,広島,0.0,0.0,4.04,ok
