match_id,datetime,stadium,is_rain,is_heavy_rain,is_strong_wind,temperature,wind_speed,last_updated_at
j1_2026_02061903_京都_神戸,2026-02-06 19:03:00,サンガＳ,,,,,,2026-02-13T00:03:17
j1_2026_02071335_FC東京_鹿島,2026-02-07 13:35:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_02071603_Ｃ大阪_Ｇ大阪,2026-02-07 16:03:00,ヤンマー,,,,,,2026-02-13T00:03:17
j1_2026_02081308_福岡_岡山,2026-02-08 13:08:00,ベススタ,,,,,,2026-02-13T00:03:17
j1_2026_02131900_神戸_長崎,2026-02-13 19:00:00,ノエスタ,,,,,,2026-02-13T00:03:17
j1_2026_02141400_町田_水戸,2026-02-14 14:00:00,Ｇスタ,,,,,,2026-02-13T00:03:17
j1_2026_02141400_清水_京都,2026-02-14 14:00:00,アイスタ,,,,,,2026-02-13T00:03:17
j1_2026_02141400_広島_岡山,2026-02-14 14:00:00,Ｅピース,,,,,,2026-02-13T00:03:17
j1_2026_02141500_鹿島_横浜FM,2026-02-14 15:00:00,メルスタ,,,,,,2026-02-13T00:03:17
j1_2026_02141500_FC東京_浦和,2026-02-14 15:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_02151300_千葉_川崎Ｆ,2026-02-15 13:00:00,フクアリ,,,,,,2026-02-13T00:03:17
j1_2026_02151400_柏_東京Ｖ,2026-02-15 14:00:00,三協Ｆ柏,,,,,,2026-02-13T00:03:17
j1_2026_02151500_福岡_Ｃ大阪,2026-02-15 15:00:00,ベススタ,,,,,,2026-02-13T00:03:17
j1_2026_02151600_Ｇ大阪_名古屋,2026-02-15 16:00:00,パナスタ,,,,,,2026-02-13T00:03:17
j1_2026_02211400_東京Ｖ_町田,2026-02-21 14:00:00,味スタ,,,,,,2026-02-13T00:03:17
j1_2026_02211400_横浜FM_浦和,2026-02-21 14:00:00,日産ス,,,,,,2026-02-13T00:03:17
j1_2026_02211430_清水_神戸,2026-02-21 14:30:00,アイスタ,,,,,,2026-02-13T00:03:17
j1_2026_02211500_川崎Ｆ_FC東京,2026-02-21 15:00:00,Ｕ等々力,,,,,,2026-02-13T00:03:17
j1_2026_02211500_名古屋_長崎,2026-02-21 15:00:00,豊田ス,,,,,,2026-02-13T00:03:17
j1_2026_02211600_鹿島_柏,2026-02-21 16:00:00,メルスタ,,,,,,2026-02-13T00:03:17
j1_2026_02221400_水戸_千葉,2026-02-22 14:00:00,Ｋｓスタ,,,,,,2026-02-13T00:03:17
