match_id,kickoff_jst,stadium_name,lat,lon,weather_fetch_ok,temp_kickoff,precip_kickoff,wind_kickoff,code_kickoff,temp_avg_pm1h,precip_sum_pm1h,wind_max_pm1h,wind_speed_unit,strong_wind_threshold_kmh,is_rain,is_heavy_rain,is_strong_wind,weather_missing_ratio
j1_2026_09051900_福岡_水戸,2026-09-05 19:00:00,ベススタ,33.5860172015689,130.4616167164922,1,26.6,0.0,7.1,3,26.633333333333336,0.0,7.7,km/h,28.8,0,0,0,0.0
j1_2026_09061800_鹿島_浦和,2026-09-06 18:00:00,メルスタ,35.99217312474389,140.64071506686008,1,23.3,3.1,31.0,81,23.399999999999995,10.8,31.0,km/h,28.8,1,0,1,0.0
j1_2026_09061800_千葉_G大阪,2026-09-06 18:00:00,フクアリ,35.57765269401521,140.12347406869307,1,23.0,6.2,32.1,95,23.03333333333333,17.9,32.1,km/h,28.8,1,1,1,0.0
j1_2026_09061800_名古屋_町田,2026-09-06 18:00:00,豊田ス,35.08473962063071,137.17116401709413,1,22.7,7.1,4.9,81,22.73333333333333,17.3,5.4,km/h,28.8,1,1,0,0.0
j1_2026_09061800_岡山_広島,2026-09-06 18:00:00,ＪＦＥス,34.68075765895528,133.91923509564234,1,27.4,0.0,3.4,3,27.299999999999997,0.1,3.5,km/h,28.8,0,0,0,0.0
j1_2026_09061900_柏_横浜FM,2026-09-06 19:00:00,三協Ｆ柏,35.84902140785495,139.97601829568976,1,22.1,3.2,24.6,95,22.133333333333336,8.8,25.2,km/h,28.8,1,0,0,0.0
j1_2026_09061900_川崎F_清水,2026-09-06 19:00:00,MUFG国立,35.585892797514894,139.6528842691062,1,22.0,11.7,17.1,82,22.0,32.099999999999994,17.8,km/h,28.8,1,1,0,0.0
j1_2026_09061900_C大阪_東京V,2026-09-06 19:00:00,ハナサカ,34.615472717803655,135.51676080358234,1,24.5,0.0,8.3,3,24.53333333333333,1.5,9.5,km/h,28.8,0,0,0,0.0
j1_2026_09061900_神戸_長崎,2026-09-06 19:00:00,ノエスタ,34.6569962029823,135.17006277844857,1,25.5,0.1,11.1,51,25.566666666666666,0.30000000000000004,11.9,km/h,28.8,1,0,0,0.0
j1_2026_09061930_FC東京_京都,2026-09-06 19:30:00,味スタ,35.664206155282656,139.5276784515036,1,21.5,10.7,18.4,95,21.5,21.4,18.4,km/h,28.8,1,1,0,0.0
j1_2026_09111900_京都_柏,2026-09-11 19:00:00,サンガＳ,35.01746678668297,135.5851611612701,1,23.2,3.0,9.9,95,23.233333333333334,9.0,10.7,km/h,28.8,1,0,0,0.0
j1_2026_09111900_神戸_鹿島,2026-09-11 19:00:00,ノエスタ,34.6569962029823,135.17006277844857,1,25.1,1.5,7.3,80,25.166666666666668,4.5,9.9,km/h,28.8,1,0,0,0.0
