第●節,試合日,match_id,datetime,stadium,home_team,away_team,home_score,away_score,status,match_url,comment_url_player,comment_url_coach,tracking_data_url,photo_url,recap_url
1節,2025-02-14,j1_2025_021401,2025-02-14 19:03,パナスタ,Ｇ大阪,Ｃ大阪,2,5,試合終了,/match/j1/2025/021401/live/,/match/j1/2025/021401/player/,/match/j1/2025/021401/coach/,/match/j1/2025/021401/trackingdata/,/match/j1/2025/021401/photo/,/match/j1/2025/021401/recap/
1節,2025-02-15,j1_2025_021501,2025-02-15 14:03,日産ス,横浜FM,新潟,1,1,試合終了,/match/j1/2025/021501/live/,/match/j1/2025/021501/player/,/match/j1/2025/021501/coach/,/match/j1/2025/021501/trackingdata/,/match/j1/2025/021501/photo/,/match/j1/2025/021501/recap/
1節,2025-02-16,j1_2025_021601,2025-02-16 14:03,国立,東京Ｖ,清水,0,1,試合終了,/match/j1/2025/021601/live/,/match/j1/2025/021601/player/,/match/j1/2025/021601/coach/,/match/j1/2025/021601/trackingdata/,/match/j1/2025/021601/photo/,/match/j1/2025/021601/recap/
1節,2025-02-22,j1_2025_022201,2025-02-22 14:03,三協Ｆ柏,柏,川崎Ｆ,1,1,試合終了,/match/j1/2025/022201/live/,/match/j1/2025/022201/player/,/match/j1/2025/022201/coach/,/match/j1/2025/022201/trackingdata/,/match/j1/2025/022201/photo/,/match/j1/2025/022201/recap/
1節,2025-02-23,j1_2025_022303,2025-02-23 14:03,Ｅピース,広島,横浜FM,1,0,試合終了,/match/j1/2025/022303/live/,/match/j1/2025/022303/player/,/match/j1/2025/022303/coach/,/match/j1/2025/022303/trackingdata/,/match/j1/2025/022303/photo/,/match/j1/2025/022303/recap/
1節,2025-02-26,j1_2025_022603,2025-02-26 19:03,カシマ,鹿島,新潟,2,1,試合終了,/match/j1/2025/022603/live/,/match/j1/2025/022603/player/,/match/j1/2025/022603/coach/,/match/j1/2025/022603/trackingdata/,/match/j1/2025/022603/photo/,/match/j1/2025/022603/recap/
1節,2025-03-01,j1_2025_030101,2025-03-01 13:04,日産ス,横浜FM,湘南,1,1,試合終了,/match/j1/2025/030101/live/,/match/j1/2025/030101/player/,/match/j1/2025/030101/coach/,/match/j1/2025/030101/trackingdata/,/match/j1/2025/030101/photo/,/match/j1/2025/030101/recap/
1節,2025-03-02,j1_2025_030201,2025-03-02 14:03,味スタ,東京Ｖ,Ｇ大阪,0,1,試合終了,/match/j1/2025/030201/live/,/match/j1/2025/030201/player/,/match/j1/2025/030201/coach/,/match/j1/2025/030201/trackingdata/,/match/j1/2025/030201/photo/,/match/j1/2025/030201/recap/
1節,2025-03-08,j1_2025_030801,2025-03-08 14:03,埼玉,浦和,岡山,1,0,試合終了,/match/j1/2025/030801/live/,/match/j1/2025/030801/player/,/match/j1/2025/030801/coach/,/match/j1/2025/030801/trackingdata/,/match/j1/2025/030801/photo/,/match/j1/2025/030801/recap/
1節,2025-03-09,j1_2025_030901,2025-03-09 14:03,サンガＳ,京都,福岡,0,1,試合終了,/match/j1/2025/030901/live/,/match/j1/2025/030901/player/,/match/j1/2025/030901/coach/,/match/j1/2025/030901/trackingdata/,/match/j1/2025/030901/photo/,/match/j1/2025/030901/recap/
2節,2025-03-15,j1_2025_031501,2025-03-15 14:03,味スタ,東京Ｖ,名古屋,2,1,試合終了,/match/j1/2025/031501/live/,/match/j1/2025/031501/player/,/match/j1/2025/031501/coach/,/match/j1/2025/031501/trackingdata/,/match/j1/2025/031501/photo/,/match/j1/2025/031501/recap/
2節,2025-03-16,j1_2025_031601,2025-03-16 13:03,アイスタ,清水,京都,1,2,試合終了,/match/j1/2025/031601/live/,/match/j1/2025/031601/player/,/match/j1/2025/031601/coach/,/match/j1/2025/031601/trackingdata/,/match/j1/2025/031601/photo/,/match/j1/2025/031601/recap/
2節,2025-03-28,j1_2025_032801,2025-03-28 19:03,ヨドコウ,Ｃ大阪,浦和,1,1,試合終了,/match/j1/2025/032801/live/,/match/j1/2025/032801/player/,/match/j1/2025/032801/coach/,/match/j1/2025/032801/trackingdata/,/match/j1/2025/032801/photo/,/match/j1/2025/032801/recap/
2節,2025-03-29,j1_2025_032901,2025-03-29 13:00,ＪＦＥス,岡山,横浜FM,1,0,試合終了,/match/j1/2025/032901/live/,/match/j1/2025/032901/player/,/match/j1/2025/032901/coach/,/match/j1/2025/032901/trackingdata/,/match/j1/2025/032901/photo/,/match/j1/2025/032901/recap/
