チーム名,試合数,勝,分,敗,ホーム勝率,アウェイ勝率,得点,失点,得失点
鹿島アントラーズ,16,10,1,5,75%,50%,25,12,13
浦和レッズ,14,7,4,3,86%,14%,17,11,6
柏レイソル,15,8,6,1,33%,67%,19,12,7
ＦＣ東京,16,6,4,6,29%,44%,18,18,0
東京ヴェルディ,16,6,5,5,33%,40%,11,15,-4
ＦＣ町田ゼルビア,15,7,2,6,17%,67%,15,14,1
川崎フロンターレ,12,4,6,2,40%,29%,19,11,8
横浜F・マリノス,12,1,5,6,17%,0%,11,17,-6
横浜ＦＣ,15,5,3,7,38%,29%,12,14,-2
湘南ベルマーレ,16,7,3,6,50%,40%,13,19,-6
アルビレックス新潟,16,4,6,6,0%,44%,18,21,-3
清水エスパルス,16,7,3,6,43%,44%,23,19,4
名古屋グランパス,16,5,2,9,50%,20%,21,24,-3
京都サンガＦ.Ｃ.,17,9,3,5,43%,60%,24,19,5
ガンバ大阪,16,8,2,6,71%,33%,21,21,0
セレッソ大阪,16,6,4,6,29%,44%,29,25,4
ヴィッセル神戸,12,6,3,3,43%,60%,12,8,4
ファジアーノ岡山,15,5,3,7,50%,14%,11,12,-1
サンフレッチェ広島,13,6,2,5,63%,20%,12,11,1
アビスパ福岡,16,8,3,5,43%,56%,18,15,3
北海道コンサドーレ札幌,14,5,1,8,40%,33%,16,26,-10
ベガルタ仙台,14,7,4,3,43%,57%,17,10,7
ブラウブリッツ秋田,15,5,1,9,33%,33%,17,27,-10
モンテディオ山形,15,4,4,7,17%,33%,18,18,0
いわきＦＣ,14,3,4,7,14%,29%,15,22,-7
水戸ホーリーホック,15,6,5,4,44%,33%,18,13,5
ＲＢ大宮アルディージャ,15,8,3,4,67%,33%,23,17,6
ジェフユナイテッド千葉,14,10,2,2,100%,50%,29,15,14
ヴァンフォーレ甲府,15,4,4,7,33%,17%,12,17,-5
カターレ富山,15,5,5,5,50%,14%,16,15,1
ジュビロ磐田,15,7,3,5,63%,29%,20,21,-1
藤枝ＭＹＦＣ,14,4,3,7,43%,14%,19,23,-4
レノファ山口ＦＣ,15,4,5,6,29%,25%,18,21,-3
徳島ヴォルティス,14,6,4,4,60%,33%,12,7,5
愛媛ＦＣ,14,1,5,8,0%,17%,14,26,-12
FC今治,15,6,7,2,22%,67%,24,16,8
サガン鳥栖,14,5,3,6,50%,17%,13,16,-3
V・ファーレン長崎,15,5,5,5,50%,14%,28,26,2
ロアッソ熊本,14,4,4,6,29%,29%,13,15,-2
大分トリニータ,14,5,6,3,38%,33%,15,11,4
