チーム名,節,試合日,対戦相手,H/A,スコア
Ｇ大阪,第1節,2025-02-14,Ｃ大阪,H,2.0-5.0
Ｃ大阪,第1節,2025-02-14,Ｇ大阪,A,5.0-2.0
横浜FM,第1節,2025-02-15,新潟,H,1.0-1.0
新潟,第1節,2025-02-15,横浜FM,A,1.0-1.0
横浜FC,第1節,2025-02-15,FC東京,H,0.0-1.0
FC東京,第1節,2025-02-15,横浜FC,A,1.0-0.0
神戸,第1節,2025-02-15,浦和,H,0.0-0.0
浦和,第1節,2025-02-15,神戸,A,0.0-0.0
岡山,第1節,2025-02-15,京都,H,2.0-0.0
京都,第1節,2025-02-15,岡山,A,0.0-2.0
福岡,第1節,2025-02-15,柏,H,0.0-1.0
柏,第1節,2025-02-15,福岡,A,1.0-0.0
川崎Ｆ,第1節,2025-02-15,名古屋,H,4.0-0.0
名古屋,第1節,2025-02-15,川崎Ｆ,A,0.0-4.0
湘南,第1節,2025-02-15,鹿島,H,1.0-0.0
鹿島,第1節,2025-02-15,湘南,A,0.0-1.0
東京Ｖ,第1節,2025-02-16,清水,H,0.0-1.0
清水,第1節,2025-02-16,東京Ｖ,A,1.0-0.0
町田,第1節,2025-02-16,広島,H,1.0-2.0
広島,第1節,2025-02-16,町田,A,2.0-1.0
柏,第2節,2025-02-22,川崎Ｆ,H,1.0-1.0
川崎Ｆ,第2節,2025-02-22,柏,A,1.0-1.0
横浜FC,第2節,2025-02-22,岡山,H,1.0-0.0
岡山,第2節,2025-02-22,横浜FC,A,0.0-1.0
清水,第2節,2025-02-22,新潟,H,2.0-0.0
新潟,第2節,2025-02-22,清水,A,0.0-2.0
名古屋,第2節,2025-02-22,神戸,H,2.0-2.0
神戸,第2節,2025-02-22,名古屋,A,2.0-2.0
京都,第2節,2025-02-22,浦和,H,1.0-1.0
浦和,第2節,2025-02-22,京都,A,1.0-1.0
鹿島,第2節,2025-02-22,東京Ｖ,H,4.0-0.0
東京Ｖ,第2節,2025-02-22,鹿島,A,0.0-4.0
FC東京,第2節,2025-02-22,町田,H,0.0-1.0
町田,第2節,2025-02-22,FC東京,A,1.0-0.0
Ｇ大阪,第2節,2025-02-22,福岡,H,2.0-1.0
福岡,第2節,2025-02-22,Ｇ大阪,A,1.0-2.0
Ｃ大阪,第2節,2025-02-22,湘南,H,1.0-2.0
湘南,第2節,2025-02-22,Ｃ大阪,A,2.0-1.0
広島,第2節,2025-02-23,横浜FM,H,1.0-0.0
横浜FM,第2節,2025-02-23,広島,A,0.0-1.0
鹿島,第3節,2025-02-26,新潟,H,2.0-1.0
新潟,第3節,2025-02-26,鹿島,A,1.0-2.0
柏,第3節,2025-02-26,Ｃ大阪,H,2.0-1.0
Ｃ大阪,第3節,2025-02-26,柏,A,1.0-2.0
FC東京,第3節,2025-02-26,名古屋,H,3.0-1.0
名古屋,第3節,2025-02-26,FC東京,A,1.0-3.0
町田,第3節,2025-02-26,東京Ｖ,H,0.0-1.0
東京Ｖ,第3節,2025-02-26,町田,A,1.0-0.0
横浜FM,第3節,2025-02-26,横浜FC,H,0.0-0.0
横浜FC,第3節,2025-02-26,横浜FM,A,0.0-0.0
湘南,第3節,2025-02-26,浦和,H,2.0-1.0
浦和,第3節,2025-02-26,湘南,A,1.0-2.0
清水,第3節,2025-02-26,広島,H,1.0-1.0
広島,第3節,2025-02-26,清水,A,1.0-1.0
神戸,第3節,2025-02-26,京都,H,1.0-1.0
京都,第3節,2025-02-26,神戸,A,1.0-1.0
岡山,第3節,2025-02-26,Ｇ大阪,H,2.0-0.0
Ｇ大阪,第3節,2025-02-26,岡山,A,0.0-2.0
福岡,第3節,2025-02-26,川崎Ｆ,H,1.0-2.0
川崎Ｆ,第3節,2025-02-26,福岡,A,2.0-1.0
横浜FM,第4節,2025-03-01,湘南,H,1.0-1.0
湘南,第4節,2025-03-01,横浜FM,A,1.0-1.0
鹿島,第4節,2025-03-01,FC東京,H,2.0-0.0
FC東京,第4節,2025-03-01,鹿島,A,0.0-2.0
川崎Ｆ,第4節,2025-03-01,京都,H,0.0-1.0
京都,第4節,2025-03-01,川崎Ｆ,A,1.0-0.0
神戸,第4節,2025-03-01,福岡,H,0.0-1.0
福岡,第4節,2025-03-01,神戸,A,1.0-0.0
東京Ｖ,第4節,2025-03-02,Ｇ大阪,H,0.0-1.0
Ｇ大阪,第4節,2025-03-02,東京Ｖ,A,1.0-0.0
新潟,第4節,2025-03-02,Ｃ大阪,H,2.0-2.0
Ｃ大阪,第4節,2025-03-02,新潟,A,2.0-2.0
名古屋,第4節,2025-03-02,町田,H,1.0-2.0
町田,第4節,2025-03-02,名古屋,A,2.0-1.0
岡山,第4節,2025-03-02,清水,H,1.0-1.0
清水,第4節,2025-03-02,岡山,A,1.0-1.0
広島,第4節,2025-03-02,横浜FC,H,1.0-0.0
横浜FC,第4節,2025-03-02,広島,A,0.0-1.0
浦和,第4節,2025-03-02,柏,H,0.0-2.0
柏,第4節,2025-03-02,浦和,A,2.0-0.0
浦和,第5節,2025-03-08,岡山,H,1.0-0.0
岡山,第5節,2025-03-08,浦和,A,0.0-1.0
新潟,第5節,2025-03-08,東京Ｖ,H,2.0-2.0
東京Ｖ,第5節,2025-03-08,新潟,A,2.0-2.0
Ｇ大阪,第5節,2025-03-08,清水,H,1.0-0.0
清水,第5節,2025-03-08,Ｇ大阪,A,0.0-1.0
柏,第5節,2025-03-08,鹿島,H,1.0-3.0
鹿島,第5節,2025-03-08,柏,A,3.0-1.0
FC東京,第5節,2025-03-08,湘南,H,0.0-0.0
湘南,第5節,2025-03-08,FC東京,A,0.0-0.0
横浜FC,第5節,2025-03-08,町田,H,0.0-2.0
町田,第5節,2025-03-08,横浜FC,A,2.0-0.0
Ｃ大阪,第5節,2025-03-08,名古屋,H,1.0-1.0
名古屋,第5節,2025-03-08,Ｃ大阪,A,1.0-1.0
京都,第5節,2025-03-09,福岡,H,0.0-1.0
福岡,第5節,2025-03-09,京都,A,1.0-0.0
東京Ｖ,第6節,2025-03-15,名古屋,H,2.0-1.0
名古屋,第6節,2025-03-15,東京Ｖ,A,1.0-2.0
町田,第6節,2025-03-15,新潟,H,1.0-0.0
新潟,第6節,2025-03-15,町田,A,0.0-1.0
横浜FC,第6節,2025-03-15,Ｃ大阪,H,2.0-0.0
Ｃ大阪,第6節,2025-03-15,横浜FC,A,0.0-2.0
福岡,第6節,2025-03-15,FC東京,H,1.0-0.0
FC東京,第6節,2025-03-15,福岡,A,0.0-1.0
清水,第6節,2025-03-16,京都,H,1.0-2.0
京都,第6節,2025-03-16,清水,A,2.0-1.0
鹿島,第6節,2025-03-16,浦和,H,1.0-1.0
浦和,第6節,2025-03-16,鹿島,A,1.0-1.0
横浜FM,第6節,2025-03-16,Ｇ大阪,H,2.0-0.0
Ｇ大阪,第6節,2025-03-16,横浜FM,A,0.0-2.0
岡山,第6節,2025-03-16,川崎Ｆ,H,0.0-0.0
川崎Ｆ,第6節,2025-03-16,岡山,A,0.0-0.0
広島,第6節,2025-03-16,柏,H,1.0-1.0
柏,第6節,2025-03-16,広島,A,1.0-1.0
湘南,第6節,2025-03-16,神戸,H,1.0-2.0
神戸,第6節,2025-03-16,湘南,A,2.0-1.0
Ｃ大阪,第7節,2025-03-28,浦和,H,1.0-1.0
浦和,第7節,2025-03-28,Ｃ大阪,A,1.0-1.0
岡山,第7節,2025-03-29,横浜FM,H,1.0-0.0
横浜FM,第7節,2025-03-29,岡山,A,0.0-1.0
清水,第7節,2025-03-29,湘南,H,3.0-0.0
湘南,第7節,2025-03-29,清水,A,0.0-3.0
柏,第7節,2025-03-29,東京Ｖ,H,0.0-0.0
東京Ｖ,第7節,2025-03-29,柏,A,0.0-0.0
新潟,第7節,2025-03-29,Ｇ大阪,H,3.0-3.0
Ｇ大阪,第7節,2025-03-29,新潟,A,3.0-3.0
名古屋,第7節,2025-03-29,横浜FC,H,2.0-1.0
横浜FC,第7節,2025-03-29,名古屋,A,1.0-2.0
京都,第7節,2025-03-29,広島,H,1.0-0.0
