第●節,試合日,試合開始,スタジアム,ホームチーム,ホーム得点,試合状況,アウェイ得点,アウェイチーム
1節,,19:03,パナスタ,Ｇ大阪,2,試合終了,5,Ｃ大阪
1節,,14:03,日産ス,横浜FM,1,試合終了,1,新潟
1節,,14:03,ニッパツ,横浜FC,0,試合終了,1,FC東京
1節,,14:03,ノエスタ,神戸,0,試合終了,0,浦和
1節,,14:04,ＪＦＥス,岡山,2,試合終了,0,京都
1節,,14:04,ベススタ,福岡,0,試合終了,1,柏
1節,,15:03,Ｕ等々力,川崎Ｆ,4,試合終了,0,名古屋
1節,,15:03,レモンＳ,湘南,1,試合終了,0,鹿島
1節,,14:03,国立,東京Ｖ,0,試合終了,1,清水
1節,,14:03,Ｇスタ,町田,1,試合終了,2,広島
2節,,14:03,三協Ｆ柏,柏,1,試合終了,1,川崎Ｆ
2節,,14:03,ニッパツ,横浜FC,1,試合終了,0,岡山
2節,,14:03,アイスタ,清水,2,試合終了,0,新潟
2節,,14:03,豊田ス,名古屋,2,試合終了,2,神戸
2節,,14:03,サンガＳ,京都,1,試合終了,1,浦和
2節,,15:03,カシマ,鹿島,4,試合終了,0,東京Ｖ
2節,,15:03,味スタ,FC東京,0,試合終了,1,町田
2節,,15:03,パナスタ,Ｇ大阪,2,試合終了,1,福岡
2節,,15:03,ヨドコウ,Ｃ大阪,1,試合終了,2,湘南
2節,,14:03,Ｅピース,広島,1,試合終了,0,横浜FM
3節,,19:03,カシマ,鹿島,2,試合終了,1,新潟
3節,,19:03,三協Ｆ柏,柏,2,試合終了,1,Ｃ大阪
3節,,19:03,味スタ,FC東京,3,試合終了,1,名古屋
3節,,19:03,Ｇスタ,町田,0,試合終了,1,東京Ｖ
3節,,19:03,日産ス,横浜FM,0,試合終了,0,横浜FC
3節,,19:03,レモンＳ,湘南,2,試合終了,1,浦和
3節,,19:03,アイスタ,清水,1,試合終了,1,広島
3節,,19:03,ノエスタ,神戸,1,試合終了,1,京都
3節,,19:01,ＪＦＥス,岡山,2,試合終了,0,Ｇ大阪
3節,,19:03,ベススタ,福岡,1,試合終了,2,川崎Ｆ
4節,,13:04,日産ス,横浜FM,1,試合終了,1,湘南
4節,,14:03,カシマ,鹿島,2,試合終了,0,FC東京
4節,,15:03,Ｕ等々力,川崎Ｆ,0,試合終了,1,京都
4節,,15:03,ノエスタ,神戸,0,試合終了,1,福岡
4節,,14:03,味スタ,東京Ｖ,0,試合終了,1,Ｇ大阪
4節,,14:03,デンカＳ,新潟,2,試合終了,2,Ｃ大阪
4節,,14:03,豊田ス,名古屋,1,試合終了,2,町田
4節,,14:03,ＪＦＥス,岡山,1,試合終了,1,清水
4節,,14:31,Ｅピース,広島,1,試合終了,0,横浜FC
4節,,15:03,埼玉,浦和,0,試合終了,2,柏
5節,,14:03,埼玉,浦和,1,試合終了,0,岡山
5節,,14:08,デンカＳ,新潟,2,試合終了,2,東京Ｖ
5節,,15:03,パナスタ,Ｇ大阪,1,試合終了,0,清水
5節,,16:03,三協Ｆ柏,柏,1,試合終了,3,鹿島
5節,,16:03,味スタ,FC東京,0,試合終了,0,湘南
